,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc,predict_duration
0,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,0,0.898551,acc,singularity,reproduce,,stable,2021-03-03T07:58:35,3280.4,1.0,4251131961,,0.898551,0.517726
1,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,1,0.8550719999999999,acc,singularity,reproduce,,stable,2021-03-03T07:58:59,3153.0,1.0,2420578575,,0.8550719999999999,0.9536450000000001
2,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,2,0.8405799999999999,acc,singularity,reproduce,,stable,2021-03-03T08:20:17,4396.8,1.0,2013305919,,0.8405799999999999,0.964391
3,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,3,0.8405799999999999,acc,singularity,reproduce,,stable,2021-03-03T08:08:28,3679.7,1.0,2949119744,,0.8405799999999999,1.1195
4,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,4,0.898551,acc,singularity,reproduce,,stable,2021-03-03T07:59:48,3121.1,1.0,796965610,,0.898551,0.968841
5,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,5,0.927536,acc,singularity,reproduce,,stable,2021-03-03T08:07:39,3579.2,1.0,1842654144,,0.927536,0.625517
6,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,6,0.8405799999999999,acc,singularity,reproduce,,stable,2021-03-03T07:59:45,3101.1,1.0,1794670863,,0.8405799999999999,0.94952
7,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,7,0.884058,acc,singularity,reproduce,,stable,2021-03-03T08:14:51,3906.7,1.0,2172871375,,0.884058,0.496805
8,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,8,0.8405799999999999,acc,singularity,reproduce,,stable,2021-03-03T08:35:04,5098.8,1.0,2901495681,,0.8405799999999999,0.7012109999999999
9,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,9,0.8695649999999999,acc,singularity,reproduce,,stable,2021-03-03T08:03:54,3219.1,1.0,3732174995,,0.8695649999999999,1.04144
10,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,0,0.746667,acc,singularity,reproduce,,stable,2021-03-03T08:07:03,3233.3,1.0,3259486613,,0.746667,0.528691
11,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,1,0.8,acc,singularity,reproduce,,stable,2021-03-03T08:06:22,3125.2,1.0,4019597977,,0.8,0.443867
12,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,2,,acc,singularity,reproduce,,stable,2021-03-03T10:00:34,7239.4,,1170275810,TimeoutError: Interrupting thread current after 7200s timeout.,,
13,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,3,0.773333,acc,singularity,reproduce,,stable,2021-03-03T08:57:26,3447.4,1.0,2084349256,,0.773333,0.7708619999999999
14,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,4,0.773333,acc,singularity,reproduce,,stable,2021-03-03T09:01:07,3412.7,1.0,2953906910,,0.773333,1.25023
15,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,5,0.733333,acc,singularity,reproduce,,stable,2021-03-03T08:58:53,3138.3,1.0,2325904430,,0.733333,0.43828199999999995
16,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,6,0.76,acc,singularity,reproduce,,stable,2021-03-03T09:00:48,3255.8,1.0,3193949747,,0.76,0.6838489999999999
17,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,7,0.8,acc,singularity,reproduce,,stable,2021-03-03T08:59:19,3123.6,1.0,4208473554,,0.8,0.74908
18,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,8,0.797297,acc,singularity,reproduce,,stable,2021-03-03T09:02:32,3275.8,1.0,3355793576,,0.797297,0.778395
19,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,9,0.797297,acc,singularity,reproduce,,stable,2021-03-03T09:06:00,3434.2,1.0,1984133165,,0.797297,0.8423889999999999
20,openml.org/t/146821,car,autoPyTorch,3600s8c32G,0,1.0,acc,singularity,reproduce,,stable,2021-03-03T09:09:08,3313.5,1.0,1177838465,,1.0,0.9065
21,openml.org/t/146821,car,autoPyTorch,3600s8c32G,1,0.988439,acc,singularity,reproduce,,stable,2021-03-03T09:07:47,3185.2,1.0,850999241,,0.988439,0.37101300000000004
22,openml.org/t/146821,car,autoPyTorch,3600s8c32G,2,1.0,acc,singularity,reproduce,,stable,2021-03-03T09:07:24,3139.9,1.0,687631100,,1.0,0.354118
23,openml.org/t/146821,car,autoPyTorch,3600s8c32G,3,0.988439,acc,singularity,reproduce,,stable,2021-03-03T09:09:11,3180.2,1.0,980085240,,0.988439,0.268757
24,openml.org/t/146821,car,autoPyTorch,3600s8c32G,4,,acc,singularity,reproduce,,stable,2021-03-03T10:26:25,7606.6,,3173701997,TimeoutError: Interrupting thread current after 7200s timeout.,,
25,openml.org/t/146821,car,autoPyTorch,3600s8c32G,5,,acc,singularity,reproduce,,stable,2021-03-03T10:35:41,8130.9,,273905796,TimeoutError: Interrupting thread current after 7200s timeout.,,
