,tool,task,model,fold,train,val,test,overfit
0,autosklearnHStacking_f50,cnae-9,best_individual_model,0,0.9953672497884574,0.9341059032417056,0.9629629629629628,0.0
1,autosklearnHStacking_f50,cnae-9,best_ensemble_model,0,0.9629629629629632,inf,0.9537037037037036,0.0
2,autosklearnHStacking_f50,cnae-9,best_individual_model,1,0.996400712418538,0.9462494333893512,0.9074074074074072,0.0
3,autosklearnHStacking_f50,cnae-9,best_ensemble_model,1,0.9691358024691356,inf,0.9074074074074072,0.0
4,autosklearnHStacking_f50,cnae-9,best_individual_model,2,0.9992310076419346,0.9526714331241078,0.9722222222222222,0.0
5,autosklearnHStacking_f50,cnae-9,best_ensemble_model,2,0.9681069958847738,inf,0.9722222222222222,0.0
6,autosklearnHStacking_f50,cnae-9,best_individual_model,3,0.9979419857772966,0.9484631737718158,0.9074074074074072,0.04629629629629639
7,autosklearnHStacking_f50,cnae-9,best_ensemble_model,3,0.9619341563786008,inf,0.9166666666666666,0.0
8,autosklearnHStacking_f50,cnae-9,best_individual_model,4,1.0,0.9299943883277216,0.9351851851851852,0.027777777777777568
9,autosklearnHStacking_f50,cnae-9,best_ensemble_model,4,0.9588477366255144,inf,0.9537037037037036,0.0
10,autosklearnHStacking_f50,higgs,best_individual_model,0,0.8512565107924421,0.7247169238602538,0.7382124749534424,0.0
11,autosklearnHStacking_f50,higgs,best_ensemble_model,0,0.7277453976743322,inf,0.7346474547538181,0.0
12,autosklearnHStacking_f50,higgs,best_individual_model,1,0.8525189764444207,0.7256709820287441,0.7224177720295542,0.0
13,autosklearnHStacking_f50,higgs,best_ensemble_model,1,0.7279634947269474,inf,0.7203606169979061,0.0
14,autosklearnHStacking_f50,higgs,best_individual_model,2,0.8522860196208886,0.7248514596234241,0.7364990278583756,0.0
15,autosklearnHStacking_f50,higgs,best_ensemble_model,2,0.7269568645023377,inf,0.7324771148703314,0.0
16,autosklearnHStacking_f50,higgs,best_individual_model,3,0.8520504756700266,0.7229464963605501,0.7326443680130252,0.0
17,autosklearnHStacking_f50,higgs,best_ensemble_model,3,0.7286100597139497,inf,0.7333603733805714,0.0
18,autosklearnHStacking_f50,higgs,best_individual_model,4,0.8521764359049249,0.7243202010074072,0.7389912374551393,0.0
19,autosklearnHStacking_f50,higgs,best_ensemble_model,4,0.7270193178192077,inf,0.7364122614682541,0.0
20,autosklearnHStacking_f50,kr-vs-kp,best_individual_model,0,1.0,0.9880911551830428,0.9842080544792768,0.01579194552072316
