,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_individual_model,0,0.9935697525914046,0.9692159692159692,0.9537037037037036,0.02777777777777779
1,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_ensemble_model,0,0.9745069745069744,inf,0.9537037037037036,0.0
2,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_individual_model,1,0.9974308711277436,0.9793169793169796,0.9074074074074072,0.027777777777778012
3,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_ensemble_model,1,0.9742664742664744,inf,0.9259259259259258,0.0
4,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_individual_model,2,0.9897086340550656,0.9692159692159692,0.9351851851851852,0.027777777777777568
5,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_ensemble_model,2,0.9793169793169793,inf,0.9629629629629628,0.0
6,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_individual_model,3,1.0,0.9742664742664744,0.9074074074074076,0.05555555555555525
7,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_ensemble_model,3,0.9846079846079844,inf,0.9074074074074072,0.0
8,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_individual_model,4,0.9974457215836527,0.9740259740259741,0.9722222222222222,0.00925925925925919
9,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,best_ensemble_model,4,0.9745069745069744,inf,0.9444444444444444,0.0
10,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_individual_model,0,0.8529659213773015,0.7299743304583721,0.7292409840115283,0.0
11,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_ensemble_model,0,0.7345608091394081,inf,0.7317941237046356,0.0
12,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_individual_model,1,0.8511525429646594,0.7331983161481568,0.7174511631261911,0.0007450831690556381
13,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_ensemble_model,1,0.7374160109707529,inf,0.7185897739333471,0.0
14,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_individual_model,2,0.8510404207027096,0.7256037250983287,0.7315727839750119,0.0
15,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_ensemble_model,2,0.7318483847926647,inf,0.7317878205836224,0.0
16,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_individual_model,3,0.8528838471922747,0.7273751515879865,0.7277094098112084,0.0
17,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_ensemble_model,3,0.7336964389114071,inf,0.7254890522247073,0.0
18,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_individual_model,4,0.8495875918352203,0.7275731719308212,0.7298785689961181,0.0
19,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,best_ensemble_model,4,0.7315690858834711,inf,0.7294995171529464,0.0
20,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_individual_model,0,1.0,1.0,0.9934640522875816,0.0032679738562091387
21,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_ensemble_model,0,0.9981818181818182,inf,0.9967320261437908,0.0
22,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_individual_model,1,1.0,1.0,0.9910179640718564,0.0
23,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_ensemble_model,1,0.9970208186190428,inf,0.9880239520958084,0.0
24,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_individual_model,2,1.0,1.0,0.9967320261437908,0.0
25,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_ensemble_model,2,0.9963636363636365,inf,0.9967320261437908,0.0
26,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_individual_model,3,1.0,0.9981818181818182,0.9967320261437908,0.0032679738562092497
27,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_ensemble_model,3,0.9953623213686942,inf,1.0,0.0
28,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,best_individual_model,4,1.0,0.9981818181818182,1.0,0.0
