,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearn,cnae-9,0,360,360,359,3586.965350627899,2583.051999807358,6,0,0,0.0,0.2
1,autosklearn,cnae-9,1,194,194,193,3590.2189707756042,3083.2454204559326,7,0,0,0.0,0.2
2,autosklearn,cnae-9,2,198,198,198,3592.8559856414795,3101.985917329788,6,0,0,0.0,0.2
3,autosklearn,cnae-9,3,240,240,240,3591.618677854538,2903.838784456253,10,0,0,0.0,0.2
4,autosklearn,cnae-9,4,191,191,190,3588.4993975162506,3083.2147719860077,8,0,0,0.0,0.2
5,autosklearn,higgs,0,25,25,24,3588.783499479294,3101.5355014801025,2,0,0,0.0,0.2
6,autosklearn,higgs,1,26,26,26,3587.587203025818,3029.89652633667,2,0,0,0.0,0.2
7,autosklearn,higgs,2,26,26,25,3588.311574935913,3103.916337251663,2,0,0,0.0,0.2
8,autosklearn,higgs,3,26,26,25,3588.1753799915314,3100.8256130218506,2,0,0,0.0,0.2
9,autosklearn,higgs,4,26,26,25,3593.021206855774,3088.440741300583,2,0,0,0.0,0.2
10,autosklearn,kr-vs-kp,0,77,77,77,3596.306620836258,3297.9367773532867,3,0,0,0.0,0.2
11,autosklearn,kr-vs-kp,1,66,66,66,3596.3118448257446,3360.016885280609,2,0,0,0.0,0.2
12,autosklearn,kr-vs-kp,2,84,84,84,3595.962133169174,3277.0854539871216,2,0,0,0.0,0.2
13,autosklearn,kr-vs-kp,3,71,71,71,3595.5501301288605,3327.8296477794647,2,0,0,0.0,0.2
14,autosklearn,kr-vs-kp,4,70,70,69,3589.284457206726,3336.9299235343933,4,0,0,0.0,0.2
15,autosklearn,vehicle,0,200,200,200,3594.314645767212,3109.393040418625,4,0,0,0.0,0.2
16,autosklearn,vehicle,1,464,464,463,3589.6579265594482,2469.394828081131,8,0,0,0.0,0.2
17,autosklearn,vehicle,2,461,461,461,3591.28626203537,2469.3238525390625,7,0,0,0.0,0.2
18,autosklearn,vehicle,3,353,353,353,3594.7759759426117,2682.9942038059235,3,0,0,0.0,0.2
19,autosklearn,vehicle,4,511,511,510,3589.2301304340363,2461.891885995865,3,0,0,0.0,0.2
20,autosklearn,MiniBooNE,0,26,26,26,3590.158754825592,3260.4043340682983,3,0,0,0.0,0.2
21,autosklearn,MiniBooNE,1,26,26,25,3591.8691058158875,3345.942673921585,4,0,0,0.0,0.2
22,autosklearn,MiniBooNE,2,27,27,26,3587.055884361267,3264.5283966064453,3,0,0,0.0,0.2
23,autosklearn,MiniBooNE,3,26,26,25,3591.9486536979675,3218.4570178985596,3,0,0,0.0,0.2
24,autosklearn,MiniBooNE,4,26,26,25,3591.5412299633026,3305.599572658539,3,0,0,0.0,0.2
25,autosklearn,connect-4,0,38,38,38,3593.2675080299377,2888.463806629181,4,0,0,0.0,0.2
26,autosklearn,connect-4,1,32,32,32,3592.092173576355,3097.7009060382843,4,0,0,0.0,0.2
27,autosklearn,connect-4,2,33,33,33,3592.076903104782,3098.0332429409027,4,0,0,0.0,0.2
28,autosklearn,connect-4,3,34,34,33,3592.505303144455,3060.5109298229218,3,0,0,0.0,0.2
29,autosklearn,connect-4,4,36,36,35,3591.9377148151398,3021.8077812194824,3,0,0,0.0,0.2
30,autosklearn,segment,0,193,193,193,3596.3132100105286,2926.313409090042,6,0,0,0.0,0.2
31,autosklearn,segment,1,265,265,264,3593.7771854400635,2727.541353225708,3,0,0,0.0,0.2
32,autosklearn,segment,2,300,300,299,3588.470989227295,2576.1126306056976,4,0,0,0.0,0.2
33,autosklearn,segment,3,272,272,272,3597.092941045761,2642.678910970688,5,0,0,0.0,0.2
34,autosklearn,segment,4,208,208,208,3590.9046030044556,2838.983951807022,3,0,0,0.0,0.2
35,autosklearn,Australian,0,487,487,486,3589.8020675182343,1941.1157722473145,9,0,0,0.0,0.2
36,autosklearn,Australian,1,514,514,514,3598.3850123882294,2049.8688843250275,7,0,0,0.0,0.2
37,autosklearn,Australian,2,653,653,653,3597.150099992752,1459.6311733722687,5,0,0,0.0,0.2
38,autosklearn,Australian,3,652,652,651,3588.0230147838593,1625.148803949356,3,0,0,0.0,0.2
39,autosklearn,Australian,4,606,606,605,3584.9759273529053,1668.5846972465515,10,0,0,0.0,0.2
40,autosklearn,adult,0,48,48,47,3593.796601295471,2668.6640496253967,3,0,0,0.0,0.2
41,autosklearn,adult,1,41,41,40,3588.555449485779,2986.648487329483,3,0,0,0.0,0.2
42,autosklearn,adult,2,44,44,43,3593.2629396915436,2907.3381786346436,3,0,0,0.0,0.2
43,autosklearn,adult,3,44,44,43,3592.8661892414093,2924.694085597992,4,0,0,0.0,0.2
44,autosklearn,adult,4,46,46,46,3590.7590413093567,2758.989131450653,3,0,0,0.0,0.2
45,autosklearn,Albert,0,24,24,23,3575.0889763832092,3155.7619683742523,2,0,0,0.0,0.2
46,autosklearn,Albert,1,24,24,23,3574.699989080429,3158.8652787208557,2,0,0,0.0,0.2
47,autosklearn,Albert,2,22,22,21,3575.0976841449738,3143.3855135440826,2,0,0,0.0,0.2
48,autosklearn,Albert,3,22,22,21,3575.3892068862915,3157.848924636841,2,0,0,0.0,0.2
49,autosklearn,Albert,4,22,22,21,3575.2597999572754,3081.0736503601074,2,0,0,0.0,0.2
