,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,0,77,77,16,3566.413974761963,3466.373471021652,1,17,2,10.0,0.2
1,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,1,77,77,16,3567.2908449172974,3470.6256849765778,1,17,2,10.0,0.2
2,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,2,78,78,16,3565.7815635204315,3468.4080605506897,1,17,2,10.0,0.2
3,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,3,77,77,16,3566.5085413455963,3470.7279810905457,1,17,2,10.0,0.2
4,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,4,78,78,16,3566.6384949684143,3471.505713224411,2,17,2,10.0,0.2
5,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,0,36,36,12,3566.0971446037292,3459.7204592227936,2,11,1,11.0,0.2
6,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,1,36,36,12,3566.688290834427,3463.1758530139923,2,11,1,11.0,0.2
7,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,2,48,48,13,3567.087575674057,3445.1781508922577,2,17,2,10.0,0.2
8,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,3,37,37,12,3565.188088417053,3457.9505898952484,2,11,1,11.0,0.2
9,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,4,46,46,12,3565.546513557434,3448.554749250412,2,11,1,11.0,0.2
10,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,0,22,22,8,3569.6264703273773,3542.396493434906,2,0,0,0.0,0.2
11,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,1,22,22,8,3568.935101747513,3541.716126203537,2,0,0,0.0,0.2
12,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,2,22,22,8,3568.233714580536,3541.802542924881,2,0,0,0.0,0.2
13,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,3,22,22,8,3567.9851458072662,3541.489444255829,2,0,0,0.0,0.2
14,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,4,22,22,8,3568.893895626068,3541.954104423523,2,0,0,0.0,0.2
15,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,0,135,135,20,3569.0615928173065,3418.479501724243,2,22,3,9.0,0.2
16,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,1,135,135,20,3569.3148531913757,3418.2295558452606,4,22,3,9.0,0.2
17,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,2,135,135,20,3568.6269567012787,3416.7395799160004,4,22,3,9.0,0.2
18,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,3,135,135,20,3570.072409629822,3418.9503939151764,6,22,3,9.0,0.2
19,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,4,135,135,20,3569.754226207733,3420.7352669239044,4,22,3,9.0,0.2
20,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,0,64,64,15,3564.4620928764343,3336.0872778892517,3,17,2,10.0,0.2
21,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,1,49,49,13,3562.6933336257935,3356.9803278446198,3,17,2,10.0,0.2
22,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,2,64,64,15,3563.860303878784,3336.0334165096283,3,17,2,10.0,0.2
23,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,3,64,64,15,3564.5214037895203,3334.090476036072,3,17,2,10.0,0.2
24,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,4,64,64,15,3563.336473464966,3335.61704993248,3,17,2,10.0,0.2
25,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,0,51,51,13,3566.0140113830566,3427.224179506302,3,17,2,10.0,0.2
26,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,1,51,51,13,3565.689939022064,3426.6044504642487,3,17,2,10.0,0.2
27,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,2,51,51,13,3566.1580443382263,3428.1046726703644,3,17,2,10.0,0.2
28,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,3,51,51,13,3565.705109834671,3427.026771068573,3,17,2,10.0,0.2
29,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,4,51,51,13,3565.6977021694183,3428.361312389374,3,17,2,10.0,0.2
30,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,0,272,272,40,3572.4206976890564,3187.9562089443207,5,48,7,7.464000000000002,0.2
31,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,1,260,260,39,3570.4071650505066,3226.107651233673,4,48,7,7.464000000000002,0.2
32,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,2,228,228,37,3563.76700258255,3253.099403858185,4,48,7,7.464000000000002,0.2
33,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,3,226,226,37,3570.8932614326477,3270.0415728092194,3,48,7,7.464000000000002,0.2
34,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,4,232,232,37,3568.5049555301666,3267.194735765457,3,48,7,7.464000000000002,0.2
35,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,0,728,728,108,3569.733124256134,2523.0213050842285,5,130,20,5.977282596778805,0.2
36,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,1,686,686,99,3565.5198550224304,2521.683781147003,6,126,19,6.471603245973506,0.2
37,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,2,797,797,117,3569.0866162776947,2316.5092215538025,4,152,23,6.428368689550749,0.2
38,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,3,753,753,112,3566.3076798915863,2415.9101362228394,3,141,21,6.981826077423044,0.2
39,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,4,734,734,109,3572.226990699768,2576.4900217056274,4,141,21,6.981826077423044,0.2
40,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,0,67,67,15,3567.4295501708984,3413.969158411026,3,17,2,10.0,0.2
41,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,1,64,64,15,3568.614310503006,3421.0997264385223,2,17,2,10.0,0.2
42,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,2,64,64,15,3568.078619480133,3421.2754855155945,2,17,2,10.0,0.2
43,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,3,67,67,15,3568.9964592456818,3419.2496621608734,3,17,2,10.0,0.2
44,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,4,67,67,15,3567.5408022403717,3414.1086843013763,3,17,2,10.0,0.2
45,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,0,21,21,8,3536.6812856197357,3420.309403181076,2,0,0,0.0,0.2
46,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,1,20,20,8,3538.0865349769592,3424.8294069767,2,0,0,0.0,0.2
47,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,2,21,21,8,3540.2165760993958,3410.9907841682434,2,0,0,0.0,0.2
48,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,3,20,20,8,3535.2168962955475,3415.085114002228,2,0,0,0.0,0.2
49,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,4,20,20,8,3540.7113513946533,3429.6886219978333,2,0,0,0.0,0.2
