,framework,task,fold,index,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA,seed
0,autosklearn,Albert,2.0,2.0,22.6,22.6,21.6,3575.119502592087,3129.714934396744,2.0,0.0,0.0,0.0,0.2,0.0
1,autosklearn,Australian,2.0,7.0,620.4,620.4,620.0,3593.5539706707,1767.3903512477875,6.6,0.0,0.0,0.0,0.2,0.0
2,autosklearn,MiniBooNE,2.0,12.0,26.0,26.0,25.0,3591.924805498123,3303.671861886978,3.2,0.0,0.0,0.0,0.2,0.0
3,autosklearn,adult,2.0,17.0,43.4,43.4,42.4,3591.1558279037476,2879.5400881290434,3.0,0.0,0.0,0.0,0.2,0.0
4,autosklearn,cnae-9,2.0,22.0,233.8,233.8,233.6,3593.316517877579,2971.73241481781,5.8,0.0,0.0,0.0,0.2,0.0
5,autosklearn,connect-4,2.0,27.0,36.2,36.2,35.2,3590.290951728821,3013.9855494976046,3.0,0.0,0.0,0.0,0.2,0.0
6,autosklearn,higgs,2.0,32.0,25.4,25.4,24.4,3588.572221183777,3094.9355781555178,2.0,0.0,0.0,0.0,0.2,0.0
7,autosklearn,kr-vs-kp,2.0,37.0,68.4,68.4,68.2,3593.9567753791807,3343.394205093384,3.2,0.0,0.0,0.0,0.2,0.0
8,autosklearn,segment,2.0,42.0,271.2,271.2,270.8,3593.943765735626,2598.4485198497773,4.4,0.0,0.0,0.0,0.2,0.0
9,autosklearn,vehicle,2.0,47.0,460.0,460.0,459.4,3591.277391958237,2372.71452293396,6.4,0.0,0.0,0.0,0.2,0.0
10,autosklearnHyperBandFolds_eta2,Albert,2.0,52.0,25.0,25.0,9.0,3569.9785595417025,3246.133272743225,2.0,8.0,2.0,5.200000000000001,0.2,0.0
11,autosklearnHyperBandFolds_eta2,Australian,2.0,57.0,624.0,624.0,188.4,3583.005545759201,2347.534189081192,3.2,247.8,61.8,3.9050199302063993,0.2,0.0
12,autosklearnHyperBandFolds_eta2,MiniBooNE,2.0,62.0,26.8,26.8,9.8,3582.0334367752075,3473.3831248283386,2.2,8.8,2.2,5.144000000000001,0.2,0.0
13,autosklearnHyperBandFolds_eta2,adult,2.0,67.0,57.0,57.0,18.8,3584.0661927223205,3325.117268180847,3.0,21.2,5.4,4.388096000000001,0.2,0.0
14,autosklearnHyperBandFolds_eta2,cnae-9,2.0,72.0,40.0,40.0,14.0,3584.893919801712,3532.5343240737916,1.2,18.0,4.0,5.136,0.2,0.0
15,autosklearnHyperBandFolds_eta2,connect-4,2.0,77.0,63.4,63.4,21.4,3583.471847629547,3213.444099140167,3.0,24.0,6.0,4.36704,0.2,0.0
16,autosklearnHyperBandFolds_eta2,higgs,2.0,82.0,38.4,38.4,13.2,3583.6092713832854,3332.1118990421296,2.0,13.2,3.2,4.9632,0.2,0.0
17,autosklearnHyperBandFolds_eta2,kr-vs-kp,2.0,87.0,111.2,111.2,34.6,3585.626799917221,3374.4309680938723,3.4,44.4,10.8,4.245443213721602,0.2,0.0
18,autosklearnHyperBandFolds_eta2,segment,2.0,92.0,243.0,243.0,73.8,3585.6707857608794,3018.8353456974028,3.8,95.4,23.6,4.010788486063582,0.2,0.0
19,autosklearnHyperBandFolds_eta2,vehicle,2.0,97.0,204.8,204.8,62.2,3586.233507108688,3219.970530986786,5.8,81.0,20.0,4.061497709046188,0.2,0.0
20,autosklearnHyperBandFolds_eta2_cv5_repeats10,Albert,2.0,102.0,22.0,22.0,22.0,3400.1124041557314,3123.5400579452516,2.0,0.0,0.0,0.0,0.2,0.0
21,autosklearnHyperBandFolds_eta2_cv5_repeats10,Australian,2.0,107.0,630.2,630.2,70.8,3509.374445438385,2666.988165616989,4.4,80.8,4.4,23.802880000000005,0.2,0.0
22,autosklearnHyperBandFolds_eta2_cv5_repeats10,MiniBooNE,2.0,112.0,24.0,24.0,24.0,3484.3639245033264,3310.7586604595185,3.0,0.0,0.0,0.0,0.2,0.0
23,autosklearnHyperBandFolds_eta2_cv5_repeats10,adult,2.0,117.0,76.4,76.4,36.0,3507.1797131061553,3127.75859913826,2.6,22.2,0.6,22.2,0.2,0.0
24,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,2.0,122.0,253.6,253.6,56.4,3505.1943360328673,3140.1041967868805,3.4,57.4,2.2,32.471999999999994,0.2,0.0
25,autosklearnHyperBandFolds_eta2_cv5_repeats10,connect-4,2.0,127.0,45.2,45.2,32.2,3498.9397019863127,3164.632488441467,3.2,6.6,0.2,6.6,0.2,0.0
26,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,2.0,132.0,25.6,25.6,25.6,3495.413255214691,3194.0656435489655,2.0,0.0,0.0,0.0,0.2,0.0
27,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,2.0,137.0,62.0,62.0,34.6,3509.954038953781,3399.886092090607,3.0,7.4,0.2,7.4,0.2,0.0
28,autosklearnHyperBandFolds_eta2_cv5_repeats10,segment,2.0,142.0,412.4,412.4,65.0,3507.9013566493986,2926.8760407447817,4.6,72.0,3.4,27.553600000000007,0.2,0.0
29,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,2.0,147.0,333.8,333.8,53.8,3510.4104567050936,3046.992942905426,6.4,46.2,2.4,15.191040000000001,0.2,0.0
30,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,2.0,152.0,20.0,20.0,8.0,3537.6928804397585,3420.103264570236,2.0,0.0,0.0,0.0,0.2,0.0
31,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,2.0,157.0,650.0,650.0,95.8,3565.847937440872,2569.797735452652,4.2,121.8,18.2,6.766797629618077,0.2,0.0
32,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,2.0,162.0,60.8,60.8,14.6,3560.9017503261566,3330.1541877269747,3.0,17.0,2.0,10.0,0.2,0.0
33,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,2.0,167.0,65.6,65.6,15.0,3566.547728729248,3411.9452789306642,2.6,17.0,2.0,10.0,0.2,0.0
34,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,2.0,172.0,82.2,82.2,16.4,3568.2249198913573,3465.063067817688,1.4,18.0,2.2,9.8,0.2,0.0
35,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,2.0,177.0,50.0,50.0,13.0,3564.285594844818,3433.5462731838224,2.8,17.0,2.0,10.0,0.2,0.0
36,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,2.0,182.0,40.0,40.0,12.0,3563.981235408783,3448.2843576431274,2.0,11.0,1.0,11.0,0.2,0.0
37,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,2.0,187.0,21.4,21.4,8.0,3567.2529854297636,3537.945136165619,2.0,0.0,0.0,0.0,0.2,0.0
38,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,2.0,192.0,213.8,213.8,35.2,3566.1437167167664,3261.320370721817,3.2,43.6,6.2,7.918400000000003,0.2,0.0
39,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,2.0,197.0,135.0,135.0,20.0,3567.7213062763212,3400.4837460994722,4.0,22.0,3.0,9.0,0.2,0.0
