,tool,task,model,fold,train,val,test,overfit
0,bagging_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0
1,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,0,0.95679012345679,inf,0.9444444444444444,0.0
2,bagging_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0
3,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,1,0.9660493827160496,inf,0.9074074074074072,0.0
4,bagging_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0
5,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,2,0.9609053497942386,inf,0.9722222222222222,0.0
6,bagging_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0
7,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,3,0.9619341563786008,inf,0.9444444444444444,0.0
8,bagging_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0
9,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,4,0.9578189300411524,inf,0.9629629629629628,0.0
10,bagging_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0
11,bagging_es50_B100_N1.0,higgs,best_ensemble_model,0,0.7184378594560387,inf,0.7198677212831686,0.0
12,bagging_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0
13,bagging_es50_B100_N1.0,higgs,best_ensemble_model,1,0.7123427218784271,inf,0.7090194447526434,0.0
14,bagging_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0
15,bagging_es50_B100_N1.0,higgs,best_ensemble_model,2,0.7212657580889204,inf,0.7261315834533639,0.0
16,bagging_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0
17,bagging_es50_B100_N1.0,higgs,best_ensemble_model,3,0.725550916662463,inf,0.7295893491629135,0.0
