,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0
1,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_ensemble_model,0,0.9650205761316872,inf,0.9537037037037036,0.0
2,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0
3,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_ensemble_model,1,0.9670781893004116,inf,0.9074074074074072,0.0
4,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0
5,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_ensemble_model,2,0.9639917695473249,inf,0.9722222222222222,0.0
6,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0
7,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_ensemble_model,3,0.9598765432098764,inf,0.9259259259259258,0.0
8,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0
9,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,cnae-9,best_ensemble_model,4,0.9598765432098766,inf,0.9629629629629628,0.0
10,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0
11,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_ensemble_model,0,0.7297070794029371,inf,0.7337226074083127,0.0
12,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0
13,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_ensemble_model,1,0.7297216985702153,inf,0.7255198676461466,0.0
14,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0
15,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_ensemble_model,2,0.7293003864603346,inf,0.7329264313907782,0.0
16,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0
17,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_ensemble_model,3,0.7275837721020131,inf,0.7340569888928064,0.0
18,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0
19,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,higgs,best_ensemble_model,4,0.7287002381098637,inf,0.7380038367284851,0.0
20,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0
21,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_ensemble_model,0,0.9975457274822314,inf,0.9937380141677429,0.0
22,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0
23,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_ensemble_model,1,0.9982425179818466,inf,0.9880239520958084,0.0
24,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0
25,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_ensemble_model,2,0.997514715944001,inf,0.9967320261437908,0.0
26,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0
27,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_ensemble_model,3,0.997150814925078,inf,1.0,0.0
28,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0
29,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,kr-vs-kp,best_ensemble_model,4,0.996848936982616,inf,1.0,0.0
30,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0
31,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,vehicle,best_ensemble_model,0,0.8674698515022052,inf,0.8706168831168832,0.0
32,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0
33,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,vehicle,best_ensemble_model,1,0.8869154146650459,inf,0.8484848484848484,0.0
34,autosklearnBBCScoreEnsembleAVGMDEV_es50_B10_N1.0,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0
