,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0
1,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_ensemble_model,0,0.9526748971193416,inf,0.9444444444444444,0.0
2,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0
3,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_ensemble_model,1,0.9650205761316872,inf,0.9074074074074072,0.0
4,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0
5,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_ensemble_model,2,0.9619341563786008,inf,0.9722222222222222,0.0
6,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0
7,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_ensemble_model,3,0.9598765432098766,inf,0.9351851851851852,0.0
8,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0
9,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,cnae-9,best_ensemble_model,4,0.95679012345679,inf,0.9722222222222222,0.0
10,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,higgs,best_individual_model,0,0.0,0.0,0.0,0.0
11,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,higgs,best_ensemble_model,0,0.7292925647484684,inf,0.7339420687243894,0.0
12,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,higgs,best_individual_model,1,0.0,0.0,0.0,0.0
