,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,3600s8c32G
1,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,cnae-9,best_ensemble_model,3,,,0.907407,,3600s8c32G
4,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
5,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,higgs,best_ensemble_model,0,,,0.738701,,3600s8c32G
6,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,higgs,best_ensemble_model,1,,,0.724155,,3600s8c32G
7,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,higgs,best_ensemble_model,2,,,0.734035,,3600s8c32G
8,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,higgs,best_ensemble_model,3,,,0.7342310000000001,,3600s8c32G
9,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,higgs,best_ensemble_model,4,,,0.736769,,3600s8c32G
10,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s8c32G
11,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,vehicle,best_ensemble_model,0,,,0.90579,,3600s8c32G
16,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,vehicle,best_ensemble_model,1,,,0.801948,,3600s8c32G
17,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,vehicle,best_ensemble_model,2,,,0.825216,,3600s8c32G
18,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,vehicle,best_ensemble_model,3,,,0.872294,,3600s8c32G
19,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,vehicle,best_ensemble_model,4,,,0.8620129999999999,,3600s8c32G
20,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,MiniBooNE,best_ensemble_model,0,,,0.8477469999999999,,3600s8c32G
21,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,MiniBooNE,best_ensemble_model,1,,,0.9381299999999999,,3600s8c32G
22,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,MiniBooNE,best_ensemble_model,2,,,0.937406,,3600s8c32G
23,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,MiniBooNE,best_ensemble_model,3,,,0.9432649999999999,,3600s8c32G
24,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,MiniBooNE,best_ensemble_model,4,,,0.941357,,3600s8c32G
25,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,connect-4,best_ensemble_model,0,,,0.706412,,3600s8c32G
26,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,connect-4,best_ensemble_model,1,,,0.715327,,3600s8c32G
27,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,connect-4,best_ensemble_model,2,,,0.725522,,3600s8c32G
28,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,connect-4,best_ensemble_model,3,,,0.707286,,3600s8c32G
29,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,connect-4,best_ensemble_model,4,,,0.7172890000000001,,3600s8c32G
30,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,segment,best_ensemble_model,0,,,0.9870129999999999,,3600s8c32G
31,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s8c32G
33,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,segment,best_ensemble_model,3,,,0.9870129999999999,,3600s8c32G
34,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Australian,best_ensemble_model,0,,,0.8858229999999999,,3600s8c32G
36,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Australian,best_ensemble_model,1,,,0.8637520000000001,,3600s8c32G
37,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Australian,best_ensemble_model,2,,,0.803905,,3600s8c32G
38,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Australian,best_ensemble_model,3,,,0.817063,,3600s8c32G
39,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
40,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,adult,best_ensemble_model,0,,,0.848666,,3600s8c32G
41,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,adult,best_ensemble_model,1,,,0.8385309999999999,,3600s8c32G
42,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,adult,best_ensemble_model,2,,,0.8515940000000001,,3600s8c32G
43,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,adult,best_ensemble_model,3,,,0.8460770000000001,,3600s8c32G
44,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,adult,best_ensemble_model,4,,,0.8386290000000001,,3600s8c32G
45,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Albert,best_ensemble_model,0,,,0.568032,,3600s8c32G
46,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Albert,best_ensemble_model,1,,,0.566315,,3600s8c32G
47,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Albert,best_ensemble_model,2,,,0.567186,,3600s8c32G
48,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Albert,best_ensemble_model,3,,,0.564552,,3600s8c32G
49,autosklearnHyperbandTowering_repeats5_folds5_level3_stackSelf_fix_repetitionsTRUE_ParallelBugFix,Albert,best_ensemble_model,4,,,0.570501,,3600s8c32G
