,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,autosklearn,cnae-9,best_ensemble_model,1,,,0.916667,,3600s8c32G
2,autosklearn,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
3,autosklearn,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
4,autosklearn,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearn,higgs,best_ensemble_model,0,,,0.733074,,3600s8c32G
6,autosklearn,higgs,best_ensemble_model,1,,,0.724909,,3600s8c32G
7,autosklearn,higgs,best_ensemble_model,2,,,0.7293270000000001,,3600s8c32G
8,autosklearn,higgs,best_ensemble_model,3,,,0.735517,,3600s8c32G
9,autosklearn,higgs,best_ensemble_model,4,,,0.738961,,3600s8c32G
10,autosklearn,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearn,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearn,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearn,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn,vehicle,best_ensemble_model,0,,,0.918831,,3600s8c32G
16,autosklearn,vehicle,best_ensemble_model,1,,,0.8365799999999999,,3600s8c32G
17,autosklearn,vehicle,best_ensemble_model,2,,,0.8371209999999999,,3600s8c32G
18,autosklearn,vehicle,best_ensemble_model,3,,,0.8955629999999999,,3600s8c32G
19,autosklearn,vehicle,best_ensemble_model,4,,,0.8733770000000001,,3600s8c32G
20,autosklearn,MiniBooNE,best_ensemble_model,0,,,0.939845,,3600s8c32G
21,autosklearn,MiniBooNE,best_ensemble_model,1,,,0.940225,,3600s8c32G
22,autosklearn,MiniBooNE,best_ensemble_model,2,,,0.9403469999999999,,3600s8c32G
23,autosklearn,MiniBooNE,best_ensemble_model,3,,,0.945377,,3600s8c32G
24,autosklearn,MiniBooNE,best_ensemble_model,4,,,0.944667,,3600s8c32G
25,autosklearn,connect-4,best_ensemble_model,0,,,0.762798,,3600s8c32G
26,autosklearn,connect-4,best_ensemble_model,1,,,0.756885,,3600s8c32G
27,autosklearn,connect-4,best_ensemble_model,2,,,0.7665489999999999,,3600s8c32G
28,autosklearn,connect-4,best_ensemble_model,3,,,0.757729,,3600s8c32G
29,autosklearn,connect-4,best_ensemble_model,4,,,0.77749,,3600s8c32G
30,autosklearn,segment,best_ensemble_model,0,,,0.9870129999999999,,3600s8c32G
31,autosklearn,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearn,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s8c32G
33,autosklearn,segment,best_ensemble_model,3,,,0.9870129999999999,,3600s8c32G
34,autosklearn,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn,Australian,best_ensemble_model,0,,,0.8624790000000001,,3600s8c32G
36,autosklearn,Australian,best_ensemble_model,1,,,0.8667229999999999,,3600s8c32G
37,autosklearn,Australian,best_ensemble_model,2,,,0.84635,,3600s8c32G
38,autosklearn,Australian,best_ensemble_model,3,,,0.806876,,3600s8c32G
39,autosklearn,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
40,autosklearn,adult,best_ensemble_model,0,,,0.849291,,3600s8c32G
41,autosklearn,adult,best_ensemble_model,1,,,0.837392,,3600s8c32G
42,autosklearn,adult,best_ensemble_model,2,,,0.850909,,3600s8c32G
43,autosklearn,adult,best_ensemble_model,3,,,0.845515,,3600s8c32G
44,autosklearn,adult,best_ensemble_model,4,,,0.835363,,3600s8c32G
45,autosklearn,Albert,best_ensemble_model,0,,,0.684343,,3600s8c32G
46,autosklearn,Albert,best_ensemble_model,1,,,0.686789,,3600s8c32G
47,autosklearn,Albert,best_ensemble_model,2,,,0.688106,,3600s8c32G
48,autosklearn,Albert,best_ensemble_model,3,,,0.6841079999999999,,3600s8c32G
49,autosklearn,Albert,best_ensemble_model,4,,,0.686836,,3600s8c32G
