,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,AutoGluon,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,3600s8c32G
2,AutoGluon,cnae-9,best_ensemble_model,2,,,0.9814809999999999,,3600s8c32G
3,AutoGluon,cnae-9,best_ensemble_model,3,,,0.898148,,3600s8c32G
4,AutoGluon,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,AutoGluon,higgs,best_ensemble_model,0,,,,,3600s8c32G
6,AutoGluon,higgs,best_ensemble_model,1,,,,,3600s8c32G
7,AutoGluon,higgs,best_ensemble_model,2,,,,,3600s8c32G
8,AutoGluon,higgs,best_ensemble_model,3,,,0.731835,,3600s8c32G
9,AutoGluon,higgs,best_ensemble_model,4,,,,,3600s8c32G
10,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.98503,,3600s8c32G
12,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,AutoGluon,vehicle,best_ensemble_model,0,,,0.859253,,3600s8c32G
16,AutoGluon,vehicle,best_ensemble_model,1,,,0.8490260000000001,,3600s8c32G
17,AutoGluon,vehicle,best_ensemble_model,2,,,0.8371209999999999,,3600s8c32G
18,AutoGluon,vehicle,best_ensemble_model,3,,,0.872294,,3600s8c32G
19,AutoGluon,vehicle,best_ensemble_model,4,,,0.8490260000000001,,3600s8c32G
20,AutoGluon,MiniBooNE,best_ensemble_model,0,,,0.939688,,3600s8c32G
21,AutoGluon,MiniBooNE,best_ensemble_model,1,,,0.9463440000000001,,3600s8c32G
22,AutoGluon,MiniBooNE,best_ensemble_model,2,,,0.945652,,3600s8c32G
23,AutoGluon,MiniBooNE,best_ensemble_model,3,,,0.948355,,3600s8c32G
24,AutoGluon,MiniBooNE,best_ensemble_model,4,,,0.949449,,3600s8c32G
25,AutoGluon,connect-4,best_ensemble_model,0,,,0.7622260000000001,,3600s8c32G
26,AutoGluon,connect-4,best_ensemble_model,1,,,0.751604,,3600s8c32G
27,AutoGluon,connect-4,best_ensemble_model,2,,,0.775396,,3600s8c32G
28,AutoGluon,connect-4,best_ensemble_model,3,,,0.7655270000000001,,3600s8c32G
29,AutoGluon,connect-4,best_ensemble_model,4,,,0.7673479999999999,,3600s8c32G
30,AutoGluon,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,AutoGluon,segment,best_ensemble_model,1,,,0.978355,,3600s8c32G
32,AutoGluon,segment,best_ensemble_model,2,,,0.9870129999999999,,3600s8c32G
33,AutoGluon,segment,best_ensemble_model,3,,,0.9913420000000001,,3600s8c32G
34,AutoGluon,segment,best_ensemble_model,4,,,0.9956709999999999,,3600s8c32G
35,AutoGluon,Australian,best_ensemble_model,0,,,0.8595079999999999,,3600s8c32G
36,AutoGluon,Australian,best_ensemble_model,1,,,0.8314940000000001,,3600s8c32G
37,AutoGluon,Australian,best_ensemble_model,2,,,0.853565,,3600s8c32G
38,AutoGluon,Australian,best_ensemble_model,3,,,0.8565370000000001,,3600s8c32G
39,AutoGluon,Australian,best_ensemble_model,4,,,0.8828520000000001,,3600s8c32G
40,AutoGluon,adult,best_ensemble_model,0,,,0.8141189999999999,,3600s8c32G
41,AutoGluon,adult,best_ensemble_model,1,,,0.823235,,3600s8c32G
42,AutoGluon,adult,best_ensemble_model,2,,,0.803238,,3600s8c32G
43,AutoGluon,adult,best_ensemble_model,3,,,0.807604,,3600s8c32G
44,AutoGluon,adult,best_ensemble_model,4,,,0.810796,,3600s8c32G
45,AutoGluon,Albert,best_ensemble_model,0,,,0.701086,,3600s8c32G
46,AutoGluon,Albert,best_ensemble_model,1,,,0.700687,,3600s8c32G
47,AutoGluon,Albert,best_ensemble_model,2,,,0.704144,,3600s8c32G
48,AutoGluon,Albert,best_ensemble_model,3,,,0.699558,,3600s8c32G
49,AutoGluon,Albert,best_ensemble_model,4,,,0.700969,,3600s8c32G
