,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_iterative,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_iterative,cnae-9,best_ensemble_model,1,,,0.907407,,3600s8c32G
2,autosklearnEnsembleIntensification_iterative,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_iterative,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
4,autosklearnEnsembleIntensification_iterative,cnae-9,best_ensemble_model,4,,,0.9814809999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_iterative,higgs,best_ensemble_model,0,,,0.7347239999999999,,3600s8c32G
6,autosklearnEnsembleIntensification_iterative,higgs,best_ensemble_model,1,,,0.72532,,3600s8c32G
7,autosklearnEnsembleIntensification_iterative,higgs,best_ensemble_model,2,,,0.735556,,3600s8c32G
8,autosklearnEnsembleIntensification_iterative,higgs,best_ensemble_model,3,,,0.738362,,3600s8c32G
9,autosklearnEnsembleIntensification_iterative,higgs,best_ensemble_model,4,,,0.73333,,3600s8c32G
10,autosklearnEnsembleIntensification_iterative,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_iterative,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearnEnsembleIntensification_iterative,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_iterative,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_iterative,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_iterative,vehicle,best_ensemble_model,0,,,0.8932899999999999,,3600s8c32G
16,autosklearnEnsembleIntensification_iterative,vehicle,best_ensemble_model,1,,,0.8371209999999999,,3600s8c32G
17,autosklearnEnsembleIntensification_iterative,vehicle,best_ensemble_model,2,,,0.8371209999999999,,3600s8c32G
18,autosklearnEnsembleIntensification_iterative,vehicle,best_ensemble_model,3,,,0.8490260000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_iterative,vehicle,best_ensemble_model,4,,,0.9080090000000001,,3600s8c32G
20,autosklearnEnsembleIntensification_iterative,MiniBooNE,best_ensemble_model,0,,,0.9420059999999999,,3600s8c32G
21,autosklearnEnsembleIntensification_iterative,MiniBooNE,best_ensemble_model,1,,,0.9410280000000001,,3600s8c32G
22,autosklearnEnsembleIntensification_iterative,MiniBooNE,best_ensemble_model,2,,,0.94527,,3600s8c32G
23,autosklearnEnsembleIntensification_iterative,MiniBooNE,best_ensemble_model,3,,,0.946418,,3600s8c32G
24,autosklearnEnsembleIntensification_iterative,MiniBooNE,best_ensemble_model,4,,,0.946052,,3600s8c32G
25,autosklearnEnsembleIntensification_iterative,connect-4,best_ensemble_model,0,,,0.77736,,3600s8c32G
26,autosklearnEnsembleIntensification_iterative,connect-4,best_ensemble_model,1,,,0.785821,,3600s8c32G
27,autosklearnEnsembleIntensification_iterative,connect-4,best_ensemble_model,2,,,0.795984,,3600s8c32G
28,autosklearnEnsembleIntensification_iterative,connect-4,best_ensemble_model,3,,,0.772036,,3600s8c32G
29,autosklearnEnsembleIntensification_iterative,connect-4,best_ensemble_model,4,,,0.781154,,3600s8c32G
30,autosklearnEnsembleIntensification_iterative,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_iterative,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearnEnsembleIntensification_iterative,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s8c32G
33,autosklearnEnsembleIntensification_iterative,segment,best_ensemble_model,3,,,0.9870129999999999,,3600s8c32G
34,autosklearnEnsembleIntensification_iterative,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearnEnsembleIntensification_iterative,Australian,best_ensemble_model,0,,,0.8726659999999999,,3600s8c32G
36,autosklearnEnsembleIntensification_iterative,Australian,best_ensemble_model,1,,,0.8637520000000001,,3600s8c32G
37,autosklearnEnsembleIntensification_iterative,Australian,best_ensemble_model,2,,,0.820034,,3600s8c32G
38,autosklearnEnsembleIntensification_iterative,Australian,best_ensemble_model,3,,,0.8595079999999999,,3600s8c32G
39,autosklearnEnsembleIntensification_iterative,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
40,autosklearnEnsembleIntensification_iterative,adult,best_ensemble_model,0,,,0.8476040000000001,,3600s8c32G
41,autosklearnEnsembleIntensification_iterative,adult,best_ensemble_model,1,,,0.838786,,3600s8c32G
42,autosklearnEnsembleIntensification_iterative,adult,best_ensemble_model,2,,,0.850909,,3600s8c32G
43,autosklearnEnsembleIntensification_iterative,adult,best_ensemble_model,3,,,0.841454,,3600s8c32G
44,autosklearnEnsembleIntensification_iterative,adult,best_ensemble_model,4,,,0.842274,,3600s8c32G
45,autosklearnEnsembleIntensification_iterative,Albert,best_ensemble_model,0,,,0.68352,,3600s8c32G
46,autosklearnEnsembleIntensification_iterative,Albert,best_ensemble_model,1,,,0.685519,,3600s8c32G
47,autosklearnEnsembleIntensification_iterative,Albert,best_ensemble_model,2,,,0.6884819999999999,,3600s8c32G
48,autosklearnEnsembleIntensification_iterative,Albert,best_ensemble_model,3,,,0.687659,,3600s8c32G
49,autosklearnEnsembleIntensification_iterative,Albert,best_ensemble_model,4,,,0.688458,,3600s8c32G
