,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient,cnae-9,best_ensemble_model,0,,,0.9814809999999999,,3600s8c32G
1,autosklearn_memefficient,cnae-9,best_ensemble_model,1,,,0.907407,,3600s8c32G
2,autosklearn_memefficient,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearn_memefficient,cnae-9,best_ensemble_model,3,,,0.925926,,3600s8c32G
4,autosklearn_memefficient,cnae-9,best_ensemble_model,4,,,0.9814809999999999,,3600s8c32G
5,autosklearn_memefficient,higgs,best_ensemble_model,0,,,0.73247,,3600s8c32G
6,autosklearn_memefficient,higgs,best_ensemble_model,1,,,0.7252390000000001,,3600s8c32G
7,autosklearn_memefficient,higgs,best_ensemble_model,2,,,0.737822,,3600s8c32G
8,autosklearn_memefficient,higgs,best_ensemble_model,3,,,0.731409,,3600s8c32G
9,autosklearn_memefficient,higgs,best_ensemble_model,4,,,0.735926,,3600s8c32G
10,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_memefficient,vehicle,best_ensemble_model,0,,,0.871158,,3600s8c32G
16,autosklearn_memefficient,vehicle,best_ensemble_model,1,,,0.825758,,3600s8c32G
17,autosklearn_memefficient,vehicle,best_ensemble_model,2,,,0.77868,,3600s8c32G
18,autosklearn_memefficient,vehicle,best_ensemble_model,3,,,0.825216,,3600s8c32G
19,autosklearn_memefficient,vehicle,best_ensemble_model,4,,,0.8733770000000001,,3600s8c32G
20,autosklearn_memefficient,MiniBooNE,best_ensemble_model,0,,,0.938536,,3600s8c32G
21,autosklearn_memefficient,MiniBooNE,best_ensemble_model,1,,,0.939574,,3600s8c32G
22,autosklearn_memefficient,MiniBooNE,best_ensemble_model,2,,,0.9439049999999999,,3600s8c32G
23,autosklearn_memefficient,MiniBooNE,best_ensemble_model,3,,,0.944342,,3600s8c32G
24,autosklearn_memefficient,MiniBooNE,best_ensemble_model,4,,,0.9460620000000001,,3600s8c32G
25,autosklearn_memefficient,connect-4,best_ensemble_model,0,,,0.7713800000000001,,3600s8c32G
26,autosklearn_memefficient,connect-4,best_ensemble_model,1,,,0.772649,,3600s8c32G
27,autosklearn_memefficient,connect-4,best_ensemble_model,2,,,0.7847029999999999,,3600s8c32G
28,autosklearn_memefficient,connect-4,best_ensemble_model,3,,,0.760046,,3600s8c32G
29,autosklearn_memefficient,connect-4,best_ensemble_model,4,,,0.7758649999999999,,3600s8c32G
30,autosklearn_memefficient,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearn_memefficient,segment,best_ensemble_model,1,,,0.9870129999999999,,3600s8c32G
32,autosklearn_memefficient,segment,best_ensemble_model,2,,,0.982684,,3600s8c32G
33,autosklearn_memefficient,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s8c32G
34,autosklearn_memefficient,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn_memefficient,Australian,best_ensemble_model,0,,,0.8624790000000001,,3600s8c32G
36,autosklearn_memefficient,Australian,best_ensemble_model,1,,,0.815365,,3600s8c32G
37,autosklearn_memefficient,Australian,best_ensemble_model,2,,,0.8302209999999999,,3600s8c32G
38,autosklearn_memefficient,Australian,best_ensemble_model,3,,,0.8433790000000001,,3600s8c32G
39,autosklearn_memefficient,Australian,best_ensemble_model,4,,,0.8858229999999999,,3600s8c32G
40,autosklearn_memefficient,adult,best_ensemble_model,0,,,0.850416,,3600s8c32G
41,autosklearn_memefficient,adult,best_ensemble_model,1,,,0.839425,,3600s8c32G
42,autosklearn_memefficient,adult,best_ensemble_model,2,,,0.850249,,3600s8c32G
43,autosklearn_memefficient,adult,best_ensemble_model,3,,,0.842384,,3600s8c32G
44,autosklearn_memefficient,adult,best_ensemble_model,4,,,0.8388610000000001,,3600s8c32G
45,autosklearn_memefficient,Albert,best_ensemble_model,0,,,0.68787,,3600s8c32G
46,autosklearn_memefficient,Albert,best_ensemble_model,1,,,0.687823,,3600s8c32G
47,autosklearn_memefficient,Albert,best_ensemble_model,2,,,0.69128,,3600s8c32G
48,autosklearn_memefficient,Albert,best_ensemble_model,3,,,0.6810039999999999,,3600s8c32G
49,autosklearn_memefficient,Albert,best_ensemble_model,4,,,0.691398,,3600s8c32G
