,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient_iterative3folds,Airlines,best_ensemble_model,0,,,0.662972,,3600s8c32G
1,autosklearn_memefficient_iterative3folds,Airlines,best_ensemble_model,1,,,0.6641630000000001,,3600s8c32G
2,autosklearn_memefficient_iterative3folds,Airlines,best_ensemble_model,2,,,0.66562,,3600s8c32G
3,autosklearn_memefficient_iterative3folds,Airlines,best_ensemble_model,3,,,0.665733,,3600s8c32G
4,autosklearn_memefficient_iterative3folds,Airlines,best_ensemble_model,4,,,0.661231,,3600s8c32G
5,autosklearn_memefficient_iterative3folds,Albert,best_ensemble_model,0,,,0.689422,,3600s8c32G
6,autosklearn_memefficient_iterative3folds,Albert,best_ensemble_model,1,,,0.6884819999999999,,3600s8c32G
7,autosklearn_memefficient_iterative3folds,Albert,best_ensemble_model,2,,,0.6901510000000001,,3600s8c32G
8,autosklearn_memefficient_iterative3folds,Albert,best_ensemble_model,3,,,0.6913739999999999,,3600s8c32G
9,autosklearn_memefficient_iterative3folds,Albert,best_ensemble_model,4,,,0.689963,,3600s8c32G
10,autosklearn_memefficient_iterative3folds,Covertype,best_ensemble_model,0,,,0.958881,,3600s8c32G
11,autosklearn_memefficient_iterative3folds,Covertype,best_ensemble_model,1,,,0.962249,,3600s8c32G
12,autosklearn_memefficient_iterative3folds,Covertype,best_ensemble_model,2,,,0.959852,,3600s8c32G
13,autosklearn_memefficient_iterative3folds,Covertype,best_ensemble_model,3,,,0.9633719999999999,,3600s8c32G
14,autosklearn_memefficient_iterative3folds,Covertype,best_ensemble_model,4,,,0.9573520000000001,,3600s8c32G
15,autosklearn_memefficient_iterative3folds,Dionis,best_ensemble_model,0,,,0.8520700000000001,,3600s8c32G
16,autosklearn_memefficient_iterative3folds,Dionis,best_ensemble_model,1,,,0.8504799999999999,,3600s8c32G
17,autosklearn_memefficient_iterative3folds,Dionis,best_ensemble_model,2,,,0.851181,,3600s8c32G
18,autosklearn_memefficient_iterative3folds,Dionis,best_ensemble_model,3,,,0.8498450000000001,,3600s8c32G
19,autosklearn_memefficient_iterative3folds,Dionis,best_ensemble_model,4,,,0.8833110000000001,,3600s8c32G
