,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_autogluonstrategy_iterative,Airlines,best_ensemble_model,0,,,0.6653020000000001,,3600s8c32G
1,autosklearn_autogluonstrategy_iterative,Airlines,best_ensemble_model,1,,,0.669312,,3600s8c32G
2,autosklearn_autogluonstrategy_iterative,Airlines,best_ensemble_model,2,,,0.667504,,3600s8c32G
3,autosklearn_autogluonstrategy_iterative,Airlines,best_ensemble_model,3,,,0.669905,,3600s8c32G
4,autosklearn_autogluonstrategy_iterative,Airlines,best_ensemble_model,4,,,0.663778,,3600s8c32G
5,autosklearn_autogluonstrategy_iterative,Albert,best_ensemble_model,0,,,0.6851430000000001,,3600s8c32G
6,autosklearn_autogluonstrategy_iterative,Albert,best_ensemble_model,1,,,0.684954,,3600s8c32G
7,autosklearn_autogluonstrategy_iterative,Albert,best_ensemble_model,2,,,0.688247,,3600s8c32G
8,autosklearn_autogluonstrategy_iterative,Albert,best_ensemble_model,3,,,0.6857770000000001,,3600s8c32G
9,autosklearn_autogluonstrategy_iterative,Albert,best_ensemble_model,4,,,0.687447,,3600s8c32G
10,autosklearn_autogluonstrategy_iterative,Covertype,best_ensemble_model,0,,,0.9580780000000001,,3600s8c32G
11,autosklearn_autogluonstrategy_iterative,Covertype,best_ensemble_model,1,,,0.958464,,3600s8c32G
12,autosklearn_autogluonstrategy_iterative,Covertype,best_ensemble_model,2,,,0.963234,,3600s8c32G
13,autosklearn_autogluonstrategy_iterative,Covertype,best_ensemble_model,3,,,0.959946,,3600s8c32G
14,autosklearn_autogluonstrategy_iterative,Covertype,best_ensemble_model,4,,,0.958865,,3600s8c32G
15,autosklearn_autogluonstrategy_iterative,Dionis,best_ensemble_model,0,,,0.8861209999999999,,3600s8c32G
16,autosklearn_autogluonstrategy_iterative,Dionis,best_ensemble_model,1,,,0.883843,,3600s8c32G
17,autosklearn_autogluonstrategy_iterative,Dionis,best_ensemble_model,2,,,0.882584,,3600s8c32G
18,autosklearn_autogluonstrategy_iterative,Dionis,best_ensemble_model,3,,,0.8818290000000001,,3600s8c32G
19,autosklearn_autogluonstrategy_iterative,Dionis,best_ensemble_model,4,,,0.8833110000000001,,3600s8c32G
