,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Airlines,best_ensemble_model,0,,,0.666983,,3600s8c32G
1,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Airlines,best_ensemble_model,1,,,0.6694899999999999,,3600s8c32G
2,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Airlines,best_ensemble_model,2,,,0.667934,,3600s8c32G
3,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Airlines,best_ensemble_model,3,,,0.669172,,3600s8c32G
4,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Airlines,best_ensemble_model,4,,,0.664141,,3600s8c32G
5,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Albert,best_ensemble_model,0,,,0.687,,3600s8c32G
6,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Albert,best_ensemble_model,1,,,0.685801,,3600s8c32G
7,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Albert,best_ensemble_model,2,,,0.688294,,3600s8c32G
8,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Albert,best_ensemble_model,3,,,0.686883,,3600s8c32G
9,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Albert,best_ensemble_model,4,,,0.6882229999999999,,3600s8c32G
10,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Covertype,best_ensemble_model,0,,,0.958881,,3600s8c32G
11,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Covertype,best_ensemble_model,1,,,0.958464,,3600s8c32G
12,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Covertype,best_ensemble_model,2,,,0.954225,,3600s8c32G
13,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Covertype,best_ensemble_model,3,,,0.966887,,3600s8c32G
14,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Covertype,best_ensemble_model,4,,,0.957268,,3600s8c32G
15,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Dionis,best_ensemble_model,0,,,0.8743270000000001,,3600s8c32G
16,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Dionis,best_ensemble_model,1,,,0.886193,,3600s8c32G
17,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Dionis,best_ensemble_model,2,,,0.8847649999999999,,3600s8c32G
18,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Dionis,best_ensemble_model,3,,,0.8818290000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_iterative_nologlosstiebreak_indivrepeat,Dionis,best_ensemble_model,4,,,0.8772200000000001,,3600s8c32G
