,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_noniterative_nonparallel,cnae-9,best_ensemble_model,0,,,0.9814809999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_noniterative_nonparallel,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearnEnsembleIntensification_noniterative_nonparallel,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_noniterative_nonparallel,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
4,autosklearnEnsembleIntensification_noniterative_nonparallel,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_noniterative_nonparallel,higgs,best_ensemble_model,0,,,0.736085,,3600s8c32G
6,autosklearnEnsembleIntensification_noniterative_nonparallel,higgs,best_ensemble_model,1,,,0.725438,,3600s8c32G
7,autosklearnEnsembleIntensification_noniterative_nonparallel,higgs,best_ensemble_model,2,,,0.735697,,3600s8c32G
8,autosklearnEnsembleIntensification_noniterative_nonparallel,higgs,best_ensemble_model,3,,,0.7337899999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_noniterative_nonparallel,higgs,best_ensemble_model,4,,,0.735618,,3600s8c32G
10,autosklearnEnsembleIntensification_noniterative_nonparallel,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_noniterative_nonparallel,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearnEnsembleIntensification_noniterative_nonparallel,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_noniterative_nonparallel,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearnEnsembleIntensification_noniterative_nonparallel,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_noniterative_nonparallel,vehicle,best_ensemble_model,0,,,0.917695,,3600s8c32G
16,autosklearnEnsembleIntensification_noniterative_nonparallel,vehicle,best_ensemble_model,1,,,0.8371209999999999,,3600s8c32G
17,autosklearnEnsembleIntensification_noniterative_nonparallel,vehicle,best_ensemble_model,2,,,0.801948,,3600s8c32G
18,autosklearnEnsembleIntensification_noniterative_nonparallel,vehicle,best_ensemble_model,3,,,0.8468610000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_noniterative_nonparallel,vehicle,best_ensemble_model,4,,,0.8614719999999999,,3600s8c32G
20,autosklearnEnsembleIntensification_noniterative_nonparallel,MiniBooNE,best_ensemble_model,0,,,0.9428540000000001,,3600s8c32G
21,autosklearnEnsembleIntensification_noniterative_nonparallel,MiniBooNE,best_ensemble_model,1,,,0.9436129999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_noniterative_nonparallel,MiniBooNE,best_ensemble_model,2,,,0.9454520000000001,,3600s8c32G
23,autosklearnEnsembleIntensification_noniterative_nonparallel,MiniBooNE,best_ensemble_model,3,,,0.9473389999999999,,3600s8c32G
24,autosklearnEnsembleIntensification_noniterative_nonparallel,MiniBooNE,best_ensemble_model,4,,,0.946981,,3600s8c32G
25,autosklearnEnsembleIntensification_noniterative_nonparallel,connect-4,best_ensemble_model,0,,,0.77773,,3600s8c32G
26,autosklearnEnsembleIntensification_noniterative_nonparallel,connect-4,best_ensemble_model,1,,,0.7842680000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_noniterative_nonparallel,connect-4,best_ensemble_model,2,,,0.7994829999999999,,3600s8c32G
28,autosklearnEnsembleIntensification_noniterative_nonparallel,connect-4,best_ensemble_model,3,,,0.780447,,3600s8c32G
29,autosklearnEnsembleIntensification_noniterative_nonparallel,connect-4,best_ensemble_model,4,,,0.77495,,3600s8c32G
30,autosklearnEnsembleIntensification_noniterative_nonparallel,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_noniterative_nonparallel,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearnEnsembleIntensification_noniterative_nonparallel,segment,best_ensemble_model,2,,,0.982684,,3600s8c32G
33,autosklearnEnsembleIntensification_noniterative_nonparallel,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s8c32G
34,autosklearnEnsembleIntensification_noniterative_nonparallel,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearnEnsembleIntensification_noniterative_nonparallel,Australian,best_ensemble_model,0,,,0.9151100000000001,,3600s8c32G
36,autosklearnEnsembleIntensification_noniterative_nonparallel,Australian,best_ensemble_model,1,,,0.8314940000000001,,3600s8c32G
37,autosklearnEnsembleIntensification_noniterative_nonparallel,Australian,best_ensemble_model,2,,,0.8302209999999999,,3600s8c32G
38,autosklearnEnsembleIntensification_noniterative_nonparallel,Australian,best_ensemble_model,3,,,0.84635,,3600s8c32G
39,autosklearnEnsembleIntensification_noniterative_nonparallel,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
40,autosklearnEnsembleIntensification_noniterative_nonparallel,adult,best_ensemble_model,0,,,0.847311,,3600s8c32G
41,autosklearnEnsembleIntensification_noniterative_nonparallel,adult,best_ensemble_model,1,,,0.83831,,3600s8c32G
42,autosklearnEnsembleIntensification_noniterative_nonparallel,adult,best_ensemble_model,2,,,0.8496,,3600s8c32G
43,autosklearnEnsembleIntensification_noniterative_nonparallel,adult,best_ensemble_model,3,,,0.8437530000000001,,3600s8c32G
44,autosklearnEnsembleIntensification_noniterative_nonparallel,adult,best_ensemble_model,4,,,0.8385309999999999,,3600s8c32G
45,autosklearnEnsembleIntensification_noniterative_nonparallel,Albert,best_ensemble_model,0,,,0.687682,,3600s8c32G
46,autosklearnEnsembleIntensification_noniterative_nonparallel,Albert,best_ensemble_model,1,,,0.690669,,3600s8c32G
47,autosklearnEnsembleIntensification_noniterative_nonparallel,Albert,best_ensemble_model,2,,,0.692809,,3600s8c32G
48,autosklearnEnsembleIntensification_noniterative_nonparallel,Albert,best_ensemble_model,3,,,0.690975,,3600s8c32G
49,autosklearnEnsembleIntensification_noniterative_nonparallel,Albert,best_ensemble_model,4,,,0.693679,,3600s8c32G
