,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_noniterative_parallel,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_noniterative_parallel,cnae-9,best_ensemble_model,1,,,0.907407,,3600s8c32G
2,autosklearnEnsembleIntensification_noniterative_parallel,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_noniterative_parallel,cnae-9,best_ensemble_model,3,,,0.9629629999999999,,3600s8c32G
4,autosklearnEnsembleIntensification_noniterative_parallel,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_noniterative_parallel,higgs,best_ensemble_model,0,,,0.736475,,3600s8c32G
6,autosklearnEnsembleIntensification_noniterative_parallel,higgs,best_ensemble_model,1,,,0.725337,,3600s8c32G
7,autosklearnEnsembleIntensification_noniterative_parallel,higgs,best_ensemble_model,2,,,0.7350409999999999,,3600s8c32G
8,autosklearnEnsembleIntensification_noniterative_parallel,higgs,best_ensemble_model,3,,,0.733283,,3600s8c32G
9,autosklearnEnsembleIntensification_noniterative_parallel,higgs,best_ensemble_model,4,,,0.7350270000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_noniterative_parallel,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_noniterative_parallel,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_noniterative_parallel,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_noniterative_parallel,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearnEnsembleIntensification_noniterative_parallel,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_noniterative_parallel,vehicle,best_ensemble_model,0,,,0.859848,,3600s8c32G
16,autosklearnEnsembleIntensification_noniterative_parallel,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s8c32G
17,autosklearnEnsembleIntensification_noniterative_parallel,vehicle,best_ensemble_model,2,,,0.8138529999999999,,3600s8c32G
18,autosklearnEnsembleIntensification_noniterative_parallel,vehicle,best_ensemble_model,3,,,0.858766,,3600s8c32G
19,autosklearnEnsembleIntensification_noniterative_parallel,vehicle,best_ensemble_model,4,,,0.872294,,3600s8c32G
20,autosklearnEnsembleIntensification_noniterative_parallel,MiniBooNE,best_ensemble_model,0,,,0.943472,,3600s8c32G
21,autosklearnEnsembleIntensification_noniterative_parallel,MiniBooNE,best_ensemble_model,1,,,0.9431860000000001,,3600s8c32G
22,autosklearnEnsembleIntensification_noniterative_parallel,MiniBooNE,best_ensemble_model,2,,,0.9443940000000001,,3600s8c32G
23,autosklearnEnsembleIntensification_noniterative_parallel,MiniBooNE,best_ensemble_model,3,,,0.948677,,3600s8c32G
24,autosklearnEnsembleIntensification_noniterative_parallel,MiniBooNE,best_ensemble_model,4,,,0.9466190000000001,,3600s8c32G
25,autosklearnEnsembleIntensification_noniterative_parallel,connect-4,best_ensemble_model,0,,,0.783367,,3600s8c32G
26,autosklearnEnsembleIntensification_noniterative_parallel,connect-4,best_ensemble_model,1,,,0.783405,,3600s8c32G
