,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,0,,,-0.054219,,3600s8c32G
1,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,1,,,-0.214504,,3600s8c32G
2,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,2,,,-0.09985989999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,3,,,-0.138785,,3600s8c32G
4,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,4,,,-0.08932230000000001,,3600s8c32G
5,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,0,,,0.820876,,3600s8c32G
6,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,1,,,0.813603,,3600s8c32G
7,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,2,,,0.819282,,3600s8c32G
8,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,3,,,0.820866,,3600s8c32G
9,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,4,,,0.823498,,3600s8c32G
10,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,0,,,0.9999610000000001,,3600s8c32G
11,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,1,,,0.9996870000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,2,,,0.999648,,3600s8c32G
13,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,0,,,-0.29989,,3600s8c32G
16,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,1,,,-0.348231,,3600s8c32G
17,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,2,,,-0.280934,,3600s8c32G
18,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,3,,,-0.2661,,3600s8c32G
19,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,4,,,-0.249023,,3600s8c32G
20,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,0,,,0.985608,,3600s8c32G
21,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,1,,,0.9872719999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,2,,,0.987042,,3600s8c32G
23,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,3,,,0.9873190000000001,,3600s8c32G
24,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,4,,,0.9875649999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,0,,,-0.326326,,3600s8c32G
26,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,1,,,-0.32471700000000003,,3600s8c32G
27,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,2,,,-0.30049000000000003,,3600s8c32G
28,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,3,,,-0.332984,,3600s8c32G
29,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,4,,,-0.329538,,3600s8c32G
30,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,0,,,-0.0777348,,3600s8c32G
31,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,1,,,-0.050699,,3600s8c32G
32,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,2,,,-0.0391,,3600s8c32G
33,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,3,,,-0.025617400000000002,,3600s8c32G
34,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,4,,,-0.00779623,,3600s8c32G
35,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,0,,,0.955008,,3600s8c32G
36,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,1,,,0.9134129999999999,,3600s8c32G
37,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,2,,,0.9066209999999999,,3600s8c32G
38,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,3,,,0.923599,,3600s8c32G
39,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,4,,,0.949915,,3600s8c32G
40,autosklearnEnsembleIntensification_noniterative,adult,best_ensemble_model,0,,,0.9325700000000001,,3600s8c32G
41,autosklearnEnsembleIntensification_noniterative,adult,best_ensemble_model,1,,,0.929875,,3600s8c32G
42,autosklearnEnsembleIntensification_noniterative,adult,best_ensemble_model,2,,,0.9310799999999999,,3600s8c32G
43,autosklearnEnsembleIntensification_noniterative,adult,best_ensemble_model,3,,,0.926918,,3600s8c32G
44,autosklearnEnsembleIntensification_noniterative,adult,best_ensemble_model,4,,,0.92801,,3600s8c32G
