,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_autogluonstrategy,cnae-9,best_ensemble_model,0,,,-0.147749,,3600s8c32G
1,autosklearn_autogluonstrategy,cnae-9,best_ensemble_model,1,,,-0.241787,,3600s8c32G
2,autosklearn_autogluonstrategy,cnae-9,best_ensemble_model,2,,,-0.12481099999999999,,3600s8c32G
3,autosklearn_autogluonstrategy,cnae-9,best_ensemble_model,3,,,-0.165078,,3600s8c32G
4,autosklearn_autogluonstrategy,cnae-9,best_ensemble_model,4,,,-0.136486,,3600s8c32G
5,autosklearn_autogluonstrategy,higgs,best_ensemble_model,0,,,0.819413,,3600s8c32G
6,autosklearn_autogluonstrategy,higgs,best_ensemble_model,1,,,0.8125819999999999,,3600s8c32G
7,autosklearn_autogluonstrategy,higgs,best_ensemble_model,2,,,0.817924,,3600s8c32G
8,autosklearn_autogluonstrategy,higgs,best_ensemble_model,3,,,0.8198770000000001,,3600s8c32G
9,autosklearn_autogluonstrategy,higgs,best_ensemble_model,4,,,0.823254,,3600s8c32G
10,autosklearn_autogluonstrategy,kr-vs-kp,best_ensemble_model,0,,,0.9999610000000001,,3600s8c32G
11,autosklearn_autogluonstrategy,kr-vs-kp,best_ensemble_model,1,,,0.9992559999999999,,3600s8c32G
12,autosklearn_autogluonstrategy,kr-vs-kp,best_ensemble_model,2,,,0.999569,,3600s8c32G
13,autosklearn_autogluonstrategy,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearn_autogluonstrategy,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_autogluonstrategy,vehicle,best_ensemble_model,0,,,-0.3039,,3600s8c32G
16,autosklearn_autogluonstrategy,vehicle,best_ensemble_model,1,,,,,3600s8c32G
17,autosklearn_autogluonstrategy,vehicle,best_ensemble_model,2,,,-0.345686,,3600s8c32G
18,autosklearn_autogluonstrategy,vehicle,best_ensemble_model,3,,,,,3600s8c32G
19,autosklearn_autogluonstrategy,vehicle,best_ensemble_model,4,,,,,3600s8c32G
20,autosklearn_autogluonstrategy,MiniBooNE,best_ensemble_model,0,,,0.984483,,3600s8c32G
21,autosklearn_autogluonstrategy,MiniBooNE,best_ensemble_model,1,,,0.9856010000000001,,3600s8c32G
22,autosklearn_autogluonstrategy,MiniBooNE,best_ensemble_model,2,,,0.985726,,3600s8c32G
23,autosklearn_autogluonstrategy,MiniBooNE,best_ensemble_model,3,,,0.986345,,3600s8c32G
24,autosklearn_autogluonstrategy,MiniBooNE,best_ensemble_model,4,,,0.986718,,3600s8c32G
25,autosklearn_autogluonstrategy,connect-4,best_ensemble_model,0,,,-0.35934,,3600s8c32G
26,autosklearn_autogluonstrategy,connect-4,best_ensemble_model,1,,,-0.35470799999999997,,3600s8c32G
27,autosklearn_autogluonstrategy,connect-4,best_ensemble_model,2,,,-0.340227,,3600s8c32G
28,autosklearn_autogluonstrategy,connect-4,best_ensemble_model,3,,,-0.35885,,3600s8c32G
29,autosklearn_autogluonstrategy,connect-4,best_ensemble_model,4,,,-0.357288,,3600s8c32G
30,autosklearn_autogluonstrategy,segment,best_ensemble_model,0,,,,,3600s8c32G
31,autosklearn_autogluonstrategy,segment,best_ensemble_model,1,,,-0.0496154,,3600s8c32G
32,autosklearn_autogluonstrategy,segment,best_ensemble_model,2,,,-0.039694400000000005,,3600s8c32G
33,autosklearn_autogluonstrategy,segment,best_ensemble_model,3,,,-0.0414735,,3600s8c32G
34,autosklearn_autogluonstrategy,segment,best_ensemble_model,4,,,-0.015848400000000002,,3600s8c32G
35,autosklearn_autogluonstrategy,Australian,best_ensemble_model,0,,,0.949915,,3600s8c32G
36,autosklearn_autogluonstrategy,Australian,best_ensemble_model,1,,,,,3600s8c32G
37,autosklearn_autogluonstrategy,Australian,best_ensemble_model,2,,,,,3600s8c32G
38,autosklearn_autogluonstrategy,Australian,best_ensemble_model,3,,,0.9202040000000001,,3600s8c32G
39,autosklearn_autogluonstrategy,Australian,best_ensemble_model,4,,,,,3600s8c32G
40,autosklearn_autogluonstrategy,adult,best_ensemble_model,0,,,0.93281,,3600s8c32G
41,autosklearn_autogluonstrategy,adult,best_ensemble_model,1,,,0.92963,,3600s8c32G
42,autosklearn_autogluonstrategy,adult,best_ensemble_model,2,,,0.931097,,3600s8c32G
43,autosklearn_autogluonstrategy,adult,best_ensemble_model,3,,,0.9269569999999999,,3600s8c32G
44,autosklearn_autogluonstrategy,adult,best_ensemble_model,4,,,0.928148,,3600s8c32G
45,autosklearn_autogluonstrategy,Albert,best_ensemble_model,0,,,0.7572949999999999,,3600s8c32G
46,autosklearn_autogluonstrategy,Albert,best_ensemble_model,1,,,0.757456,,3600s8c32G
47,autosklearn_autogluonstrategy,Albert,best_ensemble_model,2,,,0.759618,,3600s8c32G
48,autosklearn_autogluonstrategy,Albert,best_ensemble_model,3,,,0.757444,,3600s8c32G
49,autosklearn_autogluonstrategy,Albert,best_ensemble_model,4,,,0.760516,,3600s8c32G
