,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_memefficient,cnae-9,best_ensemble_model,0,,,-0.0951629,,3600s8c32G
1,autosklearn_memefficient,cnae-9,best_ensemble_model,1,,,-0.29044899999999996,,3600s8c32G
2,autosklearn_memefficient,cnae-9,best_ensemble_model,2,,,-0.10711500000000002,,3600s8c32G
3,autosklearn_memefficient,cnae-9,best_ensemble_model,3,,,-0.129498,,3600s8c32G
4,autosklearn_memefficient,cnae-9,best_ensemble_model,4,,,-0.146445,,3600s8c32G
5,autosklearn_memefficient,higgs,best_ensemble_model,0,,,0.821159,,3600s8c32G
6,autosklearn_memefficient,higgs,best_ensemble_model,1,,,0.812178,,3600s8c32G
7,autosklearn_memefficient,higgs,best_ensemble_model,2,,,0.8188380000000001,,3600s8c32G
8,autosklearn_memefficient,higgs,best_ensemble_model,3,,,0.820448,,3600s8c32G
9,autosklearn_memefficient,higgs,best_ensemble_model,4,,,0.821254,,3600s8c32G
10,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,0,,,0.999922,,3600s8c32G
11,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,1,,,0.999765,,3600s8c32G
12,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,2,,,0.999843,,3600s8c32G
13,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearn_memefficient,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_memefficient,vehicle,best_ensemble_model,0,,,-0.275935,,3600s8c32G
16,autosklearn_memefficient,vehicle,best_ensemble_model,1,,,-0.34726799999999997,,3600s8c32G
17,autosklearn_memefficient,vehicle,best_ensemble_model,2,,,-0.344907,,3600s8c32G
18,autosklearn_memefficient,vehicle,best_ensemble_model,3,,,-0.350835,,3600s8c32G
19,autosklearn_memefficient,vehicle,best_ensemble_model,4,,,-0.272725,,3600s8c32G
20,autosklearn_memefficient,MiniBooNE,best_ensemble_model,0,,,0.9853639999999999,,3600s8c32G
21,autosklearn_memefficient,MiniBooNE,best_ensemble_model,1,,,0.9863940000000001,,3600s8c32G
22,autosklearn_memefficient,MiniBooNE,best_ensemble_model,2,,,0.986762,,3600s8c32G
23,autosklearn_memefficient,MiniBooNE,best_ensemble_model,3,,,0.9863940000000001,,3600s8c32G
24,autosklearn_memefficient,MiniBooNE,best_ensemble_model,4,,,0.986925,,3600s8c32G
25,autosklearn_memefficient,connect-4,best_ensemble_model,0,,,-0.342914,,3600s8c32G
26,autosklearn_memefficient,connect-4,best_ensemble_model,1,,,-0.35727600000000004,,3600s8c32G
27,autosklearn_memefficient,connect-4,best_ensemble_model,2,,,-0.34031,,3600s8c32G
28,autosklearn_memefficient,connect-4,best_ensemble_model,3,,,-0.334977,,3600s8c32G
29,autosklearn_memefficient,connect-4,best_ensemble_model,4,,,-0.330869,,3600s8c32G
30,autosklearn_memefficient,segment,best_ensemble_model,0,,,-0.0606104,,3600s8c32G
31,autosklearn_memefficient,segment,best_ensemble_model,1,,,-0.048307199999999995,,3600s8c32G
32,autosklearn_memefficient,segment,best_ensemble_model,2,,,-0.030142000000000002,,3600s8c32G
33,autosklearn_memefficient,segment,best_ensemble_model,3,,,-0.024753099999999997,,3600s8c32G
34,autosklearn_memefficient,segment,best_ensemble_model,4,,,-0.0110582,,3600s8c32G
35,autosklearn_memefficient,Australian,best_ensemble_model,0,,,0.9516129999999999,,3600s8c32G
36,autosklearn_memefficient,Australian,best_ensemble_model,1,,,0.9125639999999999,,3600s8c32G
37,autosklearn_memefficient,Australian,best_ensemble_model,2,,,0.921902,,3600s8c32G
38,autosklearn_memefficient,Australian,best_ensemble_model,3,,,0.9202040000000001,,3600s8c32G
39,autosklearn_memefficient,Australian,best_ensemble_model,4,,,0.953311,,3600s8c32G
40,autosklearn_memefficient,adult,best_ensemble_model,0,,,0.933159,,3600s8c32G
41,autosklearn_memefficient,adult,best_ensemble_model,1,,,0.929406,,3600s8c32G
42,autosklearn_memefficient,adult,best_ensemble_model,2,,,0.9310639999999999,,3600s8c32G
43,autosklearn_memefficient,adult,best_ensemble_model,3,,,0.9273309999999999,,3600s8c32G
44,autosklearn_memefficient,adult,best_ensemble_model,4,,,0.927681,,3600s8c32G
45,autosklearn_memefficient,Albert,best_ensemble_model,0,,,0.757053,,3600s8c32G
46,autosklearn_memefficient,Albert,best_ensemble_model,1,,,0.766362,,3600s8c32G
47,autosklearn_memefficient,Albert,best_ensemble_model,2,,,0.759984,,3600s8c32G
48,autosklearn_memefficient,Albert,best_ensemble_model,3,,,0.761827,,3600s8c32G
49,autosklearn_memefficient,Albert,best_ensemble_model,4,,,0.767295,,3600s8c32G
