,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s4c32G
1,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,1,,,0.935185,,3600s4c32G
2,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s4c32G
3,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,3,,,0.935185,,3600s4c32G
4,autosklearnEnsembleIntensification_noniterative,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s4c32G
5,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,0,,,0.732516,,3600s4c32G
6,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,1,,,0.722145,,3600s4c32G
7,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,2,,,0.734677,,3600s4c32G
8,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,3,,,0.731459,,3600s4c32G
9,autosklearnEnsembleIntensification_noniterative,higgs,best_ensemble_model,4,,,0.7345689999999999,,3600s4c32G
10,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s4c32G
11,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s4c32G
12,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s4c32G
13,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s4c32G
14,autosklearnEnsembleIntensification_noniterative,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s4c32G
15,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,0,,,0.894968,,3600s4c32G
16,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s4c32G
17,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,2,,,0.8717530000000001,,3600s4c32G
18,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,3,,,0.824134,,3600s4c32G
19,autosklearnEnsembleIntensification_noniterative,vehicle,best_ensemble_model,4,,,0.8733770000000001,,3600s4c32G
20,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,0,,,0.9431120000000001,,3600s4c32G
21,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,1,,,0.9424049999999999,,3600s4c32G
22,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,2,,,0.944852,,3600s4c32G
23,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,3,,,0.9473370000000001,,3600s4c32G
24,autosklearnEnsembleIntensification_noniterative,MiniBooNE,best_ensemble_model,4,,,0.946723,,3600s4c32G
25,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,0,,,0.77867,,3600s4c32G
26,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,1,,,0.773587,,3600s4c32G
27,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,2,,,0.792924,,3600s4c32G
28,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,3,,,0.774683,,3600s4c32G
29,autosklearnEnsembleIntensification_noniterative,connect-4,best_ensemble_model,4,,,0.7766430000000001,,3600s4c32G
30,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,0,,,0.9870129999999999,,3600s4c32G
31,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,1,,,0.9870129999999999,,3600s4c32G
32,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s4c32G
33,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s4c32G
34,autosklearnEnsembleIntensification_noniterative,segment,best_ensemble_model,4,,,1.0,,3600s4c32G
35,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,0,,,0.8989809999999999,,3600s4c32G
36,autosklearnEnsembleIntensification_noniterative,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s4c32G
