,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMCustom_BAG_L1,0.981481,0.938272,71.856652,63.341486,20408.030547,1.906159,0.456776,9106.548783,1,True,27
1,RandomForestEntr_BAG_L1,0.981481,0.936214,74.378999,68.717113,11351.965412,4.428505,5.832403,50.483649,1,True,20
2,RandomForestGini_BAG_L1,0.981481,0.935185,74.445161,70.043616,11339.770091,4.494667,7.158907,38.288328,1,True,19
3,ExtraTreesEntr_BAG_L1,0.981481,0.937243,75.060450,68.815131,11332.489042,5.109957,5.930421,31.007278,1,True,22
4,ExtraTreesGini_BAG_L1,0.981481,0.937243,75.758748,70.042038,11332.800733,5.808255,7.157328,31.318970,1,True,21
5,XGBoost_BAG_L1,0.972222,0.937243,70.502518,63.180062,11600.478489,0.552025,0.295352,298.996726,1,True,26
6,CatBoost_BAG_L1,0.972222,0.933128,70.679464,63.519955,12238.548185,0.728970,0.635245,937.066421,1,True,25
7,LightGBM_BAG_L1,0.972222,0.949588,70.899498,63.282340,13275.330611,0.949004,0.397630,1973.848847,1,True,23
8,LightGBMXT_BAG_L1,0.972222,0.941358,70.970304,63.287790,13268.720363,1.019811,0.403080,1967.238600,1,True,24
9,KNeighborsUnif_BAG_L1,0.972222,0.931070,74.740461,66.594258,11304.886436,4.789968,3.709548,3.404673,1,True,17
10,KNeighborsDist_BAG_L1,0.972222,0.929012,74.773240,66.594072,11304.900334,4.822747,3.709363,3.418571,1,True,18
11,WeightedEnsemble_L2,0.972222,0.950617,79.172671,71.140234,13638.435490,0.005475,0.000859,0.940683,2,True,28
12,CatBoost_BAG_L0,0.953704,0.912551,0.794172,0.575551,341.568769,0.794172,0.575551,341.568769,0,True,11
13,ExtraTreesGini_BAG_L0,0.953704,0.925926,4.722888,4.408071,35.239097,4.722888,4.408071,35.239097,0,True,7
14,ExtraTreesEntr_BAG_L0,0.953704,0.920782,4.728518,4.223275,37.284786,4.728518,4.223275,37.284786,0,True,8
15,WeightedEnsemble_L1,0.953704,0.949588,48.762949,42.336473,8363.479549,0.006750,0.000916,0.945228,1,True,14
16,LightGBMCustom_BAG_L0,0.944444,0.927984,1.852045,0.413996,7472.348460,1.852045,0.413996,7472.348460,0,True,13
17,RandomForestGini_BAG_L0,0.944444,0.919753,4.571754,5.530031,38.325291,4.571754,5.530031,38.325291,0,True,5
18,NeuralNetMXNet_BAG_L0,0.944444,0.933128,5.747748,5.582000,456.837059,5.747748,5.582000,456.837059,0,True,1
19,NeuralNetMXNet_BAG_L1,0.944444,0.923868,78.218192,70.741746,11663.645960,8.267699,7.857036,362.164197,1,True,15
20,RandomForestEntr_BAG_L0,0.935185,0.910494,4.609971,5.422172,40.043988,4.609971,5.422172,40.043988,0,True,6
21,XGBoost_BAG_L0,0.925926,0.916667,0.542078,0.269269,457.200196,0.542078,0.269269,457.200196,0,True,12
22,LightGBMXT_BAG_L0,0.879630,0.864198,0.938444,0.347837,915.126922,0.938444,0.347837,915.126922,0,True,10
23,KNeighborsDist_BAG_L0,0.870370,0.885802,3.935418,3.804797,2.922956,3.935418,3.804797,2.922956,0,True,4
24,LightGBM_BAG_L0,0.861111,0.858025,1.073938,0.376222,1106.474535,1.073938,0.376222,1106.474535,0,True,9
25,KNeighborsUnif_BAG_L0,0.851852,0.884774,3.923067,3.706313,2.923941,3.923067,3.706313,2.923941,0,True,3
26,NeuralNetFastAI_BAG_L1,0.805556,0.632716,105.875639,96.378300,11823.351539,35.925146,33.493591,521.869776,1,True,16
27,NeuralNetFastAI_BAG_L0,0.759259,0.308642,32.510452,28.225176,395.185765,32.510452,28.225176,395.185765,0,True,2
