,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost_BAG_L1,0.871699,0.858219,84.011528,69.328213,13531.978168,0.695705,0.499123,462.692802,1,True,26
1,NeuralNetMXNet_BAG_L1,0.871212,0.855487,86.704679,71.581584,13451.375936,3.388856,2.752494,382.090569,1,True,15
2,LightGBMXT_BAG_L1,0.870076,0.873792,84.745651,69.323975,14657.304585,1.429828,0.494885,1588.019218,1,True,24
3,LightGBMCustom_BAG_L1,0.859794,0.863461,85.916787,69.411831,21798.960071,2.600964,0.582741,8729.674704,1,True,27
4,CatBoost_BAG_L1,0.859307,0.871288,83.822588,69.200441,13883.628030,0.506765,0.371351,814.342664,1,True,25
5,RandomForestEntr_BAG_L1,0.847944,0.863495,93.647659,78.175078,13155.772616,10.331836,9.345988,86.487249,1,True,20
6,LightGBM_BAG_L1,0.847890,0.881592,84.705090,69.286451,15261.302334,1.389267,0.457361,2192.016968,1,True,23
7,RandomForestGini_BAG_L1,0.847403,0.868724,93.564746,78.167910,13137.489052,10.248923,9.338820,68.203686,1,True,19
8,ExtraTreesEntr_BAG_L1,0.836580,0.867335,94.218130,78.149408,13118.722089,10.902307,9.320318,49.436723,1,True,22
9,ExtraTreesGini_BAG_L1,0.835444,0.868617,94.260974,78.198744,13118.766069,10.945151,9.369654,49.480702,1,True,21
10,WeightedEnsemble_L2,0.835444,0.898614,100.995614,84.264502,22972.582538,0.004430,0.000669,0.667510,2,True,28
11,NeuralNetFastAI_BAG_L0,0.824134,0.851904,10.976544,9.081997,567.896116,10.976544,9.081997,567.896116,0,True,2
12,WeightedEnsemble_L1,0.824134,0.853187,12.354010,10.145936,1053.385749,0.005194,0.000687,0.669910,1,True,14
13,NeuralNetFastAI_BAG_L1,0.823539,0.896023,97.694516,83.181969,13779.547522,14.378693,14.352879,710.262156,1,True,16
14,NeuralNetMXNet_BAG_L0,0.798593,0.851729,1.372271,1.063251,484.819723,1.372271,1.063251,484.819723,0,True,1
15,RandomForestGini_BAG_L0,0.777597,0.742869,10.787079,9.344880,66.681729,10.787079,9.344880,66.681729,0,True,5
16,RandomForestEntr_BAG_L0,0.777597,0.745339,10.865479,9.280191,67.437742,10.865479,9.280191,67.437742,0,True,6
17,LightGBMXT_BAG_L0,0.777056,0.784567,1.784362,0.655636,1380.301185,1.784362,0.655636,1380.301185,0,True,10
18,ExtraTreesGini_BAG_L0,0.777056,0.749468,11.287508,9.332407,48.518246,11.287508,9.332407,48.518246,0,True,7
19,ExtraTreesEntr_BAG_L0,0.777056,0.746850,11.288143,9.277533,50.772743,11.288143,9.277533,50.772743,0,True,8
20,LightGBMCustom_BAG_L0,0.766234,0.755742,3.521376,0.661506,7387.521952,3.521376,0.661506,7387.521952,0,True,13
21,XGBoost_BAG_L0,0.765693,0.774242,0.794244,0.493676,696.600282,0.794244,0.493676,696.600282,0,True,12
22,LightGBM_BAG_L0,0.754329,0.781955,1.498744,0.504447,1924.840843,1.498744,0.504447,1924.840843,0,True,9
23,CatBoost_BAG_L0,0.753788,0.779439,0.371188,0.395613,392.975330,0.371188,0.395613,392.975330,0,True,11
24,KNeighborsDist_BAG_L0,0.708333,0.649512,9.387780,9.371570,0.464052,9.387780,9.371570,0.464052,0,True,4
25,KNeighborsDist_BAG_L1,0.707792,0.649289,92.799723,78.201612,13070.212413,9.483900,9.372522,0.927047,1,True,18
26,KNeighborsUnif_BAG_L1,0.707792,0.646712,92.828454,78.195390,13070.182001,9.512631,9.366300,0.896635,1,True,17
27,KNeighborsUnif_BAG_L0,0.696429,0.644208,9.381104,9.366384,0.455424,9.381104,9.366384,0.455424,0,True,3
