,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetMXNet_BAG_L0,0.776751,0.744952,5.078338,3.892171,2254.574450,5.078338,3.892171,2254.574450,0,True,1
1,WeightedEnsemble_L1,0.769864,0.746236,61.450210,17.171414,6510.818796,0.008325,0.012912,13.349666,1,True,11
2,WeightedEnsemble_L2,0.764248,0.746184,264.239938,99.484839,11701.480084,0.005452,0.013443,17.387577,2,True,25
3,NeuralNetMXNet_BAG_L1,0.763772,0.746180,227.792538,72.371435,11680.271683,5.315468,3.828572,847.998229,1,True,12
4,LightGBMXT_BAG_L1,0.756739,0.736280,225.078972,70.004679,11057.642589,2.601901,1.461817,225.369135,1,True,21
5,LightGBM_BAG_L1,0.755775,0.736900,224.408919,69.777276,11066.607442,1.931848,1.234414,234.333988,1,True,20
6,CatBoost_BAG_L1,0.753297,0.735107,223.077501,69.390527,11942.541981,0.600430,0.847665,1110.268527,1,True,22
7,RandomForestGini_BAG_L1,0.752831,0.733285,233.401293,71.928335,11118.179765,10.924222,3.385473,285.906310,1,True,16
8,XGBoost_BAG_L1,0.752285,0.735054,225.066700,70.613077,11079.511749,2.589629,2.070215,247.238294,1,True,23
9,RandomForestEntr_BAG_L1,0.751928,0.732603,236.770845,71.939348,11224.237732,14.293775,3.396486,391.964278,1,True,17
10,LightGBMCustom_BAG_L1,0.751032,0.734416,226.372195,70.539414,11645.235995,3.895124,1.996552,812.962541,1,True,24
11,NeuralNetFastAI_BAG_L1,0.750953,0.736373,232.278489,74.015805,15094.329107,9.801419,5.472943,4262.055652,1,True,13
12,ExtraTreesEntr_BAG_L1,0.749319,0.730727,243.306094,74.348201,11008.248220,20.829023,5.805339,175.974766,1,True,19
13,ExtraTreesGini_BAG_L1,0.748485,0.730232,243.657458,74.762072,10976.931378,21.180387,6.219210,144.657923,1,True,18
14,NeuralNetFastAI_BAG_L0,0.733199,0.716028,9.211750,5.757287,4134.319795,9.211750,5.757287,4134.319795,0,True,2
15,KNeighborsUnif_BAG_L1,0.726870,0.728237,261.522812,95.444132,10836.138722,39.045741,26.901270,3.865268,1,True,14
16,KNeighborsDist_BAG_L1,0.724069,0.716093,258.919018,95.642824,10836.094279,36.441947,27.099961,3.820824,1,True,15
17,LightGBMCustom_BAG_L0,0.690165,0.690361,19.395249,10.168990,2275.075193,19.395249,10.168990,2275.075193,0,True,10
18,XGBoost_BAG_L0,0.680268,0.673158,9.653988,4.654240,1179.856915,9.653988,4.654240,1179.856915,0,True,9
19,LightGBM_BAG_L0,0.673447,0.669265,12.972781,7.037185,249.610827,12.972781,7.037185,249.610827,0,True,7
20,LightGBMXT_BAG_L0,0.649810,0.654388,11.902313,7.355322,259.885145,11.902313,7.355322,259.885145,0,True,8
21,ExtraTreesGini_BAG_L0,0.596474,0.596932,47.151798,7.509045,108.574886,47.151798,7.509045,108.574886,0,True,5
22,ExtraTreesEntr_BAG_L0,0.595797,0.597499,49.678755,8.377630,140.318026,49.678755,8.377630,140.318026,0,True,6
23,RandomForestEntr_BAG_L0,0.594826,0.592939,28.890731,7.396660,121.759909,28.890731,7.396660,121.759909,0,True,4
24,RandomForestGini_BAG_L0,0.594208,0.592951,28.541368,6.394334,108.298310,28.541368,6.394334,108.298310,0,True,3
