,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM_BAG_L0,0.995671,0.986532,0.882655,0.290128,1256.052160,0.882655,0.290128,1256.052160,0,True,9
1,WeightedEnsemble_L1,0.995671,0.988937,28.264335,27.208083,9401.648258,0.012835,0.001084,1.207097,1,True,14
2,LightGBMCustom_BAG_L1,0.995671,0.984608,40.063203,43.243283,19689.149050,0.459066,0.238899,8177.544544,1,True,27
3,LightGBM_BAG_L1,0.995671,0.987975,40.172313,43.268948,13454.991883,0.568176,0.264563,1943.387377,1,True,23
4,XGBoost_BAG_L1,0.995671,0.986051,40.177957,43.339174,11792.091743,0.573819,0.334789,280.487237,1,True,26
5,RandomForestEntr_BAG_L1,0.995671,0.986532,44.327896,50.256133,11592.082258,4.723759,7.251748,80.477752,1,True,20
6,RandomForestGini_BAG_L1,0.995671,0.985570,44.328826,49.932170,11560.058241,4.724689,6.927785,48.453735,1,True,19
7,ExtraTreesGini_BAG_L1,0.995671,0.987013,44.396097,47.698384,11534.094069,4.791960,4.693999,22.489563,1,True,21
8,ExtraTreesEntr_BAG_L1,0.995671,0.987013,44.396391,49.017767,11535.681843,4.792253,6.013382,24.077336,1,True,22
9,NeuralNetFastAI_BAG_L1,0.995671,0.989418,48.168076,51.037580,11976.731358,8.563939,8.033195,465.126852,1,True,16
10,WeightedEnsemble_L2,0.995671,0.990861,56.514373,58.696651,21154.982836,0.005996,0.001029,1.221647,2,True,28
11,LightGBMCustom_BAG_L0,0.991342,0.983165,1.806504,0.420057,7046.014891,1.806504,0.420057,7046.014891,0,True,13
12,LightGBMXT_BAG_L1,0.991342,0.986532,40.008760,43.229702,13260.592255,0.404623,0.225317,1748.987749,1,True,24
13,CatBoost_BAG_L1,0.987013,0.986051,39.875086,43.189357,12249.243027,0.270949,0.184972,737.638520,1,True,25
14,LightGBMXT_BAG_L0,0.982684,0.980760,1.461284,0.501769,1654.348949,1.461284,0.501769,1654.348949,0,True,10
15,CatBoost_BAG_L0,0.978355,0.975469,0.240536,0.147066,369.099802,0.240536,0.147066,369.099802,0,True,11
16,XGBoost_BAG_L0,0.978355,0.981722,0.440947,0.252210,376.672906,0.440947,0.252210,376.672906,0,True,12
17,RandomForestEntr_BAG_L0,0.978355,0.980279,4.813822,7.523589,50.060538,4.813822,7.523589,50.060538,0,True,6
18,RandomForestGini_BAG_L0,0.974026,0.978355,4.836996,7.624962,37.654056,4.836996,7.624962,37.654056,0,True,5
19,ExtraTreesEntr_BAG_L0,0.974026,0.981241,5.048292,6.922644,25.453172,5.048292,6.922644,25.453172,0,True,8
20,ExtraTreesGini_BAG_L0,0.974026,0.981241,5.054110,6.418129,25.348984,5.054110,6.418129,25.348984,0,True,7
21,NeuralNetMXNet_BAG_L1,0.974026,0.982684,42.979048,46.125700,11772.487378,3.374911,3.121315,260.882871,1,True,15
22,KNeighborsDist_BAG_L1,0.974026,0.959596,43.841687,47.119860,11512.585157,4.237550,4.115475,0.980651,1,True,18
23,NeuralNetMXNet_BAG_L0,0.969697,0.969697,1.021903,0.803720,317.069293,1.021903,0.803720,317.069293,0,True,1
24,KNeighborsDist_BAG_L0,0.969697,0.962001,4.168466,4.125995,0.370672,4.168466,4.125995,0.370672,0,True,4
25,NeuralNetFastAI_BAG_L0,0.965368,0.977393,5.664328,3.850554,353.092649,5.664328,3.850554,353.092649,0,True,2
26,KNeighborsUnif_BAG_L1,0.965368,0.946128,43.839513,47.117242,11512.568403,4.235376,4.112857,0.963896,1,True,17
27,KNeighborsUnif_BAG_L0,0.961039,0.946609,4.164295,4.123561,0.366434,4.164295,4.123561,0.366434,0,True,3
