,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon_14400s1c8G,cnae-9,best_ensemble_model,0,,,0.9537040000000001,,14400s1c8G
1,AutoGluon_14400s1c8G,cnae-9,best_ensemble_model,1,,,0.898148,,14400s1c8G
2,AutoGluon_14400s1c8G,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,14400s1c8G
3,AutoGluon_14400s1c8G,cnae-9,best_ensemble_model,3,,,0.898148,,14400s1c8G
4,AutoGluon_14400s1c8G,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,14400s1c8G
5,AutoGluon_14400s1c8G,higgs,best_ensemble_model,0,,,0.0,,14400s1c8G
6,AutoGluon_14400s1c8G,higgs,best_ensemble_model,1,,,0.0,,14400s1c8G
7,AutoGluon_14400s1c8G,higgs,best_ensemble_model,2,,,0.0,,14400s1c8G
8,AutoGluon_14400s1c8G,higgs,best_ensemble_model,3,,,0.0,,14400s1c8G
9,AutoGluon_14400s1c8G,higgs,best_ensemble_model,4,,,0.7414390000000001,,14400s1c8G
10,AutoGluon_14400s1c8G,kr-vs-kp,best_ensemble_model,0,,,0.996732,,14400s1c8G
11,AutoGluon_14400s1c8G,kr-vs-kp,best_ensemble_model,1,,,0.98503,,14400s1c8G
12,AutoGluon_14400s1c8G,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,AutoGluon_14400s1c8G,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,AutoGluon_14400s1c8G,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,AutoGluon_14400s1c8G,vehicle,best_ensemble_model,0,,,0.8597940000000001,,14400s1c8G
16,AutoGluon_14400s1c8G,vehicle,best_ensemble_model,1,,,0.8376620000000001,,14400s1c8G
17,AutoGluon_14400s1c8G,vehicle,best_ensemble_model,2,,,0.86039,,14400s1c8G
18,AutoGluon_14400s1c8G,vehicle,best_ensemble_model,3,,,0.847348,,14400s1c8G
19,AutoGluon_14400s1c8G,vehicle,best_ensemble_model,4,,,0.872294,,14400s1c8G
20,AutoGluon_14400s1c8G,MiniBooNE,best_ensemble_model,0,,,0.944052,,14400s1c8G
21,AutoGluon_14400s1c8G,MiniBooNE,best_ensemble_model,1,,,0.944733,,14400s1c8G
22,AutoGluon_14400s1c8G,MiniBooNE,best_ensemble_model,2,,,0.9466110000000001,,14400s1c8G
23,AutoGluon_14400s1c8G,MiniBooNE,best_ensemble_model,3,,,0.949758,,14400s1c8G
24,AutoGluon_14400s1c8G,MiniBooNE,best_ensemble_model,4,,,0.9486829999999999,,14400s1c8G
25,AutoGluon_14400s1c8G,connect-4,best_ensemble_model,0,,,0.750618,,14400s1c8G
26,AutoGluon_14400s1c8G,connect-4,best_ensemble_model,1,,,0.755579,,14400s1c8G
27,AutoGluon_14400s1c8G,connect-4,best_ensemble_model,2,,,0.772134,,14400s1c8G
28,AutoGluon_14400s1c8G,connect-4,best_ensemble_model,3,,,0.750306,,14400s1c8G
29,AutoGluon_14400s1c8G,connect-4,best_ensemble_model,4,,,0.7559100000000001,,14400s1c8G
30,AutoGluon_14400s1c8G,segment,best_ensemble_model,0,,,0.9870129999999999,,14400s1c8G
31,AutoGluon_14400s1c8G,segment,best_ensemble_model,1,,,0.982684,,14400s1c8G
32,AutoGluon_14400s1c8G,segment,best_ensemble_model,2,,,0.9870129999999999,,14400s1c8G
33,AutoGluon_14400s1c8G,segment,best_ensemble_model,3,,,0.9956709999999999,,14400s1c8G
34,AutoGluon_14400s1c8G,segment,best_ensemble_model,4,,,0.9956709999999999,,14400s1c8G
35,AutoGluon_14400s1c8G,Australian,best_ensemble_model,0,,,0.8726659999999999,,14400s1c8G
36,AutoGluon_14400s1c8G,Australian,best_ensemble_model,1,,,0.8314940000000001,,14400s1c8G
37,AutoGluon_14400s1c8G,Australian,best_ensemble_model,2,,,0.84635,,14400s1c8G
38,AutoGluon_14400s1c8G,Australian,best_ensemble_model,3,,,0.8433790000000001,,14400s1c8G
39,AutoGluon_14400s1c8G,Australian,best_ensemble_model,4,,,0.9252969999999999,,14400s1c8G
40,AutoGluon_14400s1c8G,adult,best_ensemble_model,0,,,0.8174779999999999,,14400s1c8G
41,AutoGluon_14400s1c8G,adult,best_ensemble_model,1,,,0.8230379999999999,,14400s1c8G
42,AutoGluon_14400s1c8G,adult,best_ensemble_model,2,,,0.8123739999999999,,14400s1c8G
43,AutoGluon_14400s1c8G,adult,best_ensemble_model,3,,,0.810282,,14400s1c8G
44,AutoGluon_14400s1c8G,adult,best_ensemble_model,4,,,0.808179,,14400s1c8G
45,AutoGluon_14400s1c8G,Albert,best_ensemble_model,0,,,0.0,,14400s1c8G
46,AutoGluon_14400s1c8G,Albert,best_ensemble_model,1,,,0.0,,14400s1c8G
47,AutoGluon_14400s1c8G,Albert,best_ensemble_model,2,,,0.0,,14400s1c8G
48,AutoGluon_14400s1c8G,Albert,best_ensemble_model,3,,,0.0,,14400s1c8G
49,AutoGluon_14400s1c8G,Albert,best_ensemble_model,4,,,0.0,,14400s1c8G
