,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon_sklearn_28800s1c8G,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,28800s1c8G
1,AutoGluon_sklearn_28800s1c8G,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,28800s1c8G
2,AutoGluon_sklearn_28800s1c8G,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,28800s1c8G
3,AutoGluon_sklearn_28800s1c8G,cnae-9,best_ensemble_model,3,,,0.9537040000000001,,28800s1c8G
4,AutoGluon_sklearn_28800s1c8G,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,28800s1c8G
5,AutoGluon_sklearn_28800s1c8G,higgs,best_ensemble_model,0,,,0.733126,,28800s1c8G
6,AutoGluon_sklearn_28800s1c8G,higgs,best_ensemble_model,1,,,0.7179220000000001,,28800s1c8G
7,AutoGluon_sklearn_28800s1c8G,higgs,best_ensemble_model,2,,,0.0,,28800s1c8G
8,AutoGluon_sklearn_28800s1c8G,higgs,best_ensemble_model,3,,,0.726588,,28800s1c8G
9,AutoGluon_sklearn_28800s1c8G,higgs,best_ensemble_model,4,,,0.7281340000000001,,28800s1c8G
10,AutoGluon_sklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,0,,,0.9904700000000001,,28800s1c8G
11,AutoGluon_sklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,1,,,0.98503,,28800s1c8G
12,AutoGluon_sklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,2,,,0.9934639999999999,,28800s1c8G
13,AutoGluon_sklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,3,,,1.0,,28800s1c8G
14,AutoGluon_sklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,4,,,0.997006,,28800s1c8G
15,AutoGluon_sklearn_28800s1c8G,vehicle,best_ensemble_model,0,,,0.801894,,28800s1c8G
16,AutoGluon_sklearn_28800s1c8G,vehicle,best_ensemble_model,1,,,0.824675,,28800s1c8G
17,AutoGluon_sklearn_28800s1c8G,vehicle,best_ensemble_model,2,,,0.800866,,28800s1c8G
18,AutoGluon_sklearn_28800s1c8G,vehicle,best_ensemble_model,3,,,0.8365799999999999,,28800s1c8G
19,AutoGluon_sklearn_28800s1c8G,vehicle,best_ensemble_model,4,,,0.776461,,28800s1c8G
20,AutoGluon_sklearn_28800s1c8G,MiniBooNE,best_ensemble_model,0,,,0.9344530000000001,,28800s1c8G
21,AutoGluon_sklearn_28800s1c8G,MiniBooNE,best_ensemble_model,1,,,0.925321,,28800s1c8G
22,AutoGluon_sklearn_28800s1c8G,MiniBooNE,best_ensemble_model,2,,,0.9375700000000001,,28800s1c8G
23,AutoGluon_sklearn_28800s1c8G,MiniBooNE,best_ensemble_model,3,,,0.940082,,28800s1c8G
24,AutoGluon_sklearn_28800s1c8G,MiniBooNE,best_ensemble_model,4,,,0.0,,28800s1c8G
25,AutoGluon_sklearn_28800s1c8G,connect-4,best_ensemble_model,0,,,0.617992,,28800s1c8G
26,AutoGluon_sklearn_28800s1c8G,connect-4,best_ensemble_model,1,,,0.591619,,28800s1c8G
27,AutoGluon_sklearn_28800s1c8G,connect-4,best_ensemble_model,2,,,0.620009,,28800s1c8G
28,AutoGluon_sklearn_28800s1c8G,connect-4,best_ensemble_model,3,,,0.610309,,28800s1c8G
29,AutoGluon_sklearn_28800s1c8G,connect-4,best_ensemble_model,4,,,0.613424,,28800s1c8G
30,AutoGluon_sklearn_28800s1c8G,segment,best_ensemble_model,0,,,0.9913420000000001,,28800s1c8G
31,AutoGluon_sklearn_28800s1c8G,segment,best_ensemble_model,1,,,0.982684,,28800s1c8G
32,AutoGluon_sklearn_28800s1c8G,segment,best_ensemble_model,2,,,0.9870129999999999,,28800s1c8G
33,AutoGluon_sklearn_28800s1c8G,segment,best_ensemble_model,3,,,0.9956709999999999,,28800s1c8G
34,AutoGluon_sklearn_28800s1c8G,segment,best_ensemble_model,4,,,0.9913420000000001,,28800s1c8G
35,AutoGluon_sklearn_28800s1c8G,Australian,best_ensemble_model,0,,,0.8726659999999999,,28800s1c8G
36,AutoGluon_sklearn_28800s1c8G,Australian,best_ensemble_model,1,,,0.8314940000000001,,28800s1c8G
37,AutoGluon_sklearn_28800s1c8G,Australian,best_ensemble_model,2,,,0.82725,,28800s1c8G
38,AutoGluon_sklearn_28800s1c8G,Australian,best_ensemble_model,3,,,0.8433790000000001,,28800s1c8G
39,AutoGluon_sklearn_28800s1c8G,Australian,best_ensemble_model,4,,,0.8960100000000001,,28800s1c8G
40,AutoGluon_sklearn_28800s1c8G,adult,best_ensemble_model,0,,,0.7821170000000001,,28800s1c8G
41,AutoGluon_sklearn_28800s1c8G,adult,best_ensemble_model,1,,,0.782968,,28800s1c8G
42,AutoGluon_sklearn_28800s1c8G,adult,best_ensemble_model,2,,,0.792622,,28800s1c8G
43,AutoGluon_sklearn_28800s1c8G,adult,best_ensemble_model,3,,,0.794212,,28800s1c8G
44,AutoGluon_sklearn_28800s1c8G,adult,best_ensemble_model,4,,,0.778764,,28800s1c8G
45,AutoGluon_sklearn_28800s1c8G,Albert,best_ensemble_model,0,,,0.671315,,28800s1c8G
46,AutoGluon_sklearn_28800s1c8G,Albert,best_ensemble_model,1,,,0.0,,28800s1c8G
47,AutoGluon_sklearn_28800s1c8G,Albert,best_ensemble_model,2,,,0.0,,28800s1c8G
48,AutoGluon_sklearn_28800s1c8G,Albert,best_ensemble_model,3,,,0.0,,28800s1c8G
49,AutoGluon_sklearn_28800s1c8G,Albert,best_ensemble_model,4,,,0.0,,28800s1c8G
