,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,cnae-9,best_ensemble_model,3,,,0.8796299999999999,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,cnae-9,best_ensemble_model,4,,,0.9537040000000001,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,higgs,best_ensemble_model,0,,,0.7387560000000001,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,higgs,best_ensemble_model,1,,,0.721845,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,higgs,best_ensemble_model,2,,,0.733471,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,higgs,best_ensemble_model,3,,,0.7355119999999999,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,higgs,best_ensemble_model,4,,,0.734541,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max,kr-vs-kp,best_ensemble_model,1,,,0.982036,,3600s1c8G
