,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,1,,,0.916667,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,higgs,best_ensemble_model,0,,,0.737733,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,higgs,best_ensemble_model,1,,,0.721433,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,higgs,best_ensemble_model,2,,,0.733085,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,higgs,best_ensemble_model,3,,,0.735305,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,higgs,best_ensemble_model,4,,,0.736875,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s1c8G
14,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,vehicle,best_ensemble_model,0,,,0.8825219999999999,,3600s1c8G
16,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,vehicle,best_ensemble_model,1,,,0.8371209999999999,,3600s1c8G
17,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,vehicle,best_ensemble_model,2,,,0.7905840000000001,,3600s1c8G
18,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,vehicle,best_ensemble_model,3,,,0.801948,,3600s1c8G
19,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_overall_max_trusted,vehicle,best_ensemble_model,4,,,0.8376620000000001,,3600s1c8G
