,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,cnae-9,best_ensemble_model,0,,,0.9537040000000001,,3600s1c8G
1,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,cnae-9,best_ensemble_model,1,,,0.916667,,3600s1c8G
2,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,3600s1c8G
3,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,cnae-9,best_ensemble_model,3,,,0.898148,,3600s1c8G
4,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,cnae-9,best_ensemble_model,4,,,0.8888889999999999,,3600s1c8G
5,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,higgs,best_ensemble_model,0,,,0.735638,,3600s1c8G
6,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,higgs,best_ensemble_model,1,,,0.721588,,3600s1c8G
7,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,higgs,best_ensemble_model,2,,,0.730212,,3600s1c8G
8,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,higgs,best_ensemble_model,3,,,0.731179,,3600s1c8G
9,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,higgs,best_ensemble_model,4,,,0.735246,,3600s1c8G
10,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s1c8G
11,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s1c8G
12,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s1c8G
14,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,vehicle,best_ensemble_model,0,,,0.893885,,3600s1c8G
16,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s1c8G
17,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,vehicle,best_ensemble_model,2,,,0.720184,,3600s1c8G
18,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,vehicle,best_ensemble_model,3,,,0.8138529999999999,,3600s1c8G
19,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,vehicle,best_ensemble_model,4,,,0.8376620000000001,,3600s1c8G
20,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,MiniBooNE,best_ensemble_model,0,,,0.9384049999999999,,3600s1c8G
21,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,MiniBooNE,best_ensemble_model,1,,,0.937134,,3600s1c8G
22,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,MiniBooNE,best_ensemble_model,2,,,0.9390120000000001,,3600s1c8G
23,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,MiniBooNE,best_ensemble_model,3,,,0.9438030000000001,,3600s1c8G
24,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,MiniBooNE,best_ensemble_model,4,,,0.940853,,3600s1c8G
25,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,connect-4,best_ensemble_model,0,,,0.742962,,3600s1c8G
26,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,connect-4,best_ensemble_model,1,,,0.751987,,3600s1c8G
27,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,connect-4,best_ensemble_model,2,,,0.765966,,3600s1c8G
28,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,connect-4,best_ensemble_model,3,,,0.7525729999999999,,3600s1c8G
29,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,connect-4,best_ensemble_model,4,,,0.764241,,3600s1c8G
30,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s1c8G
31,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,segment,best_ensemble_model,1,,,0.9870129999999999,,3600s1c8G
32,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s1c8G
33,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s1c8G
34,autosklearnHyperbandTowering_repeats20_level2_strategyinstancesself_ensemble_overall_max,segment,best_ensemble_model,4,,,1.0,,3600s1c8G
