,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s1c8G
1,AutoGluon,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,3600s1c8G
2,AutoGluon,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s1c8G
3,AutoGluon,cnae-9,best_ensemble_model,3,,,0.898148,,3600s1c8G
4,AutoGluon,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s1c8G
5,AutoGluon,higgs,best_ensemble_model,0,,,0.72844,,3600s1c8G
6,AutoGluon,higgs,best_ensemble_model,1,,,0.7214010000000001,,3600s1c8G
7,AutoGluon,higgs,best_ensemble_model,2,,,0.728417,,3600s1c8G
8,AutoGluon,higgs,best_ensemble_model,3,,,0.72954,,3600s1c8G
9,AutoGluon,higgs,best_ensemble_model,4,,,0.72952,,3600s1c8G
10,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s1c8G
11,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.98503,,3600s1c8G
12,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.9934639999999999,,3600s1c8G
13,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,AutoGluon,vehicle,best_ensemble_model,0,,,0.859253,,3600s1c8G
16,AutoGluon,vehicle,best_ensemble_model,1,,,0.847944,,3600s1c8G
17,AutoGluon,vehicle,best_ensemble_model,2,,,0.8717530000000001,,3600s1c8G
18,AutoGluon,vehicle,best_ensemble_model,3,,,0.8349030000000001,,3600s1c8G
19,AutoGluon,vehicle,best_ensemble_model,4,,,0.8490260000000001,,3600s1c8G
20,AutoGluon,MiniBooNE,best_ensemble_model,0,,,0.931232,,3600s1c8G
21,AutoGluon,MiniBooNE,best_ensemble_model,1,,,0.932214,,3600s1c8G
22,AutoGluon,MiniBooNE,best_ensemble_model,2,,,0.928696,,3600s1c8G
23,AutoGluon,MiniBooNE,best_ensemble_model,3,,,0.93624,,3600s1c8G
24,AutoGluon,MiniBooNE,best_ensemble_model,4,,,0.935371,,3600s1c8G
25,AutoGluon,connect-4,best_ensemble_model,0,,,0.761891,,3600s1c8G
26,AutoGluon,connect-4,best_ensemble_model,1,,,0.749502,,3600s1c8G
27,AutoGluon,connect-4,best_ensemble_model,2,,,0.773883,,3600s1c8G
28,AutoGluon,connect-4,best_ensemble_model,3,,,0.7608739999999999,,3600s1c8G
29,AutoGluon,connect-4,best_ensemble_model,4,,,0.7719520000000001,,3600s1c8G
30,AutoGluon,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s1c8G
31,AutoGluon,segment,best_ensemble_model,1,,,0.982684,,3600s1c8G
32,AutoGluon,segment,best_ensemble_model,2,,,0.9956709999999999,,3600s1c8G
33,AutoGluon,segment,best_ensemble_model,3,,,0.9913420000000001,,3600s1c8G
34,AutoGluon,segment,best_ensemble_model,4,,,0.9956709999999999,,3600s1c8G
35,AutoGluon,Australian,best_ensemble_model,0,,,0.8989809999999999,,3600s1c8G
36,AutoGluon,Australian,best_ensemble_model,1,,,0.8314940000000001,,3600s1c8G
37,AutoGluon,Australian,best_ensemble_model,2,,,0.8696940000000001,,3600s1c8G
38,AutoGluon,Australian,best_ensemble_model,3,,,0.840407,,3600s1c8G
39,AutoGluon,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s1c8G
40,AutoGluon,adult,best_ensemble_model,0,,,0.812812,,3600s1c8G
41,AutoGluon,adult,best_ensemble_model,1,,,0.815109,,3600s1c8G
42,AutoGluon,adult,best_ensemble_model,2,,,0.808632,,3600s1c8G
43,AutoGluon,adult,best_ensemble_model,3,,,0.810405,,3600s1c8G
44,AutoGluon,adult,best_ensemble_model,4,,,0.809891,,3600s1c8G
45,AutoGluon,Albert,best_ensemble_model,0,,,0.680863,,3600s1c8G
46,AutoGluon,Albert,best_ensemble_model,1,,,0.68145,,3600s1c8G
47,AutoGluon,Albert,best_ensemble_model,2,,,0.0,,3600s1c8G
48,AutoGluon,Albert,best_ensemble_model,3,,,0.684555,,3600s1c8G
49,AutoGluon,Albert,best_ensemble_model,4,,,0.683614,,3600s1c8G
