,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,0,,,0.9814809999999999,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,1,,,0.916667,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,3,,,0.907407,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,higgs,best_ensemble_model,0,,,0.736593,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,higgs,best_ensemble_model,1,,,0.721286,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,higgs,best_ensemble_model,2,,,0.731685,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,higgs,best_ensemble_model,3,,,0.732661,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,higgs,best_ensemble_model,4,,,0.735313,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,3,,,0.9940120000000001,,3600s1c8G
14,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,vehicle,best_ensemble_model,0,,,0.883117,,3600s1c8G
16,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,vehicle,best_ensemble_model,1,,,0.755357,,3600s1c8G
17,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,vehicle,best_ensemble_model,2,,,0.779221,,3600s1c8G
18,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,vehicle,best_ensemble_model,3,,,0.801948,,3600s1c8G
19,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,vehicle,best_ensemble_model,4,,,0.8149350000000001,,3600s1c8G
20,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,MiniBooNE,best_ensemble_model,0,,,0.9278770000000001,,3600s1c8G
21,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,MiniBooNE,best_ensemble_model,1,,,0.9375950000000001,,3600s1c8G
22,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,MiniBooNE,best_ensemble_model,2,,,0.9280440000000001,,3600s1c8G
23,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,MiniBooNE,best_ensemble_model,3,,,0.934016,,3600s1c8G
24,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,MiniBooNE,best_ensemble_model,4,,,0.93056,,3600s1c8G
25,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,connect-4,best_ensemble_model,0,,,0.333333,,3600s1c8G
26,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,connect-4,best_ensemble_model,1,,,0.333333,,3600s1c8G
27,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,connect-4,best_ensemble_model,2,,,0.333333,,3600s1c8G
28,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,connect-4,best_ensemble_model,3,,,0.333333,,3600s1c8G
29,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,connect-4,best_ensemble_model,4,,,0.333333,,3600s1c8G
30,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s1c8G
31,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,segment,best_ensemble_model,1,,,0.9696969999999999,,3600s1c8G
32,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,segment,best_ensemble_model,2,,,0.9870129999999999,,3600s1c8G
33,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,segment,best_ensemble_model,3,,,0.9913420000000001,,3600s1c8G
34,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,segment,best_ensemble_model,4,,,1.0,,3600s1c8G
35,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Australian,best_ensemble_model,0,,,0.8756370000000001,,3600s1c8G
36,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Australian,best_ensemble_model,1,,,0.8314940000000001,,3600s1c8G
37,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Australian,best_ensemble_model,2,,,0.84635,,3600s1c8G
38,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Australian,best_ensemble_model,3,,,0.833192,,3600s1c8G
39,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Australian,best_ensemble_model,4,,,0.853565,,3600s1c8G
40,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,adult,best_ensemble_model,0,,,0.848666,,3600s1c8G
41,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,adult,best_ensemble_model,1,,,0.835412,,3600s1c8G
42,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,adult,best_ensemble_model,2,,,0.850836,,3600s1c8G
43,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,adult,best_ensemble_model,3,,,0.8448180000000001,,3600s1c8G
44,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,adult,best_ensemble_model,4,,,0.8382370000000001,,3600s1c8G
45,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Albert,best_ensemble_model,0,,,0.608456,,3600s1c8G
46,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Albert,best_ensemble_model,1,,,0.622213,,3600s1c8G
47,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Albert,best_ensemble_model,2,,,0.566645,,3600s1c8G
48,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Albert,best_ensemble_model,3,,,0.621437,,3600s1c8G
49,autosklearnEnsembleIntensification_520_members10_repeats10_level2_strategyTimeSplit_ensemble_overall_max_trusted,Albert,best_ensemble_model,4,,,0.569984,,3600s1c8G
