,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s1c8G
1,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,cnae-9,best_ensemble_model,1,,,0.907407,,3600s1c8G
2,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s1c8G
3,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s1c8G
4,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,cnae-9,best_ensemble_model,4,,,0.9537040000000001,,3600s1c8G
5,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,higgs,best_ensemble_model,0,,,0.7390260000000001,,3600s1c8G
6,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,higgs,best_ensemble_model,1,,,0.721845,,3600s1c8G
7,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,higgs,best_ensemble_model,2,,,0.733471,,3600s1c8G
8,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,higgs,best_ensemble_model,3,,,0.7355119999999999,,3600s1c8G
9,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,higgs,best_ensemble_model,4,,,0.734541,,3600s1c8G
10,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s1c8G
11,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,1,,,0.98503,,3600s1c8G
12,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnHyperbandTowering_repeats10_level2_strategyinstancesself_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
