,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,cnae-9,best_ensemble_model,1,,,0.916667,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,higgs,best_ensemble_model,0,,,0.7366050000000001,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,higgs,best_ensemble_model,1,,,0.721238,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,higgs,best_ensemble_model,2,,,0.733082,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,higgs,best_ensemble_model,3,,,0.7352989999999999,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,higgs,best_ensemble_model,4,,,0.73514,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,0,,,0.9934639999999999,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,vehicle,best_ensemble_model,0,,,0.906926,,3600s1c8G
16,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,vehicle,best_ensemble_model,1,,,0.825216,,3600s1c8G
17,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,vehicle,best_ensemble_model,2,,,0.779221,,3600s1c8G
18,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,vehicle,best_ensemble_model,3,,,0.800866,,3600s1c8G
19,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,vehicle,best_ensemble_model,4,,,0.825758,,3600s1c8G
20,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,MiniBooNE,best_ensemble_model,0,,,0.9379209999999999,,3600s1c8G
21,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,MiniBooNE,best_ensemble_model,1,,,0.935941,,3600s1c8G
22,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,MiniBooNE,best_ensemble_model,2,,,0.937743,,3600s1c8G
23,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,MiniBooNE,best_ensemble_model,3,,,0.943426,,3600s1c8G
24,autosklearnEnsembleIntensification_520_members10_repeats20_level1_strategyNone_ensemble_perrunmax,MiniBooNE,best_ensemble_model,4,,,0.9409069999999999,,3600s1c8G
