,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_individual_model,0,0.9974311957904884,0.953770261897834,0.9444444444444444,0.03703703703703698
1,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_ensemble_model,0,0.9619341563786008,inf,0.9722222222222222,0.0
2,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_individual_model,2,0.9989724806079324,0.9578184351846905,0.9629629629629628,0.0185185185185186
3,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_ensemble_model,2,0.9578189300411524,inf,0.9722222222222222,0.0
4,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_individual_model,3,0.9958935471957876,0.955829607064175,0.9444444444444444,0.02777777777777779
5,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_ensemble_model,3,0.9650205761316872,inf,0.9351851851851852,0.00925925925925919
6,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_individual_model,4,0.9974311957904884,0.9557437494680292,0.9629629629629628,0.0185185185185186
7,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,cnae-9,best_ensemble_model,4,0.9598765432098764,inf,0.9629629629629628,0.009259259259259411
8,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
9,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
10,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
11,autosklearnBBCEnsembleSelectionNoPreSelect_b_100_Nb_25,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0
