,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_individual_model,0,0.9974311957904884,0.953770261897834,0.9444444444444444,0.03703703703703698
1,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_ensemble_model,0,0.9598765432098766,inf,0.9444444444444444,0.02777777777777779
2,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_individual_model,2,0.9992310076419346,0.956623356829118,0.9629629629629628,0.0185185185185186
3,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_ensemble_model,2,0.9598765432098766,inf,0.9722222222222222,0.0
4,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_individual_model,3,0.9974315280923568,0.9557868019802176,0.9351851851851852,0.01851851851851838
5,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_ensemble_model,3,0.9629629629629628,inf,0.9259259259259258,0.0185185185185186
6,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_individual_model,4,0.9958905793963431,0.9577971563568272,0.9537037037037036,0.02777777777777779
7,autosklearnBBCEnsembleSelection_B_100_Nb_25,cnae-9,best_ensemble_model,4,0.95679012345679,inf,0.9629629629629628,0.009259259259259411
8,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
9,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
10,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
11,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.00020779428082340345
12,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_individual_model,2,0.8581744825379091,0.7289388509878213,0.7334555387444499,0.0
13,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,9.112392829213611e-05
14,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_individual_model,3,0.8572222527164328,0.7272955469207512,0.7345365382099536,0.0
15,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
16,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_individual_model,4,0.8578005422639592,0.7286682733154874,0.7393750271854538,0.0
17,autosklearnBBCEnsembleSelection_B_100_Nb_25,higgs,best_ensemble_model,4,0.7286684151243198,inf,0.7393750271854538,0.0
18,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_individual_model,0,0.9996360838457496,0.9982410764908252,0.9967320261437908,0.0032679738562092497
19,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_ensemble_model,0,0.996848936982616,inf,0.9967320261437908,0.0
20,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_individual_model,1,1.0,0.9971521832006348,0.9910179640718564,0.0029940119760479833
21,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_ensemble_model,1,0.9964540244254628,inf,0.9880239520958084,0.0029940119760479833
22,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_individual_model,2,0.9997425698367672,0.9957551331308476,0.9967320261437908,0.0
23,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_ensemble_model,2,0.9954243444451552,inf,0.9967320261437908,0.0
24,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_individual_model,3,1.0,0.9964209358029088,0.997005988023952,0.0029940119760479833
25,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_ensemble_model,3,0.9957572339258476,inf,1.0,0.0
26,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_individual_model,4,1.0,0.9964839545036922,1.0,0.0
27,autosklearnBBCEnsembleSelection_B_100_Nb_25,kr-vs-kp,best_ensemble_model,4,0.9961211349447704,inf,1.0,0.0
28,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_individual_model,0,0.9155467173411616,0.8497200084766652,0.8836580086580087,0.04653679653679654
29,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_ensemble_model,0,0.8611480013317174,inf,0.8955627705627706,0.0
30,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_individual_model,1,0.938495165764506,0.8648534431195749,0.8473484848484849,0.03630952380952368
31,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_ensemble_model,1,0.8739338063954796,inf,0.835443722943723,0.012499999999999956
32,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_individual_model,2,0.9782590033338664,0.8477348866159469,0.789448051948052,0.08284632034632033
33,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_ensemble_model,2,0.8597578943649944,inf,0.8138528138528138,0.0
34,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_individual_model,3,0.9430015080891684,0.8658517381808238,0.8268398268398268,0.0806277056277056
35,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_ensemble_model,3,0.8636033894925121,inf,0.8841991341991342,0.011363636363636354
36,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_individual_model,4,0.9194925073529432,0.8534145030185558,0.8733766233766234,0.022727272727272707
37,autosklearnBBCEnsembleSelection_B_100_Nb_25,vehicle,best_ensemble_model,4,0.8625295648535684,inf,0.8614718614718615,0.0
38,autosklearnBBCEnsembleSelection_B_100_Nb_25,MiniBooNE,best_individual_model,0,0.9470163798881628,0.9296974620389524,0.9273003728803138,0.0
