,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_individual_model,0,0.9987175783379882,0.9588477366255144,0.9444444444444444,0.01851851851851838
1,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_ensemble_model,0,0.9639917695473249,inf,0.9537037037037036,0.00925925925925919
2,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_individual_model,2,0.9951173014900446,0.9658024691358024,0.9629629629629628,0.0185185185185186
3,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_ensemble_model,2,0.9670781893004116,inf,0.9629629629629628,0.009259259259259411
4,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_individual_model,3,0.9974315280923568,0.955267489711934,0.9351851851851852,0.027777777777777568
5,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_ensemble_model,3,0.9629629629629632,inf,0.9351851851851852,0.01851851851851838
6,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_individual_model,4,0.99743119961005,0.95679012345679,0.9722222222222222,0.009259259259259411
7,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,cnae-9,best_ensemble_model,4,0.9578189300411524,inf,0.9629629629629628,0.0
8,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_individual_model,0,0.8576682785714728,0.7288909693636909,0.7336674237925537,0.0
9,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
10,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_individual_model,1,0.857620052841326,0.7301539254780893,0.7257859971032359,0.0
11,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0
12,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_individual_model,2,0.8581744825379091,0.7292491879984564,0.7334555387444499,0.0
13,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0
14,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_individual_model,3,0.8572222527164328,0.726858357452191,0.7345365382099536,0.0
15,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
16,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_individual_model,4,0.8578005422639592,0.7286517140468227,0.7393750271854538,0.0
17,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,higgs,best_ensemble_model,4,0.7286684151243198,inf,0.7393750271854538,0.0
18,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_individual_model,0,1.0,0.9975694070495944,0.9967320261437908,0.0032679738562092497
19,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_ensemble_model,0,0.9972128380015391,inf,0.9967320261437908,0.0
20,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_individual_model,1,1.0,0.9969851703733732,0.9910179640718564,0.0059880239520956335
21,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_ensemble_model,1,0.9967869139061551,inf,0.9880239520958084,0.0029940119760479833
22,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_individual_model,2,0.9998258048321756,0.9949535777374496,0.9967320261437908,0.0
23,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_ensemble_model,2,0.9957882454640781,inf,0.9967320261437908,0.0
24,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_individual_model,3,0.9999090002796828,0.9958999198599352,0.997005988023952,0.0029940119760479833
25,autosklearnBBCSMBOAndEnsembleSelectionBISMAC_B100_Nb_25,kr-vs-kp,best_ensemble_model,3,0.9961211349447704,inf,1.0,0.0
