,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_individual_model,0,0.9946005682652236,0.953756480986688,0.9814814814814814,0.0
1,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_ensemble_model,0,0.9609053497942388,inf,0.9537037037037036,0.0185185185185186
2,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_individual_model,2,0.9971759688577996,0.9593866373188148,0.9537037037037036,0.02777777777777779
3,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_ensemble_model,2,0.9629629629629628,inf,0.9629629629629628,0.009259259259259411
4,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_individual_model,3,0.9958836430722868,0.955205205673472,0.9444444444444444,0.00925925925925919
5,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_ensemble_model,3,0.9639917695473249,inf,0.9444444444444444,0.0
6,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_individual_model,4,0.9974311957904884,0.9570675014124884,0.9629629629629628,0.009259259259259411
7,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,cnae-9,best_ensemble_model,4,0.9639917695473249,inf,0.9722222222222222,0.0
8,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_individual_model,0,0.8576682785714728,0.7291252899315899,0.7336674237925537,0.0
9,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
10,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_individual_model,1,0.857620052841326,0.7299235953167215,0.7257859971032359,0.0
11,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0
12,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_individual_model,2,0.8581744825379091,0.7288222032363048,0.7334555387444499,0.0
13,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0
14,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_individual_model,3,0.8572222527164328,0.7271790791211771,0.7345365382099536,0.0
15,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
16,autosklearnBBCSMBOAndEnsembleSelection_B_100_Nb_75,higgs,best_individual_model,4,0.8578005422639592,0.7288279186708593,0.7393750271854538,0.0
