,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_individual_model,0,0.9974311957904884,0.953770261897834,0.9444444444444444,0.03703703703703698
1,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_ensemble_model,0,0.970164609053498,inf,0.9537037037037036,0.0185185185185186
2,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_individual_model,2,0.9979452896981714,0.9576578542627924,0.9629629629629628,0.0185185185185186
3,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_ensemble_model,2,0.9732510288065844,inf,0.9629629629629628,0.009259259259259411
4,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_individual_model,3,0.9976897266440524,0.9608420081671112,0.9351851851851852,0.01851851851851838
5,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_ensemble_model,3,0.9681069958847738,inf,0.9351851851851852,0.01851851851851838
6,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_individual_model,4,0.9974311957904884,0.9557437494680292,0.9629629629629628,0.0185185185185186
7,autosklearnBBCScoreEnsemble_B_10_Nb_25,cnae-9,best_ensemble_model,4,0.9619341563786008,inf,0.9629629629629628,0.009259259259259411
8,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
9,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_ensemble_model,0,0.7293607364236417,inf,0.7338837335481236,0.0
10,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
11,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_ensemble_model,1,0.7300955946923159,inf,0.7255930214181722,0.00040076996588711555
12,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_individual_model,2,0.8581744825379091,0.7289388509878213,0.7334555387444499,0.0
13,autosklearnBBCScoreEnsemble_B_10_Nb_25,higgs,best_ensemble_model,2,0.7292925866508077,inf,0.7329995851628037,0.0004559535816461846
