,tool,task,model,fold,train,val,test,overfit
0,autosklearnBagging,cnae-9,best_individual_model,0,0.9976834587432944,0.9538133144100224,0.9444444444444444,0.01851851851851838
1,autosklearnBagging,cnae-9,best_ensemble_model,0,0.9506172839506172,inf,0.9629629629629628,0.0185185185185186
2,autosklearnBagging,cnae-9,best_individual_model,2,0.9989724806079324,0.9546825297854103,0.9629629629629628,0.009259259259259411
3,autosklearnBagging,cnae-9,best_ensemble_model,2,0.9516460905349794,inf,0.9722222222222222,0.00925925925925919
4,autosklearnBagging,cnae-9,best_individual_model,3,0.9974315280923568,0.9557868019802176,0.9351851851851852,0.01851851851851838
5,autosklearnBagging,cnae-9,best_ensemble_model,3,0.954732510288066,inf,0.9629629629629628,0.0
6,autosklearnBagging,cnae-9,best_individual_model,4,0.9974311957904884,0.9557437494680292,0.9629629629629628,0.018518518518518823
7,autosklearnBagging,cnae-9,best_ensemble_model,4,0.9495884773662552,inf,0.9629629629629628,0.009259259259259411
8,autosklearnBagging,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
9,autosklearnBagging,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
10,autosklearnBagging,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
11,autosklearnBagging,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0
12,autosklearnBagging,higgs,best_individual_model,2,0.8581744825379091,0.7289388509878213,0.7334555387444499,0.0
13,autosklearnBagging,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0
14,autosklearnBagging,higgs,best_individual_model,3,0.8572222527164328,0.7272955469207512,0.7345365382099536,0.0
15,autosklearnBagging,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
16,autosklearnBagging,higgs,best_individual_model,4,0.8578005422639592,0.7286682733154874,0.7393750271854538,0.0
17,autosklearnBagging,higgs,best_ensemble_model,4,0.7286684151243198,inf,0.7393750271854538,0.0
18,autosklearnBagging,kr-vs-kp,best_individual_model,0,1.0,0.9975443491338056,0.9967320261437908,0.0032679738562092497
19,autosklearnBagging,kr-vs-kp,best_ensemble_model,0,0.9971818264633086,inf,0.9934640522875816,0.0032679738562091387
20,autosklearnBagging,kr-vs-kp,best_individual_model,1,1.0,0.9971207836721948,0.9910179640718564,0.0029940119760479833
21,autosklearnBagging,kr-vs-kp,best_ensemble_model,1,0.9967869139061551,inf,0.9880239520958084,0.0029940119760479833
22,autosklearnBagging,kr-vs-kp,best_individual_model,2,0.9998258048321756,0.9953916232054462,0.9967320261437908,0.0
23,autosklearnBagging,kr-vs-kp,best_ensemble_model,2,0.9954243444451552,inf,0.9967320261437908,0.0
24,autosklearnBagging,kr-vs-kp,best_individual_model,3,1.0,0.9960890450498509,1.0,0.0
25,autosklearnBagging,kr-vs-kp,best_ensemble_model,3,0.9957882454640781,inf,1.0,0.0
26,autosklearnBagging,kr-vs-kp,best_individual_model,4,1.0,0.9971820085392716,1.0,0.0
27,autosklearnBagging,kr-vs-kp,best_ensemble_model,4,0.9964850359636932,inf,1.0,0.0
28,autosklearnBagging,vehicle,best_individual_model,0,0.9351446727313985,0.8610313953707343,0.8711580086580086,0.047673160173160145
29,autosklearnBagging,vehicle,best_ensemble_model,0,0.8572546900805154,inf,0.8706168831168832,0.0005952380952379821
30,autosklearnBagging,vehicle,best_individual_model,1,0.9614386099765541,0.8730051906274329,0.837121212121212,0.023268398268398438
31,autosklearnBagging,vehicle,best_ensemble_model,1,0.8193974307853354,inf,0.7911255411255411,0.03625541125541121
32,autosklearnBagging,vehicle,best_individual_model,2,0.9417065726662804,0.8595397634387191,0.7889069264069264,0.08338744588744595
33,autosklearnBagging,vehicle,best_ensemble_model,2,0.858502692324452,inf,0.8257575757575757,0.011363636363636354
34,autosklearnBagging,vehicle,best_individual_model,3,0.9258048416202884,0.8607978579868925,0.8955627705627706,0.011904761904761862
35,autosklearnBagging,vehicle,best_ensemble_model,3,0.8674691927835692,inf,0.8955627705627706,0.011904761904761862
36,autosklearnBagging,vehicle,best_individual_model,4,0.9386490083222052,0.8634380345680401,0.8966450216450216,0.03409090909090917
37,autosklearnBagging,vehicle,best_ensemble_model,4,0.8623619283265451,inf,0.8262987012987013,0.03517316017316019
38,autosklearnBagging,MiniBooNE,best_individual_model,0,0.9470163798881628,0.9296974620389524,0.9273003728803138,0.0
39,autosklearnBagging,MiniBooNE,best_ensemble_model,0,0.8627255838322658,inf,0.8568559176998833,0.0
40,autosklearnBagging,MiniBooNE,best_individual_model,1,0.9466862088024818,0.9292344752280204,0.9254477711361064,0.0
41,autosklearnBagging,MiniBooNE,best_ensemble_model,1,0.8648163484125657,inf,0.8542153629031668,0.0
42,autosklearnBagging,MiniBooNE,best_individual_model,2,0.9849942784253322,0.9355460611855924,0.9350368122319968,0.0
43,autosklearnBagging,MiniBooNE,best_ensemble_model,2,0.9355460651985104,inf,0.9350368122319968,0.0
44,autosklearnBagging,MiniBooNE,best_individual_model,3,0.9464750746368148,0.9296079016217024,0.9300323982777526,0.0
45,autosklearnBagging,MiniBooNE,best_ensemble_model,3,0.8648175748470421,inf,0.8682248730347656,0.0
46,autosklearnBagging,MiniBooNE,best_individual_model,4,0.9463318886431756,0.9290029696709581,0.9302054555141416,0.0
47,autosklearnBagging,MiniBooNE,best_ensemble_model,4,0.8592167553649136,inf,0.8630773478428359,0.0
48,autosklearnBagging,connect-4,best_individual_model,0,0.7832653339749013,0.6731214423143501,0.6797804962479553,0.0
49,autosklearnBagging,connect-4,best_ensemble_model,0,0.6370850547258865,inf,0.6370990356185873,0.0
50,autosklearnBagging,connect-4,best_individual_model,1,0.7892796437080007,0.6751430499227026,0.6734928652890803,0.0
51,autosklearnBagging,connect-4,best_ensemble_model,1,0.6363594189973208,inf,0.6390387132322418,0.0
