,tool,task,model,fold,train,val,test,overfit
0,autosklearnStacking,cnae-9,best_individual_model,0,0.9542308108581156,0.929188762007692,0.9351851851851852,0.0
1,autosklearnStacking,cnae-9,best_ensemble_model,0,0.9660493827160496,inf,0.9629629629629628,0.009259259259259411
2,autosklearnStacking,cnae-9,best_individual_model,1,0.9948531635198978,0.9308947796602116,0.8518518518518517,0.0462962962962965
3,autosklearnStacking,cnae-9,best_ensemble_model,1,0.9732510288065844,inf,0.9074074074074072,0.009259259259259411
4,autosklearnStacking,cnae-9,best_individual_model,2,0.951649814607642,0.9185424200856299,0.9351851851851852,0.0
5,autosklearnStacking,cnae-9,best_ensemble_model,2,0.9619341563786008,inf,0.9722222222222222,0.0
6,autosklearnStacking,cnae-9,best_individual_model,3,0.9562773052827166,0.9466450711306678,0.9537037037037036,0.0
7,autosklearnStacking,cnae-9,best_ensemble_model,3,0.9660493827160496,inf,0.9166666666666666,0.02777777777777779
8,autosklearnStacking,cnae-9,best_individual_model,4,0.9580840610973425,0.9445971076629514,0.9351851851851852,0.0
9,autosklearnStacking,cnae-9,best_ensemble_model,4,0.9609053497942388,inf,0.9629629629629628,0.0
10,autosklearnStacking,higgs,best_individual_model,0,0.8576682785714728,0.7290970399890333,0.7336674237925537,0.0
11,autosklearnStacking,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
12,autosklearnStacking,higgs,best_individual_model,1,0.857620052841326,0.7300273792124641,0.7257859971032359,0.0
13,autosklearnStacking,higgs,best_ensemble_model,1,0.7300273792124641,inf,0.7257859971032359,0.0
14,autosklearnStacking,higgs,best_individual_model,2,0.8581744825379091,0.7289388509878213,0.7334555387444499,0.0
15,autosklearnStacking,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0
16,autosklearnStacking,higgs,best_individual_model,3,0.8572222527164328,0.7272955469207512,0.7345365382099536,0.0
17,autosklearnStacking,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
18,autosklearnStacking,higgs,best_individual_model,4,0.8578005422639592,0.7286682733154874,0.7393750271854538,0.0
19,autosklearnStacking,higgs,best_ensemble_model,4,0.7286684151243198,inf,0.7393750271854538,0.0
20,autosklearnStacking,kr-vs-kp,best_individual_model,0,0.9998258118221643,0.9856898393791462,0.9874760283354859,0.0
21,autosklearnStacking,kr-vs-kp,best_ensemble_model,0,0.9979096285011542,inf,0.9967320261437908,0.0
22,autosklearnStacking,kr-vs-kp,best_individual_model,1,1.0,0.9930634330588632,0.9847559782395992,0.00027396188016126644
23,autosklearnStacking,kr-vs-kp,best_ensemble_model,1,0.9967869139061551,inf,0.9880239520958084,0.0
24,autosklearnStacking,kr-vs-kp,best_individual_model,2,1.0,0.9864228895113152,0.9839340925991156,0.0065359477124183885
25,autosklearnStacking,kr-vs-kp,best_ensemble_model,2,0.9979096285011542,inf,0.9967320261437908,0.0
26,autosklearnStacking,kr-vs-kp,best_individual_model,3,0.998825092006426,0.9902613882245996,1.0,0.0
27,autosklearnStacking,kr-vs-kp,best_ensemble_model,3,0.997514715944001,inf,0.997005988023952,0.0029940119760479833
28,autosklearnStacking,kr-vs-kp,best_individual_model,4,0.9999167288154632,0.9857295099988006,0.9937380141677429,0.0029940119760478723
29,autosklearnStacking,kr-vs-kp,best_ensemble_model,4,0.996848936982616,inf,1.0,0.0
30,autosklearnStacking,vehicle,best_individual_model,0,0.9037882457787252,0.8114859304710782,0.8137987012987014,0.0
31,autosklearnStacking,vehicle,best_ensemble_model,0,0.8819365140562329,inf,0.8717532467532468,0.012445887445887371
32,autosklearnStacking,vehicle,best_individual_model,1,0.9938354795825132,0.7897348306072975,0.7526515151515152,0.06001082251082246
33,autosklearnStacking,vehicle,best_ensemble_model,1,0.8869494637031605,inf,0.8371212121212122,0.0
34,autosklearnStacking,vehicle,best_individual_model,2,0.9128885534772091,0.7985520629423217,0.7683982683982684,0.0
35,autosklearnStacking,vehicle,best_ensemble_model,2,0.8687924929003409,inf,0.8143939393939393,0.0
