,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,bnp-paribas-cardif-claims-management,best_ensemble_model,0,,,0.5916600000000001,,3600s8c32G
1,AutoGluon,bnp-paribas-cardif-claims-management,best_ensemble_model,1,,,0.601404,,3600s8c32G
2,AutoGluon,bnp-paribas-cardif-claims-management,best_ensemble_model,2,,,0.603925,,3600s8c32G
3,AutoGluon,bnp-paribas-cardif-claims-management,best_ensemble_model,3,,,0.599584,,3600s8c32G
4,AutoGluon,bnp-paribas-cardif-claims-management,best_ensemble_model,4,,,0.6030810000000001,,3600s8c32G
5,AutoGluon,santander-customer-transaction-prediction,best_ensemble_model,0,,,0.531967,,3600s8c32G
6,AutoGluon,santander-customer-transaction-prediction,best_ensemble_model,1,,,0.53285,,3600s8c32G
7,AutoGluon,santander-customer-transaction-prediction,best_ensemble_model,2,,,0.528522,,3600s8c32G
8,AutoGluon,santander-customer-transaction-prediction,best_ensemble_model,3,,,0.5320060000000001,,3600s8c32G
9,AutoGluon,santander-customer-transaction-prediction,best_ensemble_model,4,,,0.5284399999999999,,3600s8c32G
10,AutoGluon,santander-customer-satisfaction,best_ensemble_model,0,,,0.512101,,3600s8c32G
11,AutoGluon,santander-customer-satisfaction,best_ensemble_model,1,,,0.507854,,3600s8c32G
12,AutoGluon,santander-customer-satisfaction,best_ensemble_model,2,,,0.521338,,3600s8c32G
13,AutoGluon,santander-customer-satisfaction,best_ensemble_model,3,,,0.5265270000000001,,3600s8c32G
14,AutoGluon,santander-customer-satisfaction,best_ensemble_model,4,,,0.515584,,3600s8c32G
15,AutoGluon,porto-seguro-safe-driver-prediction,best_ensemble_model,0,,,0.500222,,3600s8c32G
16,AutoGluon,porto-seguro-safe-driver-prediction,best_ensemble_model,1,,,0.5004350000000001,,3600s8c32G
17,AutoGluon,porto-seguro-safe-driver-prediction,best_ensemble_model,2,,,0.5002310000000001,,3600s8c32G
18,AutoGluon,porto-seguro-safe-driver-prediction,best_ensemble_model,3,,,0.5,,3600s8c32G
19,AutoGluon,porto-seguro-safe-driver-prediction,best_ensemble_model,4,,,0.499983,,3600s8c32G
20,AutoGluon,otto-group-product-classification-challenge,best_ensemble_model,0,,,1.0,,3600s8c32G
21,AutoGluon,otto-group-product-classification-challenge,best_ensemble_model,1,,,1.0,,3600s8c32G
22,AutoGluon,otto-group-product-classification-challenge,best_ensemble_model,2,,,1.0,,3600s8c32G
23,AutoGluon,otto-group-product-classification-challenge,best_ensemble_model,3,,,1.0,,3600s8c32G
24,AutoGluon,otto-group-product-classification-challenge,best_ensemble_model,4,,,1.0,,3600s8c32G
