,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn,bnp-paribas-cardif-claims-management,best_ensemble_model,0,,,0.677438,,3600s8c32G
1,autosklearn,bnp-paribas-cardif-claims-management,best_ensemble_model,1,,,0.672045,,3600s8c32G
2,autosklearn,bnp-paribas-cardif-claims-management,best_ensemble_model,2,,,0.692156,,3600s8c32G
3,autosklearn,bnp-paribas-cardif-claims-management,best_ensemble_model,3,,,0.671151,,3600s8c32G
4,autosklearn,bnp-paribas-cardif-claims-management,best_ensemble_model,4,,,0.6767569999999999,,3600s8c32G
5,autosklearn,santander-customer-transaction-prediction,best_ensemble_model,0,,,0.721807,,3600s8c32G
6,autosklearn,santander-customer-transaction-prediction,best_ensemble_model,1,,,0.756355,,3600s8c32G
7,autosklearn,santander-customer-transaction-prediction,best_ensemble_model,2,,,0.721155,,3600s8c32G
8,autosklearn,santander-customer-transaction-prediction,best_ensemble_model,3,,,0.718983,,3600s8c32G
9,autosklearn,santander-customer-transaction-prediction,best_ensemble_model,4,,,0.7247359999999999,,3600s8c32G
10,autosklearn,santander-customer-satisfaction,best_ensemble_model,0,,,0.7572909999999999,,3600s8c32G
11,autosklearn,santander-customer-satisfaction,best_ensemble_model,1,,,0.7414890000000001,,3600s8c32G
12,autosklearn,santander-customer-satisfaction,best_ensemble_model,2,,,0.7653439999999999,,3600s8c32G
13,autosklearn,santander-customer-satisfaction,best_ensemble_model,3,,,0.767227,,3600s8c32G
14,autosklearn,santander-customer-satisfaction,best_ensemble_model,4,,,0.776749,,3600s8c32G
15,autosklearn,porto-seguro-safe-driver-prediction,best_ensemble_model,0,,,0.530008,,3600s8c32G
16,autosklearn,porto-seguro-safe-driver-prediction,best_ensemble_model,1,,,0.507603,,3600s8c32G
17,autosklearn,porto-seguro-safe-driver-prediction,best_ensemble_model,2,,,0.5259199999999999,,3600s8c32G
18,autosklearn,porto-seguro-safe-driver-prediction,best_ensemble_model,3,,,0.553655,,3600s8c32G
19,autosklearn,porto-seguro-safe-driver-prediction,best_ensemble_model,4,,,0.501487,,3600s8c32G
20,autosklearn,otto-group-product-classification-challenge,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearn,otto-group-product-classification-challenge,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearn,otto-group-product-classification-challenge,best_ensemble_model,2,,,0.999424,,3600s8c32G
23,autosklearn,otto-group-product-classification-challenge,best_ensemble_model,3,,,1.0,,3600s8c32G
24,autosklearn,otto-group-product-classification-challenge,best_ensemble_model,4,,,1.0,,3600s8c32G
