,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,bnp-paribas-cardif-claims-management,best_ensemble_model,0,,,0.684908,,3600s8c32G
1,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,bnp-paribas-cardif-claims-management,best_ensemble_model,1,,,0.677109,,3600s8c32G
2,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,bnp-paribas-cardif-claims-management,best_ensemble_model,2,,,0.693531,,3600s8c32G
3,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,bnp-paribas-cardif-claims-management,best_ensemble_model,3,,,0.678333,,3600s8c32G
4,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,bnp-paribas-cardif-claims-management,best_ensemble_model,4,,,0.684018,,3600s8c32G
5,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-transaction-prediction,best_ensemble_model,0,,,0.806284,,3600s8c32G
6,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-transaction-prediction,best_ensemble_model,1,,,0.789945,,3600s8c32G
7,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-transaction-prediction,best_ensemble_model,2,,,0.788319,,3600s8c32G
8,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-transaction-prediction,best_ensemble_model,3,,,0.793952,,3600s8c32G
9,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-transaction-prediction,best_ensemble_model,4,,,0.781483,,3600s8c32G
10,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-satisfaction,best_ensemble_model,0,,,0.7574029999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-satisfaction,best_ensemble_model,1,,,0.7462409999999999,,3600s8c32G
12,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-satisfaction,best_ensemble_model,2,,,0.7735310000000001,,3600s8c32G
13,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-satisfaction,best_ensemble_model,3,,,0.7689560000000001,,3600s8c32G
14,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,santander-customer-satisfaction,best_ensemble_model,4,,,0.786098,,3600s8c32G
15,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,porto-seguro-safe-driver-prediction,best_ensemble_model,0,,,0.598069,,3600s8c32G
16,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,porto-seguro-safe-driver-prediction,best_ensemble_model,1,,,0.596716,,3600s8c32G
17,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,porto-seguro-safe-driver-prediction,best_ensemble_model,2,,,0.596213,,3600s8c32G
18,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,porto-seguro-safe-driver-prediction,best_ensemble_model,3,,,0.587516,,3600s8c32G
19,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,porto-seguro-safe-driver-prediction,best_ensemble_model,4,,,0.595073,,3600s8c32G
20,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,otto-group-product-classification-challenge,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,otto-group-product-classification-challenge,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,otto-group-product-classification-challenge,best_ensemble_model,2,,,1.0,,3600s8c32G
23,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,otto-group-product-classification-challenge,best_ensemble_model,3,,,0.999609,,3600s8c32G
24,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamicParallelBugFix,otto-group-product-classification-challenge,best_ensemble_model,4,,,1.0,,3600s8c32G
