,single_model,dataset_name,model,level,repeat,iteration,seed,performance,use_train_data
0,True,53,XGBoostModel,0,5,0,52,0.7342178825553209,True
1,True,53,XGBoostModel,0,5,1,52,0.738311244037845,True
2,True,53,XGBoostModel,0,5,2,52,0.7017212057236688,True
3,True,53,XGBoostModel,0,5,3,52,0.715083274689186,True
4,True,53,XGBoostModel,0,5,4,52,0.7055780358120259,True
5,True,53,XGBoostModel,0,5,5,52,0.7168328250840565,True
6,True,53,XGBoostModel,0,5,6,52,0.7293328250840566,True
7,True,53,XGBoostModel,0,5,7,52,0.7240646258503401,True
8,True,53,XGBoostModel,0,5,8,52,0.7239209476894206,True
9,True,53,XGBoostModel,0,5,9,52,0.7283749706779263,True
10,True,53,XGBoostModel,0,5,10,52,0.7280876143560873,True
11,True,53,XGBoostModel,0,5,11,52,0.7294765032449761,True
12,True,53,XGBoostModel,0,5,12,52,0.7294765032449761,True
13,True,53,XGBoostModel,0,5,13,52,0.7282312925170068,True
14,True,53,XGBoostModel,0,5,14,52,0.7280876143560873,True
15,True,53,XGBoostModel,0,5,15,52,0.7239209476894206,True
16,True,53,XGBoostModel,0,5,16,52,0.7237772695285011,True
17,True,53,XGBoostModel,0,5,17,52,0.7337868480725624,True
18,True,53,XGBoostModel,0,5,18,52,0.7294765032449761,True
19,True,53,XGBoostModel,0,5,19,52,0.7283749706779263,True
20,True,53,XGBoostModel,0,5,20,52,0.7367083040112596,True
21,True,53,XGBoostModel,0,5,21,52,0.7283749706779263,True
22,True,53,XGBoostModel,0,5,22,52,0.7407312925170069,True
23,True,53,XGBoostModel,0,5,23,52,0.7282312925170068,True
24,True,53,XGBoostModel,0,5,24,52,0.7365646258503402,True
25,True,53,XTModel,0,5,0,52,0.7442274610993822,True
26,True,53,XTModel,0,5,1,52,0.7435794432715614,True
27,True,53,XTModel,0,5,2,52,0.730865392133865,True
28,True,53,XTModel,0,5,3,52,0.7092403628117914,True
29,True,53,XTModel,0,5,4,52,0.7147030651340996,True
30,True,53,XTModel,0,5,5,52,0.7097447024786926,True
31,True,53,XTModel,0,5,6,52,0.7190134099616858,True
32,True,53,XTModel,0,5,7,52,0.7140550473062788,True
33,True,53,XTModel,0,5,8,52,0.723323754789272,True
34,True,53,XTModel,0,5,9,52,0.7182217139729454,True
35,True,53,XTModel,0,5,10,52,0.7274904214559387,True
36,True,53,XTModel,0,5,11,52,0.7183653921338651,True
37,True,53,XTModel,0,5,12,52,0.7276340996168582,True
38,True,53,XTModel,0,5,13,52,0.7183653921338651,True
39,True,53,XTModel,0,5,14,52,0.7225320588005317,True
40,True,53,XTModel,0,5,15,52,0.7225320588005317,True
41,True,53,XTModel,0,5,16,52,0.7225320588005317,True
42,True,53,XTModel,0,5,17,52,0.7268424036281179,True
43,True,53,XTModel,0,5,18,52,0.7225320588005317,True
44,True,53,XTModel,0,5,19,52,0.7225320588005317,True
45,True,53,XTModel,0,5,20,52,0.7223883806396121,True
46,True,53,XTModel,0,5,21,52,0.7183653921338651,True
47,True,53,XTModel,0,5,22,52,0.7225320588005317,True
48,True,53,XTModel,0,5,23,52,0.7183653921338651,True
49,True,53,XTModel,0,5,24,52,0.7139113691453594,True
50,True,53,RFModel,0,5,0,52,0.7299075377277349,True
51,True,53,RFModel,0,5,1,52,0.7252365313941669,True
52,True,53,RFModel,0,5,2,52,0.7158974509343967,True
53,True,53,RFModel,0,5,3,52,0.6953514739229025,True
54,True,53,RFModel,0,5,4,52,0.6983462350457423,True
55,True,53,RFModel,0,5,5,52,0.6986335913675815,True
56,True,53,RFModel,0,5,6,52,0.6940358902181563,True
57,True,53,RFModel,0,5,7,52,0.7125224802564705,True
58,True,53,RFModel,0,5,8,52,0.7066795683790758,True
59,True,53,RFModel,0,5,9,52,0.7069669247009148,True
60,True,53,RFModel,0,5,10,52,0.7061752287121745,True
61,True,53,RFModel,0,5,11,52,0.7160411290953164,True
62,True,53,RFModel,0,5,12,52,0.7209994917507232,True
63,True,53,RFModel,0,5,13,52,0.7253098365783095,True
64,True,53,RFModel,0,5,14,52,0.7166891469231371,True
65,True,53,RFModel,0,5,15,52,0.7117307842677301,True
66,True,53,RFModel,0,5,16,52,0.72516615841739,True
67,True,53,RFModel,0,5,17,52,0.7294765032449761,True
68,True,53,RFModel,0,5,18,52,0.72516615841739,True
69,True,53,RFModel,0,5,19,52,0.7209994917507232,True
70,True,53,RFModel,0,5,20,52,0.72516615841739,True
71,True,53,RFModel,0,5,21,52,0.7209994917507232,True
72,True,53,RFModel,0,5,22,52,0.7261015325670498,True
73,True,53,RFModel,0,5,23,52,0.7209994917507232,True
74,True,53,RFModel,0,5,24,52,0.72516615841739,True
75,True,53,TabularNeuralNetModel,0,5,0,52,0.7204130502775823,True
76,True,53,TabularNeuralNetModel,0,5,1,52,0.710211900852295,True
77,True,53,TabularNeuralNetModel,0,5,2,52,0.6981370709203222,True
78,True,53,TabularNeuralNetModel,0,5,3,52,0.691451638126515,True
79,True,53,TabularNeuralNetModel,0,5,4,52,0.7154458910000783,True
80,True,53,TabularNeuralNetModel,0,5,5,52,0.7030895691609977,True
81,True,53,TabularNeuralNetModel,0,5,6,52,0.7240020720932051,True
82,True,53,TabularNeuralNetModel,0,5,7,52,0.7287434514035499,True
83,True,53,TabularNeuralNetModel,0,5,8,52,0.7187338728594886,True
84,True,53,TabularNeuralNetModel,0,5,9,52,0.7151419188365001,True
85,True,53,TabularNeuralNetModel,0,5,10,52,0.7108315740089138,True
86,True,53,TabularNeuralNetModel,0,5,11,52,0.6983315740089139,True
87,True,53,TabularNeuralNetModel,0,5,12,52,0.7159336148252404,True
88,True,53,TabularNeuralNetModel,0,5,13,52,0.7006274923762608,True
89,True,53,TabularNeuralNetModel,0,5,14,52,0.7001739776370317,True
90,True,53,TabularNeuralNetModel,0,5,15,52,0.6993822816482915,True
91,True,53,TabularNeuralNetModel,0,5,16,52,0.7208636328094455,True
92,True,53,TabularNeuralNetModel,0,5,17,52,0.7182295331925874,True
93,True,53,TabularNeuralNetModel,0,5,18,52,0.7139191883650011,True
94,True,53,TabularNeuralNetModel,0,5,19,52,0.7101835561810932,True
