,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,146822,HistGradientBoostingClassifier,0,5,0,19,0.9774189927411508
1,True,146822,HistGradientBoostingClassifier,0,5,1,19,0.9657075506996932
2,True,146822,HistGradientBoostingClassifier,0,5,2,19,0.9626019606375814
3,True,146822,HistGradientBoostingClassifier,0,5,3,19,0.9626019606375814
4,True,146822,HistGradientBoostingClassifier,0,5,4,19,0.9576068248147871
5,True,146822,HistGradientBoostingClassifier,0,5,5,19,0.9558856544189179
6,True,146822,HistGradientBoostingClassifier,0,5,6,19,0.9577752001796004
7,True,146822,HistGradientBoostingClassifier,0,5,7,19,0.963986380303824
8,True,146822,HistGradientBoostingClassifier,0,5,8,19,0.963986380303824
9,True,146822,HistGradientBoostingClassifier,0,5,9,19,0.9593279952106563
10,True,146822,HistGradientBoostingClassifier,0,5,10,19,0.9610491656065255
11,True,146822,HistGradientBoostingClassifier,0,5,11,19,0.9593279952106563
12,True,146822,HistGradientBoostingClassifier,0,5,12,19,0.9593279952106563
13,True,146822,HistGradientBoostingClassifier,0,5,13,19,0.9593279952106563
14,True,146822,HistGradientBoostingClassifier,0,5,14,19,0.9593279952106563
15,True,146822,HistGradientBoostingClassifier,0,5,15,19,0.9593279952106563
16,True,146822,HistGradientBoostingClassifier,0,5,16,19,0.9593279952106563
17,True,146822,HistGradientBoostingClassifier,0,5,17,19,0.9593279952106563
18,True,146822,HistGradientBoostingClassifier,0,5,18,19,0.9593279952106563
19,True,146822,HistGradientBoostingClassifier,0,5,19,19,0.9593279952106563
20,True,146822,HistGradientBoostingClassifier,0,5,20,19,0.9593279952106563
21,True,146822,HistGradientBoostingClassifier,0,5,21,19,0.9593279952106563
22,True,146822,HistGradientBoostingClassifier,0,5,22,19,0.9593279952106563
23,True,146822,HistGradientBoostingClassifier,0,5,23,19,0.9608807902417122
24,True,146822,HistGradientBoostingClassifier,0,5,24,19,0.9608807902417122
25,True,146822,RandomForestClassifier,0,5,0,19,0.9725922322831699
26,True,146822,RandomForestClassifier,0,5,1,19,0.9658759260645066
27,True,146822,RandomForestClassifier,0,5,2,19,0.9626019606375814
28,True,146822,RandomForestClassifier,0,5,3,19,0.9577752001796004
29,True,146822,RandomForestClassifier,0,5,4,19,0.9498428496595075
30,True,146822,RandomForestClassifier,0,5,5,19,0.9467372595973957
31,True,146822,RandomForestClassifier,0,5,6,19,0.9451844645663398
32,True,146822,RandomForestClassifier,0,5,7,19,0.9515640200553767
33,True,146822,RandomForestClassifier,0,5,8,19,0.9500112250243209
34,True,146822,RandomForestClassifier,0,5,9,19,0.9500112250243209
35,True,146822,RandomForestClassifier,0,5,10,19,0.9450160892015266
36,True,146822,RandomForestClassifier,0,5,11,19,0.9451844645663398
37,True,146822,RandomForestClassifier,0,5,12,19,0.946905634962209
38,True,146822,RandomForestClassifier,0,5,13,19,0.946905634962209
39,True,146822,RandomForestClassifier,0,5,14,19,0.946905634962209
40,True,146822,RandomForestClassifier,0,5,15,19,0.9484584299932649
41,True,146822,RandomForestClassifier,0,5,16,19,0.946905634962209
42,True,146822,RandomForestClassifier,0,5,17,19,0.9451844645663398
43,True,146822,RandomForestClassifier,0,5,18,19,0.9436316695352839
44,True,146822,RandomForestClassifier,0,5,19,19,0.9436316695352839
45,True,146822,RandomForestClassifier,0,5,20,19,0.9436316695352839
46,True,146822,RandomForestClassifier,0,5,21,19,0.9436316695352839
47,True,146822,RandomForestClassifier,0,5,22,19,0.9436316695352839
48,True,146822,RandomForestClassifier,0,5,23,19,0.9467372595973957
49,True,146822,RandomForestClassifier,0,5,24,19,0.9436316695352839
50,True,146822,DecisionTreeClassifier,0,5,0,19,0.9425110859107716
51,True,146822,DecisionTreeClassifier,0,5,1,19,0.9264780095057727
52,True,146822,DecisionTreeClassifier,0,5,2,19,0.9116609774022032
53,True,146822,DecisionTreeClassifier,0,5,3,19,0.9119977281318298
54,True,146822,DecisionTreeClassifier,0,5,4,19,0.8944118566957749
55,True,146822,DecisionTreeClassifier,0,5,5,19,0.894690563496221
56,True,146822,DecisionTreeClassifier,0,5,6,19,0.893137768465165
57,True,146822,DecisionTreeClassifier,0,5,7,19,0.9191611165157524
58,True,146822,DecisionTreeClassifier,0,5,8,19,0.9158871510888272
59,True,146822,DecisionTreeClassifier,0,5,9,19,0.9188243657861257
60,True,146822,DecisionTreeClassifier,0,5,10,19,0.9171031953902568
61,True,146822,DecisionTreeClassifier,0,5,11,19,0.9157187757240141
62,True,146822,DecisionTreeClassifier,0,5,12,19,0.9139976053281449
63,True,146822,DecisionTreeClassifier,0,5,13,19,0.9091708448701639
64,True,146822,DecisionTreeClassifier,0,5,14,19,0.9093392202349772
65,True,146822,DecisionTreeClassifier,0,5,15,19,0.9141659806929582
66,True,146822,DecisionTreeClassifier,0,5,16,19,0.9077864252039213
67,True,146822,DecisionTreeClassifier,0,5,17,19,0.9093392202349772
68,True,146822,DecisionTreeClassifier,0,5,18,19,0.9093392202349772
69,True,146822,DecisionTreeClassifier,0,5,19,19,0.9107236399012197
70,True,146822,DecisionTreeClassifier,0,5,20,19,0.9057285040784254
71,True,146822,DecisionTreeClassifier,0,5,21,19,0.9041757090473697
72,True,146822,DecisionTreeClassifier,0,5,22,19,0.9041757090473697
73,True,146822,DecisionTreeClassifier,0,5,23,19,0.9126131856619022
74,True,146822,DecisionTreeClassifier,0,5,24,19,0.910892015266033
75,True,146822,LinearDiscriminantAnalysis,0,5,0,19,0.8905747212452292
76,True,146822,LinearDiscriminantAnalysis,0,5,1,19,0.8905747212452292
77,True,146822,LinearDiscriminantAnalysis,0,5,2,19,0.8905747212452292
78,True,146822,LinearDiscriminantAnalysis,0,5,3,19,0.8905747212452292
79,True,146822,LinearDiscriminantAnalysis,0,5,4,19,0.8836900396617526
80,True,146822,LinearDiscriminantAnalysis,0,5,5,19,0.8854112100576217
81,True,146822,LinearDiscriminantAnalysis,0,5,6,19,0.8854112100576217
82,True,146822,LinearDiscriminantAnalysis,0,5,7,19,0.8904063458804161
83,True,146822,LinearDiscriminantAnalysis,0,5,8,19,0.8886851754845468
84,True,146822,LinearDiscriminantAnalysis,0,5,9,19,0.887132380453491
85,True,146822,LinearDiscriminantAnalysis,0,5,10,19,0.8888535508493601
86,True,146822,LinearDiscriminantAnalysis,0,5,11,19,0.8905747212452292
87,True,146822,LinearDiscriminantAnalysis,0,5,12,19,0.8888535508493601
