,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,53,HistGradientBoostingClassifier,0,1,0,49,0.7180138552596179
1,True,53,HistGradientBoostingClassifier,0,1,1,49,0.7029351627656713
2,True,53,RandomForestClassifier,0,1,0,49,0.7346344498251278
3,True,53,RandomForestClassifier,0,1,1,49,0.7257105864944848
4,True,53,DecisionTreeClassifier,0,1,0,49,0.6788781275221953
5,True,53,DecisionTreeClassifier,0,1,1,49,0.6506890637610977
6,True,53,LinearDiscriminantAnalysis,0,1,0,49,0.7674566182405165
7,True,53,LinearDiscriminantAnalysis,0,1,1,49,0.7635327549098736
8,True,53,XGBClassifier,0,1,0,49,0.718609093354856
9,True,53,XGBClassifier,0,1,1,49,0.7433652811407048
10,True,53,GradientBoostingClassifier,0,1,0,49,0.7068146354587032
11,True,53,GradientBoostingClassifier,0,1,1,49,0.7341152138821629
12,True,53,LGBMClassifier,0,1,0,49,0.7228463814904492
13,True,53,LGBMClassifier,0,1,1,49,0.7266851627656712
14,True,53,MLPClassifier,0,1,0,49,0.6192043314500941
15,True,53,MLPClassifier,0,1,1,49,0.5943058918482647
16,True,53,HistGradientBoostingClassifier,1,1,2,49,0.7208360236750068
17,True,53,HistGradientBoostingClassifier,1,1,3,49,0.663742265267689
18,True,53,RandomForestClassifier,1,1,2,49,0.7562637880010761
19,True,53,RandomForestClassifier,1,1,3,49,0.7471216707021793
20,True,53,DecisionTreeClassifier,1,1,2,49,0.6165368576809255
21,True,53,DecisionTreeClassifier,1,1,3,49,0.6068946731234867
22,True,53,LinearDiscriminantAnalysis,1,1,2,49,0.7582193301049234
23,True,53,LinearDiscriminantAnalysis,1,1,3,49,0.7629946865751951
24,True,53,XGBClassifier,1,1,2,49,0.7426876513317191
25,True,53,XGBClassifier,1,1,3,49,0.7443462469733656
26,True,53,GradientBoostingClassifier,1,1,2,49,0.6982892789884315
27,True,53,GradientBoostingClassifier,1,1,3,49,0.7324350955071295
28,True,53,LGBMClassifier,1,1,2,49,0.7242066854990583
29,True,53,LGBMClassifier,1,1,3,49,0.7095493677697067
30,True,53,MLPClassifier,1,1,2,49,0.4554546677428033
31,True,53,MLPClassifier,1,1,3,49,0.47519572235673935
32,True,53,HistGradientBoostingClassifier,2,1,4,49,0.7053487355394136
33,True,53,HistGradientBoostingClassifier,2,1,5,49,0.6590176889965025
34,True,53,RandomForestClassifier,2,1,4,49,0.7590836023675006
35,True,53,RandomForestClassifier,2,1,5,49,0.7443906376109766
36,True,53,DecisionTreeClassifier,2,1,4,49,0.6015432472423998
37,True,53,DecisionTreeClassifier,2,1,5,49,0.6053120796341136
38,True,53,LinearDiscriminantAnalysis,2,1,4,49,0.7582193301049234
39,True,53,LinearDiscriminantAnalysis,2,1,5,49,0.7590264326069411
40,True,53,XGBClassifier,2,1,4,49,0.76079802259887
41,True,53,XGBClassifier,2,1,5,49,0.7443018563357546
42,True,53,GradientBoostingClassifier,2,1,4,49,0.7059567527576003
43,True,53,GradientBoostingClassifier,2,1,5,49,0.7042803336023675
44,True,53,LGBMClassifier,2,1,4,49,0.692751210653753
45,True,53,LGBMClassifier,2,1,5,49,0.7052612994350282
46,True,53,MLPClassifier,2,1,4,49,0.5736575195049771
47,True,53,MLPClassifier,2,1,5,49,0.5561891310196395
48,True,53,HistGradientBoostingClassifier,3,1,6,49,0.689855057842346
49,True,53,HistGradientBoostingClassifier,3,1,7,49,0.6515049098735539
50,True,53,RandomForestClassifier,3,1,6,49,0.7449566182405165
51,True,53,RandomForestClassifier,3,1,7,49,0.7437953995157385
52,True,53,DecisionTreeClassifier,3,1,6,49,0.6226345170836696
53,True,53,DecisionTreeClassifier,3,1,7,49,0.6315049098735539
54,True,53,LinearDiscriminantAnalysis,3,1,6,49,0.7582193301049234
55,True,53,LinearDiscriminantAnalysis,3,1,7,49,0.7590264326069411
56,True,53,XGBClassifier,3,1,6,49,0.7468805488297013
57,True,53,XGBClassifier,3,1,7,49,0.7167931127253161
58,True,53,GradientBoostingClassifier,3,1,6,49,0.7024821764864138
59,True,53,GradientBoostingClassifier,3,1,7,49,0.7099986548291632
60,True,53,LGBMClassifier,3,1,6,49,0.6803591606133979
61,True,53,LGBMClassifier,3,1,7,49,0.6797804008609093
62,True,53,MLPClassifier,3,1,6,49,0.6282260559591069
63,True,53,MLPClassifier,3,1,7,49,0.5836322975517891
64,False,53,HistGradientBoostingClassifier,0,1,0,49,0.7180138552596179
65,False,53,HistGradientBoostingClassifier,0,1,1,49,0.7029351627656713
66,False,53,RandomForestClassifier,0,1,0,49,0.7346344498251278
67,False,53,RandomForestClassifier,0,1,1,49,0.7257105864944848
68,False,53,DecisionTreeClassifier,0,1,0,49,0.6788781275221953
69,False,53,DecisionTreeClassifier,0,1,1,49,0.6506890637610977
70,False,53,LinearDiscriminantAnalysis,0,1,0,49,0.7674566182405165
71,False,53,LinearDiscriminantAnalysis,0,1,1,49,0.7635327549098736
72,False,53,XGBClassifier,0,1,0,49,0.718609093354856
73,False,53,XGBClassifier,0,1,1,49,0.7433652811407048
74,False,53,GradientBoostingClassifier,0,1,0,49,0.7073527037933818
75,False,53,GradientBoostingClassifier,0,1,1,49,0.7072168415388755
76,False,53,LGBMClassifier,0,1,0,49,0.7228463814904492
77,False,53,LGBMClassifier,0,1,1,49,0.7266851627656712
78,False,53,MLPClassifier,0,1,0,49,0.5398288270110304
79,False,53,MLPClassifier,0,1,1,49,0.5180787597524885
80,False,53,HistGradientBoostingClassifier,1,1,2,49,0.7867026499865483
81,False,53,HistGradientBoostingClassifier,1,1,3,49,0.7735199757869249
82,False,53,RandomForestClassifier,1,1,2,49,0.8031137341942427
83,False,53,RandomForestClassifier,1,1,3,49,0.7732509416195856
84,False,53,DecisionTreeClassifier,1,1,2,49,0.7581836830777509
85,False,53,DecisionTreeClassifier,1,1,3,49,0.7355898574118913
86,False,53,LinearDiscriminantAnalysis,1,1,2,49,0.7882788539144472
87,False,53,LinearDiscriminantAnalysis,1,1,3,49,0.7777192628463814
88,False,53,XGBClassifier,1,1,2,49,0.8011581920903954
89,False,53,XGBClassifier,1,1,3,49,0.7840072639225181
90,False,53,GradientBoostingClassifier,1,1,2,49,0.783759752488566
91,False,53,GradientBoostingClassifier,1,1,3,49,0.7660707559860102
92,False,53,LGBMClassifier,1,1,2,49,0.8031137341942427
93,False,53,LGBMClassifier,1,1,3,49,0.7819945520581114
94,False,53,MLPClassifier,1,1,2,49,0.6844037530266344
95,False,53,MLPClassifier,1,1,3,49,0.7064073849878936
96,False,53,HistGradientBoostingClassifier,2,1,4,49,0.7549566182405165
97,False,53,HistGradientBoostingClassifier,2,1,5,49,0.7314605192359429
98,False,53,RandomForestClassifier,2,1,4,49,0.7708296341135324
99,False,53,RandomForestClassifier,2,1,5,49,0.756570823244552
100,False,53,DecisionTreeClassifier,2,1,4,49,0.7347978880817864
101,False,53,DecisionTreeClassifier,2,1,5,49,0.6964605192359429
102,False,53,LinearDiscriminantAnalysis,2,1,4,49,0.7827343960182943
103,False,53,LinearDiscriminantAnalysis,2,1,5,49,0.7946835485606671
104,False,53,XGBClassifier,2,1,4,49,0.7591939063761097
105,False,53,XGBClassifier,2,1,5,49,0.7608081113801453
106,False,53,GradientBoostingClassifier,2,1,4,49,0.7433208905030939
107,False,53,GradientBoostingClassifier,2,1,5,49,0.756570823244552
108,False,53,LGBMClassifier,2,1,4,49,0.750450295937584
109,False,53,LGBMClassifier,2,1,5,49,0.7277612994350282
110,False,53,MLPClassifier,2,1,4,49,0.7202956012913639
111,False,53,MLPClassifier,2,1,5,49,0.7194985875706215
112,False,53,HistGradientBoostingClassifier,3,1,6,49,0.7337725316115147
113,False,53,HistGradientBoostingClassifier,3,1,7,49,0.723083467850417
114,False,53,RandomForestClassifier,3,1,6,49,0.7868193435566317
115,False,53,RandomForestClassifier,3,1,7,49,0.7559248049502286
116,False,53,DecisionTreeClassifier,3,1,6,49,0.7456177697067528
117,False,53,DecisionTreeClassifier,3,1,7,49,0.7203779930051115
118,False,53,LinearDiscriminantAnalysis,3,1,6,49,0.7819716841538875
119,False,53,LinearDiscriminantAnalysis,3,1,7,49,0.7529375168146354
120,False,53,XGBClassifier,3,1,6,49,0.7658447672854451
121,False,53,XGBClassifier,3,1,7,49,0.741833467850417
122,False,53,GradientBoostingClassifier,3,1,6,49,0.7569716841538875
123,False,53,GradientBoostingClassifier,3,1,7,49,0.7543486010223298
124,False,53,LGBMClassifier,3,1,6,49,0.7423042776432607
125,False,53,LGBMClassifier,3,1,7,49,0.7336279257465699
126,False,53,MLPClassifier,3,1,6,49,0.7470860236750068
127,False,53,MLPClassifier,3,1,7,49,0.7579375168146354
128,True,53,HistGradientBoostingClassifier,0,2,0,49,0.7180138552596179
129,True,53,HistGradientBoostingClassifier,0,2,1,49,0.7029351627656713
130,True,53,HistGradientBoostingClassifier,0,2,2,49,0.7128019908528384
131,True,53,HistGradientBoostingClassifier,0,2,3,49,0.6969098062953994
132,True,53,RandomForestClassifier,0,2,0,49,0.7346344498251278
133,True,53,RandomForestClassifier,0,2,1,49,0.7257105864944848
134,True,53,RandomForestClassifier,0,2,2,49,0.7128591606133978
135,True,53,RandomForestClassifier,0,2,3,49,0.7137042641915523
136,True,53,DecisionTreeClassifier,0,2,0,49,0.6788781275221953
137,True,53,DecisionTreeClassifier,0,2,1,49,0.6506890637610977
138,True,53,DecisionTreeClassifier,0,2,2,49,0.6945708905030938
139,True,53,DecisionTreeClassifier,0,2,3,49,0.6132993677697067
140,True,53,LinearDiscriminantAnalysis,0,2,0,49,0.7674566182405165
141,True,53,LinearDiscriminantAnalysis,0,2,1,49,0.7635327549098736
142,True,53,LinearDiscriminantAnalysis,0,2,2,49,0.768778921172989
143,True,53,LinearDiscriminantAnalysis,0,2,3,49,0.7675010088781276
144,True,53,XGBClassifier,0,2,0,49,0.718609093354856
145,True,53,XGBClassifier,0,2,1,49,0.7433652811407048
146,True,53,XGBClassifier,0,2,2,49,0.7307828894269571
147,True,53,XGBClassifier,0,2,3,49,0.7119605864944848
148,True,53,GradientBoostingClassifier,0,2,0,49,0.72507734732311
149,True,53,GradientBoostingClassifier,0,2,1,49,0.726504909873554
150,True,53,GradientBoostingClassifier,0,2,2,49,0.7120836696260425
151,True,53,GradientBoostingClassifier,0,2,3,49,0.7152676889965025
152,True,53,LGBMClassifier,0,2,0,49,0.7228463814904492
153,True,53,LGBMClassifier,0,2,1,49,0.7266851627656712
154,True,53,LGBMClassifier,0,2,2,49,0.7382384987893462
155,True,53,LGBMClassifier,0,2,3,49,0.7204923325262308
156,True,53,MLPClassifier,0,2,0,49,0.5243482647296207
157,True,53,MLPClassifier,0,2,1,49,0.5361551654560129
158,True,53,MLPClassifier,0,2,2,49,0.5631917541027711
159,True,53,MLPClassifier,0,2,3,49,0.5751637745493678
160,True,53,HistGradientBoostingClassifier,1,2,4,49,0.7411430589184826
161,True,53,HistGradientBoostingClassifier,1,2,5,49,0.7110112321764864
162,True,53,HistGradientBoostingClassifier,1,2,6,49,0.7396431934355663
163,True,53,HistGradientBoostingClassifier,1,2,7,49,0.7345073311810599
164,True,53,RandomForestClassifier,1,2,4,49,0.7640836023675007
165,True,53,RandomForestClassifier,1,2,5,49,0.7755898574118913
166,True,53,RandomForestClassifier,1,2,6,49,0.7723614474038203
167,True,53,RandomForestClassifier,1,2,7,49,0.7520645009416196
168,True,53,DecisionTreeClassifier,1,2,4,49,0.6423527037933817
169,True,53,DecisionTreeClassifier,1,2,5,49,0.5973819612590798
170,True,53,DecisionTreeClassifier,1,2,6,49,0.6141535512510089
171,True,53,DecisionTreeClassifier,1,2,7,49,0.6177169087974173
172,True,53,LinearDiscriminantAnalysis,1,2,4,49,0.7582193301049234
173,True,53,LinearDiscriminantAnalysis,1,2,5,49,0.7510899246704332
174,True,53,LinearDiscriminantAnalysis,1,2,6,49,0.7816202582728007
175,True,53,LinearDiscriminantAnalysis,1,2,7,49,0.7624566182405166
176,True,53,XGBClassifier,1,2,4,49,0.7323019235942965
177,True,53,XGBClassifier,1,2,5,49,0.728960519235943
178,True,53,XGBClassifier,1,2,6,49,0.738232109227872
179,True,53,XGBClassifier,1,2,7,49,0.746789077212806
180,True,53,GradientBoostingClassifier,1,2,4,49,0.7224186171643798
181,True,53,GradientBoostingClassifier,1,2,5,49,0.7441659940812483
182,True,53,GradientBoostingClassifier,1,2,6,49,0.7385011433952112
183,True,53,GradientBoostingClassifier,1,2,7,49,0.7414033494753833
184,True,53,LGBMClassifier,1,2,4,49,0.7359439736346516
185,True,53,LGBMClassifier,1,2,5,49,0.7389033494753834
186,True,53,LGBMClassifier,1,2,6,49,0.7238845170836696
187,True,53,LGBMClassifier,1,2,7,49,0.7454795534032823
188,True,53,MLPClassifier,1,2,4,49,0.6618186709712134
189,True,53,MLPClassifier,1,2,5,49,0.591180387409201
190,True,53,MLPClassifier,1,2,6,49,0.6361383508205543
191,True,53,MLPClassifier,1,2,7,49,0.6644390637610977
192,True,53,HistGradientBoostingClassifier,2,2,8,49,0.6944185499058382
193,True,53,HistGradientBoostingClassifier,2,2,9,49,0.6667803336023675
194,True,53,HistGradientBoostingClassifier,2,2,10,49,0.7237130078019909
195,True,53,HistGradientBoostingClassifier,2,2,11,49,0.6940200430454667
196,True,53,RandomForestClassifier,2,2,8,49,0.76435263653484
197,True,53,RandomForestClassifier,2,2,9,49,0.7589541296744686
198,True,53,RandomForestClassifier,2,2,10,49,0.7308400591875168
199,True,53,RandomForestClassifier,2,2,11,49,0.7629223836427226
200,True,53,DecisionTreeClassifier,2,2,8,49,0.6262257869249395
201,True,53,DecisionTreeClassifier,2,2,9,49,0.5927612994350282
202,True,53,DecisionTreeClassifier,2,2,10,49,0.5719161958568738
203,True,53,DecisionTreeClassifier,2,2,11,49,0.5704859429647565
204,True,53,LinearDiscriminantAnalysis,2,2,8,49,0.764200295937584
205,True,53,LinearDiscriminantAnalysis,2,2,9,49,0.7737510088781274
206,True,53,LinearDiscriminantAnalysis,2,2,10,49,0.7923765805757331
207,True,53,LinearDiscriminantAnalysis,2,2,11,49,0.7848486682808717
208,True,53,XGBClassifier,2,2,8,49,0.7376812617702448
209,True,53,XGBClassifier,2,2,9,49,0.7241216034436373
210,True,53,XGBClassifier,2,2,10,49,0.7745352434759214
211,True,53,XGBClassifier,2,2,11,49,0.7789120930858218
212,True,53,GradientBoostingClassifier,2,2,8,49,0.7232472423997848
213,True,53,GradientBoostingClassifier,2,2,9,49,0.7149986548291632
214,True,53,GradientBoostingClassifier,2,2,10,49,0.732861514662362
215,True,53,GradientBoostingClassifier,2,2,11,49,0.7351684826472962
216,True,53,LGBMClassifier,2,2,8,49,0.7262637880010762
217,True,53,LGBMClassifier,2,2,9,49,0.7366659940812483
218,True,53,LGBMClassifier,2,2,10,49,0.7414884315308043
219,True,53,LGBMClassifier,2,2,11,49,0.7426025692762981
220,True,53,MLPClassifier,2,2,8,49,0.5865419020715631
221,True,53,MLPClassifier,2,2,9,49,0.5466639763249933
222,True,53,MLPClassifier,2,2,10,49,0.5316347188592951
223,True,53,MLPClassifier,2,2,11,49,0.5439201641108421
224,True,53,HistGradientBoostingClassifier,3,2,12,49,0.6802892117298898
225,True,53,HistGradientBoostingClassifier,3,2,13,49,0.6598247914985202
226,True,53,HistGradientBoostingClassifier,3,2,14,49,0.6866979418886199
227,True,53,HistGradientBoostingClassifier,3,2,15,49,0.6682549771320958
228,True,53,RandomForestClassifier,3,2,12,49,0.7904439063761097
229,True,53,RandomForestClassifier,3,2,13,49,0.7584160613397901
230,True,53,RandomForestClassifier,3,2,14,49,0.7387765671240247
231,True,53,RandomForestClassifier,3,2,15,49,0.7578779930051116
232,True,53,DecisionTreeClassifier,3,2,12,49,0.6198590933548561
233,True,53,DecisionTreeClassifier,3,2,13,49,0.6494478073715362
234,True,53,DecisionTreeClassifier,3,2,14,49,0.6239884315308044
235,True,53,DecisionTreeClassifier,3,2,15,49,0.6290708232445521
236,True,53,LinearDiscriminantAnalysis,3,2,12,49,0.7664820419693301
237,True,53,LinearDiscriminantAnalysis,3,2,13,49,0.7802700430454668
238,True,53,LinearDiscriminantAnalysis,3,2,14,49,0.7923765805757331
239,True,53,LinearDiscriminantAnalysis,3,2,15,49,0.789085956416465
240,True,53,XGBClassifier,3,2,12,49,0.7479718186709712
241,True,53,XGBClassifier,3,2,13,49,0.7150517890772128
242,True,53,XGBClassifier,3,2,14,49,0.7424630078019908
243,True,53,XGBClassifier,3,2,15,49,0.7243462469733657
244,True,53,GradientBoostingClassifier,3,2,12,49,0.7238209577616358
245,True,53,GradientBoostingClassifier,3,2,13,49,0.7125938256658595
246,True,53,GradientBoostingClassifier,3,2,14,49,0.7311686171643799
247,True,53,GradientBoostingClassifier,3,2,15,49,0.7180962469733656
248,True,53,LGBMClassifier,3,2,12,49,0.6757956685499058
249,True,53,LGBMClassifier,3,2,13,49,0.6586891310196396
250,True,53,LGBMClassifier,3,2,14,49,0.713187718590261
251,True,53,LGBMClassifier,3,2,15,49,0.7035899246704331
252,True,53,MLPClassifier,3,2,12,49,0.6401889965025558
253,True,53,MLPClassifier,3,2,13,49,0.5789366424535916
254,True,53,MLPClassifier,3,2,14,49,0.6446700968523003
255,True,53,MLPClassifier,3,2,15,49,0.6547652676889965
256,False,53,HistGradientBoostingClassifier,0,2,0,49,0.7180138552596179
257,False,53,HistGradientBoostingClassifier,0,2,1,49,0.7029351627656713
258,False,53,HistGradientBoostingClassifier,0,2,2,49,0.7128019908528384
259,False,53,HistGradientBoostingClassifier,0,2,3,49,0.6969098062953994
260,False,53,RandomForestClassifier,0,2,0,49,0.7346344498251278
261,False,53,RandomForestClassifier,0,2,1,49,0.7257105864944848
262,False,53,RandomForestClassifier,0,2,2,49,0.7128591606133978
263,False,53,RandomForestClassifier,0,2,3,49,0.7137042641915523
264,False,53,DecisionTreeClassifier,0,2,0,49,0.6788781275221953
265,False,53,DecisionTreeClassifier,0,2,1,49,0.6506890637610977
266,False,53,DecisionTreeClassifier,0,2,2,49,0.6945708905030938
267,False,53,DecisionTreeClassifier,0,2,3,49,0.6132993677697067
268,False,53,LinearDiscriminantAnalysis,0,2,0,49,0.7674566182405165
269,False,53,LinearDiscriminantAnalysis,0,2,1,49,0.7635327549098736
270,False,53,LinearDiscriminantAnalysis,0,2,2,49,0.768778921172989
271,False,53,LinearDiscriminantAnalysis,0,2,3,49,0.7675010088781276
272,False,53,XGBClassifier,0,2,0,49,0.718609093354856
273,False,53,XGBClassifier,0,2,1,49,0.7433652811407048
274,False,53,XGBClassifier,0,2,2,49,0.7307828894269571
275,False,53,XGBClassifier,0,2,3,49,0.7119605864944848
276,False,53,GradientBoostingClassifier,0,2,0,49,0.7250201775625504
277,False,53,GradientBoostingClassifier,0,2,1,49,0.7196596717783159
278,False,53,GradientBoostingClassifier,0,2,2,49,0.7077892117298896
279,False,53,GradientBoostingClassifier,0,2,3,49,0.7152105192359429
280,False,53,LGBMClassifier,0,2,0,49,0.7228463814904492
281,False,53,LGBMClassifier,0,2,1,49,0.7266851627656712
282,False,53,LGBMClassifier,0,2,2,49,0.7382384987893462
283,False,53,LGBMClassifier,0,2,3,49,0.7204923325262308
284,False,53,MLPClassifier,0,2,0,49,0.618166532149583
285,False,53,MLPClassifier,0,2,1,49,0.6410647027172451
286,False,53,MLPClassifier,0,2,2,49,0.6261433952111919
287,False,53,MLPClassifier,0,2,3,49,0.5790583804143126
288,False,53,HistGradientBoostingClassifier,1,2,4,49,0.7830034301856336
289,False,53,HistGradientBoostingClassifier,1,2,5,49,0.7851557035243476
