,hue,performance,model,dataset_name,level,repeat,seed
0,test_performance_singlemodelTrue,0.9900061404278249,HistGradientBoostingClassifier,3,0,5,6
1,test_performance_singlemodelTrue,0.993756187420895,RandomForestClassifier,3,0,5,6
2,test_performance_singlemodelTrue,0.9949936715998947,DecisionTreeClassifier,3,0,5,6
3,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,0,5,6
4,test_performance_singlemodelTrue,0.9900061404278249,XGBClassifier,3,0,5,6
5,test_performance_singlemodelTrue,0.9750435469116154,GradientBoostingClassifier,3,0,5,6
6,test_performance_singlemodelTrue,0.9812497650346496,LGBMClassifier,3,0,5,6
7,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,0,5,6
8,test_performance_singlemodelTrue,0.9962405543929123,HistGradientBoostingClassifier,3,1,5,6
9,test_performance_singlemodelTrue,0.993756187420895,RandomForestClassifier,3,1,5,6
10,test_performance_singlemodelTrue,0.993756187420895,DecisionTreeClassifier,3,1,5,6
11,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,1,5,6
12,test_performance_singlemodelTrue,0.9937467888068773,XGBClassifier,3,1,5,6
13,test_performance_singlemodelTrue,0.9825248436697201,GradientBoostingClassifier,3,1,5,6
14,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,1,5,6
15,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,1,5,6
16,test_performance_singlemodelTrue,0.9949936715998947,HistGradientBoostingClassifier,3,2,5,6
17,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,2,5,6
18,test_performance_singlemodelTrue,0.9912436246068246,DecisionTreeClassifier,3,2,5,6
19,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,2,5,6
20,test_performance_singlemodelTrue,0.9949936715998947,XGBClassifier,3,2,5,6
21,test_performance_singlemodelTrue,0.9837717264627377,GradientBoostingClassifier,3,2,5,6
22,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,2,5,6
23,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,2,5,6
24,test_performance_singlemodelTrue,0.9937467888068773,HistGradientBoostingClassifier,3,3,5,6
25,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,3,5,6
26,test_performance_singlemodelTrue,0.9874935776137546,DecisionTreeClassifier,3,3,5,6
27,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,3,5,6
28,test_performance_singlemodelTrue,0.9949936715998947,XGBClassifier,3,3,5,6
29,test_performance_singlemodelTrue,0.9837717264627377,GradientBoostingClassifier,3,3,5,6
30,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,3,5,6
31,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,3,5,6
32,test_performance_singlemodelTrue,0.9912436246068246,HistGradientBoostingClassifier,3,4,5,6
33,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,4,5,6
34,test_performance_singlemodelTrue,0.9837435306206845,DecisionTreeClassifier,3,4,5,6
35,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,4,5,6
36,test_performance_singlemodelTrue,0.9949936715998947,XGBClassifier,3,4,5,6
37,test_performance_singlemodelTrue,0.9837717264627377,GradientBoostingClassifier,3,4,5,6
38,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,4,5,6
39,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,4,5,6
40,test_performance_singlemodelTrue,0.9912436246068246,HistGradientBoostingClassifier,3,5,5,6
41,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,5,5,6
42,test_performance_singlemodelTrue,0.979974686399579,DecisionTreeClassifier,3,5,5,6
43,test_performance_singlemodelTrue,0.9336614493915965,LinearDiscriminantAnalysis,3,5,5,6
44,test_performance_singlemodelTrue,0.9949936715998947,XGBClassifier,3,5,5,6
45,test_performance_singlemodelTrue,0.9837717264627377,GradientBoostingClassifier,3,5,5,6
46,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,5,5,6
47,test_performance_singlemodelTrue,0.9862560934347548,MLPClassifier,3,5,5,6
48,test_performance_singlemodelFalse,0.9900061404278249,HistGradientBoostingClassifier,3,0,5,6
49,test_performance_singlemodelFalse,0.993756187420895,RandomForestClassifier,3,0,5,6
50,test_performance_singlemodelFalse,0.9949936715998947,DecisionTreeClassifier,3,0,5,6
51,test_performance_singlemodelFalse,0.9336614493915965,LinearDiscriminantAnalysis,3,0,5,6
52,test_performance_singlemodelFalse,0.9900061404278249,XGBClassifier,3,0,5,6
53,test_performance_singlemodelFalse,0.9750435469116154,GradientBoostingClassifier,3,0,5,6
54,test_performance_singlemodelFalse,0.9812497650346496,LGBMClassifier,3,0,5,6
55,test_performance_singlemodelFalse,0.9849998120277197,MLPClassifier,3,0,5,6
56,test_performance_singlemodelFalse,0.9987437185929648,HistGradientBoostingClassifier,3,1,5,6
57,test_performance_singlemodelFalse,0.9950030702139125,RandomForestClassifier,3,1,5,6
58,test_performance_singlemodelFalse,0.9924999060138597,DecisionTreeClassifier,3,1,5,6
59,test_performance_singlemodelFalse,0.9912624218348601,LinearDiscriminantAnalysis,3,1,5,6
60,test_performance_singlemodelFalse,0.9950030702139125,XGBClassifier,3,1,5,6
61,test_performance_singlemodelFalse,0.993756187420895,GradientBoostingClassifier,3,1,5,6
62,test_performance_singlemodelFalse,0.9912624218348601,LGBMClassifier,3,1,5,6
63,test_performance_singlemodelFalse,0.9950030702139125,MLPClassifier,3,1,5,6
64,test_performance_singlemodelFalse,0.99624995300693,HistGradientBoostingClassifier,3,2,5,6
65,test_performance_singlemodelFalse,0.99624995300693,RandomForestClassifier,3,2,5,6
66,test_performance_singlemodelFalse,0.9974874371859297,DecisionTreeClassifier,3,2,5,6
67,test_performance_singlemodelFalse,0.9974968357999474,LinearDiscriminantAnalysis,3,2,5,6
68,test_performance_singlemodelFalse,0.9974968357999474,XGBClassifier,3,2,5,6
69,test_performance_singlemodelFalse,0.9987437185929648,GradientBoostingClassifier,3,2,5,6
70,test_performance_singlemodelFalse,0.9987437185929648,LGBMClassifier,3,2,5,6
71,test_performance_singlemodelFalse,0.9974968357999474,MLPClassifier,3,2,5,6
72,test_performance_singlemodelFalse,0.99624995300693,HistGradientBoostingClassifier,3,3,5,6
73,test_performance_singlemodelFalse,0.9949936715998947,RandomForestClassifier,3,3,5,6
74,test_performance_singlemodelFalse,0.9937467888068773,DecisionTreeClassifier,3,3,5,6
75,test_performance_singlemodelFalse,0.9974968357999474,LinearDiscriminantAnalysis,3,3,5,6
76,test_performance_singlemodelFalse,0.9974968357999474,XGBClassifier,3,3,5,6
77,test_performance_singlemodelFalse,0.99624995300693,GradientBoostingClassifier,3,3,5,6
78,test_performance_singlemodelFalse,0.9974968357999474,LGBMClassifier,3,3,5,6
79,test_performance_singlemodelFalse,0.9974968357999474,MLPClassifier,3,3,5,6
80,test_performance_singlemodelFalse,0.9974968357999474,HistGradientBoostingClassifier,3,4,5,6
81,test_performance_singlemodelFalse,0.9974968357999474,RandomForestClassifier,3,4,5,6
82,test_performance_singlemodelFalse,0.9962405543929123,DecisionTreeClassifier,3,4,5,6
83,test_performance_singlemodelFalse,0.9974968357999474,LinearDiscriminantAnalysis,3,4,5,6
84,test_performance_singlemodelFalse,0.9974968357999474,XGBClassifier,3,4,5,6
85,test_performance_singlemodelFalse,0.9974968357999474,GradientBoostingClassifier,3,4,5,6
86,test_performance_singlemodelFalse,0.9974968357999474,LGBMClassifier,3,4,5,6
87,test_performance_singlemodelFalse,0.9974968357999474,MLPClassifier,3,4,5,6
88,test_performance_singlemodelFalse,0.9962405543929123,HistGradientBoostingClassifier,3,5,5,6
89,test_performance_singlemodelFalse,0.9974968357999474,RandomForestClassifier,3,5,5,6
90,test_performance_singlemodelFalse,0.9937373901928596,DecisionTreeClassifier,3,5,5,6
91,test_performance_singlemodelFalse,0.9974968357999474,LinearDiscriminantAnalysis,3,5,5,6
92,test_performance_singlemodelFalse,0.9974968357999474,XGBClassifier,3,5,5,6
93,test_performance_singlemodelFalse,0.9974968357999474,GradientBoostingClassifier,3,5,5,6
94,test_performance_singlemodelFalse,0.9974968357999474,LGBMClassifier,3,5,5,6
95,test_performance_singlemodelFalse,0.9974968357999474,MLPClassifier,3,5,5,6
96,test_performance_singlemodelTrue,0.9900061404278249,HistGradientBoostingClassifier,3,0,10,6
