,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
0,test_performance_singlemodelFalse,False,0.610897435897436,HistGradientBoostingClassifier,10101,0,5,2,97,0.6140120415982485
0,test_performance_singlemodelFalse,False,0.6207215541165587,HistGradientBoostingClassifier,10101,0,5,2,80,0.627039627039627
0,test_performance_singlemodelFalse,False,0.6235738513721862,HistGradientBoostingClassifier,10101,0,5,2,5,0.5754662004662005
0,test_performance_singlemodelFalse,False,0.6284820031298904,HistGradientBoostingClassifier,10101,0,5,2,98,0.609997540580423
0,test_performance_singlemodelFalse,False,0.6519034772182254,HistGradientBoostingClassifier,10101,0,5,2,49,0.6113510619311083
0,test_performance_singlemodelFalse,False,0.7248884155001014,HistGradientBoostingClassifier,53,0,5,2,17,0.7706328036250163
0,test_performance_singlemodelFalse,False,0.7355964062699121,HistGradientBoostingClassifier,53,0,5,2,95,0.764234851233672
0,test_performance_singlemodelFalse,False,0.7485119047619048,HistGradientBoostingClassifier,53,0,5,2,59,0.7600960129232511
0,test_performance_singlemodelFalse,False,0.7612977699184595,HistGradientBoostingClassifier,53,0,5,2,12,0.7633984334645041
0,test_performance_singlemodelFalse,False,0.7658271281630593,HistGradientBoostingClassifier,53,0,5,2,46,0.7701936440521019
0,test_performance_singlemodelFalse,False,0.7907617709613846,HistGradientBoostingClassifier,7592,0,5,2,31,0.7930270187272085
0,test_performance_singlemodelFalse,False,0.7926156059281209,HistGradientBoostingClassifier,7592,0,5,2,97,0.793113933591481
0,test_performance_singlemodelFalse,False,0.795979514506804,HistGradientBoostingClassifier,7592,0,5,2,13,0.7969344473649995
0,test_performance_singlemodelFalse,False,0.796063364105938,HistGradientBoostingClassifier,7592,0,5,2,34,0.7935333379181202
0,test_performance_singlemodelFalse,False,0.800815851507922,HistGradientBoostingClassifier,7592,0,5,2,1,0.7941079340810572
0,test_performance_singlemodelFalse,False,0.8545515394912986,HistGradientBoostingClassifier,146818,0,5,2,8,0.865035348610434
