,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
0,test_performance_singlemodelFalse,False,0.796063364105938,HistGradientBoostingClassifier,7592,0,5,2,34,0.7935333379181202
1,test_performance_singlemodelFalse,False,0.7802275817304581,RandomForestClassifier,7592,0,5,2,34,0.7785079922601279
2,test_performance_singlemodelFalse,False,0.7533955327899868,DecisionTreeClassifier,7592,0,5,2,34,0.7647635449294199
3,test_performance_singlemodelFalse,False,0.6991824897309968,LinearDiscriminantAnalysis,7592,0,5,2,34,0.7056315668541812
4,test_performance_singlemodelFalse,False,0.778025445084024,GradientBoostingClassifier,7592,0,5,2,34,0.7779230335238226
5,test_performance_singlemodelFalse,False,0.5948634304300191,MLPClassifier,7592,0,5,2,34,0.5995774926846702
6,test_performance_singlemodelFalse,False,0.7954266773866385,EnsembleSelection,7592,0,5,2,34,0.7932308911334185
7,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,0,5,2,34,
8,test_performance_singlemodelFalse,False,0.7982724311296537,HistGradientBoostingClassifier,7592,1,5,2,34,0.7924736759885354
9,test_performance_singlemodelFalse,False,0.7943876581765963,RandomForestClassifier,7592,1,5,2,34,0.7929197957734885
10,test_performance_singlemodelFalse,False,0.7707465476529407,DecisionTreeClassifier,7592,1,5,2,34,0.7800639941445489
11,test_performance_singlemodelFalse,False,0.805825504663032,LinearDiscriminantAnalysis,7592,1,5,2,34,0.8018451233661129
12,test_performance_singlemodelFalse,False,0.8018859001955997,GradientBoostingClassifier,7592,1,5,2,34,0.7953211167151482
13,test_performance_singlemodelFalse,False,0.6217647460824652,MLPClassifier,7592,1,5,2,34,0.6194960849311745
14,test_performance_singlemodelFalse,False,0.807838890445856,EnsembleSelection,7592,1,5,2,34,0.8016744013492185
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,34,
16,test_performance_singlemodelFalse,False,0.7953383614023496,HistGradientBoostingClassifier,7592,0,5,3,34,0.7945033513280089
17,test_performance_singlemodelFalse,False,0.778701379234025,RandomForestClassifier,7592,0,5,3,34,0.7772748235255467
18,test_performance_singlemodelFalse,False,0.769537233878145,DecisionTreeClassifier,7592,0,5,3,34,0.7633779075138977
19,test_performance_singlemodelFalse,False,0.6991824897309968,LinearDiscriminantAnalysis,7592,0,5,3,34,0.7050208094976516
20,test_performance_singlemodelFalse,False,0.7788768623165294,GradientBoostingClassifier,7592,0,5,3,34,0.7790637689506057
21,test_performance_singlemodelFalse,False,0.593593522180061,MLPClassifier,7592,0,5,3,34,0.5952720304831937
22,test_performance_singlemodelFalse,False,0.7955109537392498,EnsembleSelection,7592,0,5,3,34,0.7948416428100429
23,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,0,5,3,34,
24,test_performance_singlemodelFalse,False,0.7997149317165122,HistGradientBoostingClassifier,7592,1,5,3,34,0.7952011195215934
