,single_model,repeated_ensemble,dataset_name,model,level,repeat,splits,iteration,seed,performance
0,False,False,146822,HistGradientBoostingClassifier,0,5,2,0,55,0.969724244239736
1,False,False,146822,HistGradientBoostingClassifier,0,5,2,1,55,0.9715099585254503
2,False,False,146822,HistGradientBoostingClassifier,0,5,2,2,55,0.9715099585254503
3,False,False,146822,HistGradientBoostingClassifier,0,5,2,3,55,0.9731519946502452
4,False,False,146822,HistGradientBoostingClassifier,0,5,2,4,55,0.9697506341060275
5,False,False,146822,HistGradientBoostingClassifier,0,5,2,5,55,0.969724244239736
6,False,False,146822,HistGradientBoostingClassifier,0,5,2,6,55,0.969724244239736
7,False,False,146822,HistGradientBoostingClassifier,0,5,2,7,55,0.9715099585254503
8,False,False,146822,HistGradientBoostingClassifier,0,5,2,8,55,0.9698092782533415
9,False,False,146822,HistGradientBoostingClassifier,0,5,2,9,55,0.9715099585254503
10,False,False,146822,RandomForestClassifier,0,5,2,0,55,0.9528156363699642
11,False,False,146822,RandomForestClassifier,0,5,2,1,55,0.9612568830482058
12,False,False,146822,RandomForestClassifier,0,5,2,2,55,0.9611982389008916
13,False,False,146822,RandomForestClassifier,0,5,2,3,55,0.9594711687624915
14,False,False,146822,RandomForestClassifier,0,5,2,4,55,0.9612568830482058
15,False,False,146822,RandomForestClassifier,0,5,2,5,55,0.9629575633203146
16,False,False,146822,RandomForestClassifier,0,5,2,6,55,0.9613155271955198
17,False,False,146822,RandomForestClassifier,0,5,2,7,55,0.9613155271955198
18,False,False,146822,RandomForestClassifier,0,5,2,8,55,0.9613155271955198
19,False,False,146822,RandomForestClassifier,0,5,2,9,55,0.9629575633203146
20,False,False,146822,DecisionTreeClassifier,0,5,2,0,55,0.9360434102381321
21,False,False,146822,DecisionTreeClassifier,0,5,2,1,55,0.923743349783441
22,False,False,146822,DecisionTreeClassifier,0,5,2,2,55,0.9512055502900078
23,False,False,146822,DecisionTreeClassifier,0,5,2,3,55,0.9562134863791935
24,False,False,146822,DecisionTreeClassifier,0,5,2,4,55,0.9544142388287142
25,False,False,146822,DecisionTreeClassifier,0,5,2,5,55,0.9579728107986163
26,False,False,146822,DecisionTreeClassifier,0,5,2,6,55,0.9564480629684498
27,False,False,146822,DecisionTreeClassifier,0,5,2,7,55,0.9596148469234109
28,False,False,146822,DecisionTreeClassifier,0,5,2,8,55,0.9562721305265074
29,False,False,146822,DecisionTreeClassifier,0,5,2,9,55,0.9613155271955199
30,False,False,146822,LinearDiscriminantAnalysis,0,5,2,0,55,0.8999737491049732
31,False,False,146822,LinearDiscriminantAnalysis,0,5,2,1,55,0.8983317129801786
32,False,False,146822,LinearDiscriminantAnalysis,0,5,2,2,55,0.8983317129801786
33,False,False,146822,LinearDiscriminantAnalysis,0,5,2,3,55,0.8983317129801786
34,False,False,146822,LinearDiscriminantAnalysis,0,5,2,4,55,0.8983317129801786
35,False,False,146822,LinearDiscriminantAnalysis,0,5,2,5,55,0.8966310327080697
36,False,False,146822,LinearDiscriminantAnalysis,0,5,2,6,55,0.8983317129801786
37,False,False,146822,LinearDiscriminantAnalysis,0,5,2,7,55,0.8966310327080697
38,False,False,146822,LinearDiscriminantAnalysis,0,5,2,8,55,0.8983317129801786
39,False,False,146822,LinearDiscriminantAnalysis,0,5,2,9,55,0.8966310327080697
40,False,False,146822,GradientBoostingClassifier,0,5,2,0,55,0.9510659622532638
41,False,False,146822,GradientBoostingClassifier,0,5,2,1,55,0.9594520753191799
42,False,False,146822,GradientBoostingClassifier,0,5,2,2,55,0.9628534358633976
43,False,False,146822,GradientBoostingClassifier,0,5,2,3,55,0.9645541161355063
44,False,False,146822,GradientBoostingClassifier,0,5,2,4,55,0.9594520753191799
45,False,False,146822,GradientBoostingClassifier,0,5,2,5,55,0.959510719466494
46,False,False,146822,GradientBoostingClassifier,0,5,2,6,55,0.959510719466494
47,False,False,146822,GradientBoostingClassifier,0,5,2,7,55,0.962813885159395
48,False,False,146822,GradientBoostingClassifier,0,5,2,8,55,0.9611718490346003
49,False,False,146822,GradientBoostingClassifier,0,5,2,9,55,0.9645145654315038
50,False,False,146822,MLPClassifier,0,5,2,0,55,0.9361965315396407
51,False,False,146822,MLPClassifier,0,5,2,1,55,0.9413082226586899
52,False,False,146822,MLPClassifier,0,5,2,2,55,0.9512680773993639
53,False,False,146822,MLPClassifier,0,5,2,3,55,0.9462833248776656
54,False,False,146822,MLPClassifier,0,5,2,4,55,0.9479840051497744
55,False,False,146822,MLPClassifier,0,5,2,5,55,0.9463419690249797
56,False,False,146822,MLPClassifier,0,5,2,6,55,0.9496846854218833
57,False,False,146822,MLPClassifier,0,5,2,7,55,0.9496846854218833
58,False,False,146822,MLPClassifier,0,5,2,8,55,0.9427743263415422
59,False,False,146822,MLPClassifier,0,5,2,9,55,0.9478763671578688
60,False,False,146822,HistGradientBoostingClassifier,1,5,2,10,55,0.9715325625037504
61,False,False,146822,HistGradientBoostingClassifier,1,5,2,11,55,0.9717348848119841
62,False,False,146822,HistGradientBoostingClassifier,1,5,2,12,55,0.9701514928345035
63,False,False,146822,HistGradientBoostingClassifier,1,5,2,13,55,0.9701514928345035
64,False,False,146822,HistGradientBoostingClassifier,1,5,2,14,55,0.9700342045398752
65,False,False,146822,HistGradientBoostingClassifier,1,5,2,15,55,0.9734355650840929
66,False,False,146822,HistGradientBoostingClassifier,1,5,2,16,55,0.968343174570489
67,False,False,146822,HistGradientBoostingClassifier,1,5,2,17,55,0.9734355650840929
68,False,False,146822,HistGradientBoostingClassifier,1,5,2,18,55,0.9699265665479696
69,False,False,146822,HistGradientBoostingClassifier,1,5,2,19,55,0.9699265665479696
70,False,False,146822,RandomForestClassifier,1,5,2,10,55,0.9714513143781361
71,False,False,146822,RandomForestClassifier,1,5,2,11,55,0.9730443566583394
72,False,False,146822,RandomForestClassifier,1,5,2,12,55,0.9731030008056535
73,False,False,146822,RandomForestClassifier,1,5,2,13,55,0.9731030008056535
74,False,False,146822,RandomForestClassifier,1,5,2,14,55,0.974852674922354
75,False,False,146822,RandomForestClassifier,1,5,2,15,55,0.9732106387975591
76,False,False,146822,RandomForestClassifier,1,5,2,16,55,0.9714609646808589
77,False,False,146822,RandomForestClassifier,1,5,2,17,55,0.9732692829448732
78,False,False,146822,RandomForestClassifier,1,5,2,18,55,0.9732692829448732
79,False,False,146822,RandomForestClassifier,1,5,2,19,55,0.9732692829448732
80,False,False,146822,DecisionTreeClassifier,1,5,2,10,55,0.9680139136649046
81,False,False,146822,DecisionTreeClassifier,1,5,2,11,55,0.9540759072095943
82,False,False,146822,DecisionTreeClassifier,1,5,2,12,55,0.9749016687669455
83,False,False,146822,DecisionTreeClassifier,1,5,2,13,55,0.9679913096866045
84,False,False,146822,DecisionTreeClassifier,1,5,2,14,55,0.9698582720979331
85,False,False,146822,DecisionTreeClassifier,1,5,2,15,55,0.9680499538339186
86,False,False,146822,DecisionTreeClassifier,1,5,2,16,55,0.9663002797172181
87,False,False,146822,DecisionTreeClassifier,1,5,2,17,55,0.9681085979812326
88,False,False,146822,DecisionTreeClassifier,1,5,2,18,55,0.9715686026727645
89,False,False,146822,DecisionTreeClassifier,1,5,2,19,55,0.9647658815843291
90,False,False,146822,LinearDiscriminantAnalysis,1,5,2,10,55,0.9733182767894648
91,False,False,146822,LinearDiscriminantAnalysis,1,5,2,11,55,0.5628285461962236
92,False,False,146822,LinearDiscriminantAnalysis,1,5,2,12,55,0.968000959989327
93,False,False,146822,LinearDiscriminantAnalysis,1,5,2,13,55,0.9663002797172181
94,False,False,146822,LinearDiscriminantAnalysis,1,5,2,14,55,0.9698092782533415
95,False,False,146822,LinearDiscriminantAnalysis,1,5,2,15,55,0.9698092782533415
96,False,False,146822,LinearDiscriminantAnalysis,1,5,2,16,55,0.968000959989327
97,False,False,146822,LinearDiscriminantAnalysis,1,5,2,17,55,0.968000959989327
98,False,False,146822,LinearDiscriminantAnalysis,1,5,2,18,55,0.9698092782533415
99,False,False,146822,LinearDiscriminantAnalysis,1,5,2,19,55,0.9715099585254503
100,False,False,146822,GradientBoostingClassifier,1,5,2,10,55,0.968248490254161
101,False,False,146822,GradientBoostingClassifier,1,5,2,11,55,0.9783616734584772
102,False,False,146822,GradientBoostingClassifier,1,5,2,12,55,0.9767196373336825
103,False,False,146822,GradientBoostingClassifier,1,5,2,13,55,0.9765533551944628
104,False,False,146822,GradientBoostingClassifier,1,5,2,14,55,0.9783030293111631
105,False,False,146822,GradientBoostingClassifier,1,5,2,15,55,0.9732692829448732
106,False,False,146822,GradientBoostingClassifier,1,5,2,16,55,0.9716272468200785
107,False,False,146822,GradientBoostingClassifier,1,5,2,17,55,0.974911319069668
108,False,False,146822,GradientBoostingClassifier,1,5,2,18,55,0.9750189570615736
109,False,False,146822,GradientBoostingClassifier,1,5,2,19,55,0.9750189570615736
110,False,False,146822,MLPClassifier,1,5,2,10,55,0.9698092782533415
111,False,False,146822,MLPClassifier,1,5,2,11,55,0.96976028440875
112,False,False,146822,MLPClassifier,1,5,2,12,55,0.9715099585254503
113,False,False,146822,MLPClassifier,1,5,2,13,55,0.9698679224006556
114,False,False,146822,MLPClassifier,1,5,2,14,55,0.9698679224006556
115,False,False,146822,MLPClassifier,1,5,2,15,55,0.9698679224006556
116,False,False,146822,MLPClassifier,1,5,2,16,55,0.9680596041366412
117,False,False,146822,MLPClassifier,1,5,2,17,55,0.9698679224006556
118,False,False,146822,MLPClassifier,1,5,2,18,55,0.9698679224006556
119,False,False,146822,MLPClassifier,1,5,2,19,55,0.9698679224006556
120,False,False,146822,HistGradientBoostingClassifier,0,5,3,0,55,0.9681085979812326
121,False,False,146822,HistGradientBoostingClassifier,0,5,3,1,55,0.9715099585254503
122,False,False,146822,HistGradientBoostingClassifier,0,5,3,2,55,0.974911319069668
123,False,False,146822,HistGradientBoostingClassifier,0,5,3,3,55,0.9715099585254503
124,False,False,146822,HistGradientBoostingClassifier,0,5,3,4,55,0.9715099585254503
125,False,False,146822,HistGradientBoostingClassifier,0,5,3,5,55,0.9715099585254503
126,False,False,146822,HistGradientBoostingClassifier,0,5,3,6,55,0.9698092782533415
127,False,False,146822,HistGradientBoostingClassifier,0,5,3,7,55,0.9698092782533415
128,False,False,146822,HistGradientBoostingClassifier,0,5,3,8,55,0.9698092782533415
129,False,False,146822,HistGradientBoostingClassifier,0,5,3,9,55,0.9715099585254503
130,False,False,146822,HistGradientBoostingClassifier,0,5,3,10,55,0.9732106387975591
131,False,False,146822,HistGradientBoostingClassifier,0,5,3,11,55,0.9698092782533415
132,False,False,146822,HistGradientBoostingClassifier,0,5,3,12,55,0.9698092782533415
133,False,False,146822,HistGradientBoostingClassifier,0,5,3,13,55,0.9698092782533415
134,False,False,146822,HistGradientBoostingClassifier,0,5,3,14,55,0.9715099585254503
135,False,False,146822,RandomForestClassifier,0,5,3,0,55,0.9562134863791932
136,False,False,146822,RandomForestClassifier,0,5,3,1,55,0.964573209578818
137,False,False,146822,RandomForestClassifier,0,5,3,2,55,0.9647168877397376
138,False,False,146822,RandomForestClassifier,0,5,3,3,55,0.964573209578818
139,False,False,146822,RandomForestClassifier,0,5,3,4,55,0.964573209578818
140,False,False,146822,RandomForestClassifier,0,5,3,5,55,0.9629311734540232
