,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,multikfold,seed,val_score
0,test_performance_singlemodelFalse,False,0.5874125874125874,HistGradientBoostingClassifier,10101,0,1,True,34,0.6378237617532945
0,test_performance_singlemodelFalse,False,0.603667553978113,HistGradientBoostingClassifier,10101,0,1,True,20,0.6211778639104221
0,test_performance_singlemodelFalse,False,0.6098540145985402,HistGradientBoostingClassifier,10101,0,1,True,6,0.6120994515011547
0,test_performance_singlemodelFalse,False,0.6382207832254085,HistGradientBoostingClassifier,10101,0,1,True,75,0.5955710955710956
0,test_performance_singlemodelFalse,False,0.6452554744525547,HistGradientBoostingClassifier,10101,0,1,True,78,0.5851977482678984
0,test_performance_singlemodelFalse,False,0.7232299340580084,HistGradientBoostingClassifier,53,0,1,True,28,0.741345337668867
0,test_performance_singlemodelFalse,False,0.7495824737204048,HistGradientBoostingClassifier,53,0,1,True,12,0.711780674073587
0,test_performance_singlemodelFalse,False,0.7635571980799457,HistGradientBoostingClassifier,53,0,1,True,95,0.7467767295597485
0,test_performance_singlemodelFalse,False,0.768027848974256,HistGradientBoostingClassifier,53,0,1,True,1,0.744796996203994
0,test_performance_singlemodelFalse,False,0.7916022213769246,HistGradientBoostingClassifier,7592,0,1,True,31,0.7907853002316051
0,test_performance_singlemodelFalse,False,0.7919969303030296,HistGradientBoostingClassifier,7592,0,1,True,27,0.7933492997469811
0,test_performance_singlemodelFalse,False,0.7938763704652687,HistGradientBoostingClassifier,7592,0,1,True,85,0.7925528345342743
0,test_performance_singlemodelFalse,False,0.7983868968445114,HistGradientBoostingClassifier,7592,0,1,True,49,0.7902802820613286
0,test_performance_singlemodelFalse,False,0.7997081086495221,HistGradientBoostingClassifier,7592,0,1,True,47,0.7969906069175131
0,test_performance_singlemodelFalse,False,0.8550200803212852,HistGradientBoostingClassifier,146818,0,1,True,8,0.8701548025353486
0,test_performance_singlemodelFalse,False,0.8576248313090418,HistGradientBoostingClassifier,146818,0,1,True,11,0.8566609049005338
0,test_performance_singlemodelFalse,False,0.8617253617253617,HistGradientBoostingClassifier,146818,0,1,True,68,0.8644290636523
0,test_performance_singlemodelFalse,False,0.8720477724100912,HistGradientBoostingClassifier,146818,0,1,True,95,0.8679501001078085
0,test_performance_singlemodelFalse,False,0.8906673901247966,HistGradientBoostingClassifier,146818,0,1,True,43,0.8707958707958707
0,test_performance_singlemodelFalse,False,0.9643844683950303,HistGradientBoostingClassifier,146822,0,1,True,16,0.9713137531156172
0,test_performance_singlemodelFalse,False,0.9758407710910451,HistGradientBoostingClassifier,146822,0,1,True,36,0.9675741211027139
0,test_performance_singlemodelFalse,False,0.9782094174668432,HistGradientBoostingClassifier,146822,0,1,True,76,0.9736923893040347
0,test_performance_singlemodelFalse,False,0.9838002213890682,HistGradientBoostingClassifier,146822,0,1,True,73,0.9684145604261083
0,test_performance_singlemodelFalse,False,0.9842731008032571,HistGradientBoostingClassifier,146822,0,1,True,28,0.9666393193506544
0,test_performance_singlemodelFalse,False,0.9915378816434226,HistGradientBoostingClassifier,3,0,1,True,57,0.9924420372534961
0,test_performance_singlemodelFalse,False,0.9936184491106596,HistGradientBoostingClassifier,3,0,1,True,7,0.9946248377507013
0,test_performance_singlemodelFalse,False,0.9937526631075018,HistGradientBoostingClassifier,3,0,1,True,84,0.9948835279771707
0,test_performance_singlemodelFalse,False,0.9949244466737727,HistGradientBoostingClassifier,3,0,1,True,93,0.9924292021871348
0,test_performance_singlemodelFalse,False,0.996113025151756,HistGradientBoostingClassifier,3,0,1,True,86,0.9898208775494844
1,test_performance_singlemodelFalse,False,0.5463286713286714,RandomForestClassifier,10101,0,1,True,34,0.6327029955608375
1,test_performance_singlemodelFalse,False,0.6095829636202307,RandomForestClassifier,10101,0,1,True,20,0.6157407407407407
1,test_performance_singlemodelFalse,False,0.6179562043795621,RandomForestClassifier,10101,0,1,True,6,0.6136962326789839
1,test_performance_singlemodelFalse,False,0.6316058394160584,RandomForestClassifier,10101,0,1,True,78,0.6127129041570438
1,test_performance_singlemodelFalse,False,0.6528677150786308,RandomForestClassifier,10101,0,1,True,75,0.5888694638694638
1,test_performance_singlemodelFalse,False,0.7217472051929319,RandomForestClassifier,53,0,1,True,28,0.7308104477222125
1,test_performance_singlemodelFalse,False,0.7449966031559769,RandomForestClassifier,53,0,1,True,1,0.7521194547476133
1,test_performance_singlemodelFalse,False,0.7551609426107643,RandomForestClassifier,53,0,1,True,95,0.7403558901790034
1,test_performance_singlemodelFalse,False,0.7561861430395913,RandomForestClassifier,53,0,1,True,12,0.7182478375611634
1,test_performance_singlemodelFalse,False,0.777726960499918,RandomForestClassifier,7592,0,1,True,27,0.7745214254896247
1,test_performance_singlemodelFalse,False,0.7783277432288562,RandomForestClassifier,7592,0,1,True,85,0.7756789450940551
1,test_performance_singlemodelFalse,False,0.7792575123602523,RandomForestClassifier,7592,0,1,True,31,0.77404065026881
1,test_performance_singlemodelFalse,False,0.7799088225252546,RandomForestClassifier,7592,0,1,True,49,0.7696718995081162
1,test_performance_singlemodelFalse,False,0.7820435505613033,RandomForestClassifier,7592,0,1,True,47,0.7760828385192029
1,test_performance_singlemodelFalse,False,0.8723548562126967,RandomForestClassifier,146818,0,1,True,43,0.8717116217116216
