,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,146606,HistGradientBoostingClassifier,0,5,0,90,0.7253334734813204
1,True,146606,HistGradientBoostingClassifier,0,5,1,90,0.7269612314528783
2,True,146606,HistGradientBoostingClassifier,0,5,2,90,0.7265022548080315
3,True,146606,HistGradientBoostingClassifier,0,5,3,90,0.7265637849027284
4,True,146606,HistGradientBoostingClassifier,0,5,4,90,0.726606885016269
5,True,146606,HistGradientBoostingClassifier,0,5,5,90,0.7272040965360811
6,True,146606,HistGradientBoostingClassifier,0,5,6,90,0.7271932689221519
7,True,146606,HistGradientBoostingClassifier,0,5,7,90,0.7281652300696682
8,True,146606,HistGradientBoostingClassifier,0,5,8,90,0.7282207704204893
9,True,146606,HistGradientBoostingClassifier,0,5,9,90,0.7273079655059664
10,True,146606,HistGradientBoostingClassifier,0,5,10,90,0.7276773964815002
11,True,146606,HistGradientBoostingClassifier,0,5,11,90,0.727393985439754
12,True,146606,HistGradientBoostingClassifier,0,5,12,90,0.7276022943082889
13,True,146606,HistGradientBoostingClassifier,0,5,13,90,0.7285693174228107
14,True,146606,HistGradientBoostingClassifier,0,5,14,90,0.7286595141512406
15,True,146606,HistGradientBoostingClassifier,0,5,15,90,0.7279985990009107
16,True,146606,HistGradientBoostingClassifier,0,5,16,90,0.7275228250308472
17,True,146606,HistGradientBoostingClassifier,0,5,17,90,0.7280667698986002
18,True,146606,HistGradientBoostingClassifier,0,5,18,90,0.7273137549239601
19,True,146606,HistGradientBoostingClassifier,0,5,19,90,0.728082625692171
20,True,146606,HistGradientBoostingClassifier,0,5,20,90,0.7272751120612968
21,True,146606,HistGradientBoostingClassifier,0,5,21,90,0.7281258259686527
22,True,146606,HistGradientBoostingClassifier,0,5,22,90,0.727231911784815
23,True,146606,HistGradientBoostingClassifier,0,5,23,90,0.7274960514767002
24,True,146606,HistGradientBoostingClassifier,0,5,24,90,0.7272683710953631
25,True,146606,RandomForestClassifier,0,5,0,90,0.7175072020159514
26,True,146606,RandomForestClassifier,0,5,1,90,0.7232541809714371
27,True,146606,RandomForestClassifier,0,5,2,90,0.7244870365315481
28,True,146606,RandomForestClassifier,0,5,3,90,0.7247791917980494
29,True,146606,RandomForestClassifier,0,5,4,90,0.7251667522659161
30,True,146606,RandomForestClassifier,0,5,5,90,0.7273082559784956
31,True,146606,RandomForestClassifier,0,5,6,90,0.7252509692667644
32,True,146606,RandomForestClassifier,0,5,7,90,0.7269077744912313
33,True,146606,RandomForestClassifier,0,5,8,90,0.7267512999446981
34,True,146606,RandomForestClassifier,0,5,9,90,0.7260820312050832
35,True,146606,RandomForestClassifier,0,5,10,90,0.7256397717551004
36,True,146606,RandomForestClassifier,0,5,11,90,0.7253044262284114
37,True,146606,RandomForestClassifier,0,5,12,90,0.7250440827119926
38,True,146606,RandomForestClassifier,0,5,13,90,0.7253769642303314
39,True,146606,RandomForestClassifier,0,5,14,90,0.7258419105864656
40,True,146606,RandomForestClassifier,0,5,15,90,0.7261089950688182
41,True,146606,RandomForestClassifier,0,5,16,90,0.7261147844868118
42,True,146606,RandomForestClassifier,0,5,17,90,0.7264292460402886
43,True,146606,RandomForestClassifier,0,5,18,90,0.7262852117310356
44,True,146606,RandomForestClassifier,0,5,19,90,0.7260699715869788
45,True,146606,RandomForestClassifier,0,5,20,90,0.7257828545164131
46,True,146606,RandomForestClassifier,0,5,21,90,0.7259835710340153
47,True,146606,RandomForestClassifier,0,5,22,90,0.7256760407560603
48,True,146606,RandomForestClassifier,0,5,23,90,0.7258494127907515
49,True,146606,RandomForestClassifier,0,5,24,90,0.7256441388593308
50,True,146606,DecisionTreeClassifier,0,5,0,90,0.6287478418391903
51,True,146606,DecisionTreeClassifier,0,5,1,90,0.6324870446247137
52,True,146606,DecisionTreeClassifier,0,5,2,90,0.6576264103392835
53,True,146606,DecisionTreeClassifier,0,5,3,90,0.6642330477527623
54,True,146606,DecisionTreeClassifier,0,5,4,90,0.6727947355640261
55,True,146606,DecisionTreeClassifier,0,5,5,90,0.678053610491403
56,True,146606,DecisionTreeClassifier,0,5,6,90,0.6806974413697227
57,True,146606,DecisionTreeClassifier,0,5,7,90,0.6832890973720409
58,True,146606,DecisionTreeClassifier,0,5,8,90,0.6824704556384144
59,True,146606,DecisionTreeClassifier,0,5,9,90,0.686704573532039
60,True,146606,DecisionTreeClassifier,0,5,10,90,0.6876130914726841
61,True,146606,DecisionTreeClassifier,0,5,11,90,0.6903818155222189
62,True,146606,DecisionTreeClassifier,0,5,12,90,0.6910233491434525
63,True,146606,DecisionTreeClassifier,0,5,13,90,0.6947621312446235
64,True,146606,DecisionTreeClassifier,0,5,14,90,0.6941835199829676
65,True,146606,DecisionTreeClassifier,0,5,15,90,0.6968781835538781
66,True,146606,DecisionTreeClassifier,0,5,16,90,0.6957111951438122
67,True,146606,DecisionTreeClassifier,0,5,17,90,0.6979984459519368
68,True,146606,DecisionTreeClassifier,0,5,18,90,0.6954815215199478
69,True,146606,DecisionTreeClassifier,0,5,19,90,0.6983638904424161
70,True,146606,DecisionTreeClassifier,0,5,20,90,0.6969227961278288
71,True,146606,DecisionTreeClassifier,0,5,21,90,0.6990295533161526
72,True,146606,DecisionTreeClassifier,0,5,22,90,0.6985208257384783
73,True,146606,DecisionTreeClassifier,0,5,23,90,0.7000386348496279
74,True,146606,DecisionTreeClassifier,0,5,24,90,0.6996416590653011
75,True,146606,LinearDiscriminantAnalysis,0,5,0,90,0.6374903137427842
76,True,146606,LinearDiscriminantAnalysis,0,5,1,90,0.6372821951838372
77,True,146606,LinearDiscriminantAnalysis,0,5,2,90,0.6368195225264652
78,True,146606,LinearDiscriminantAnalysis,0,5,3,90,0.636854178904074
79,True,146606,LinearDiscriminantAnalysis,0,5,4,90,0.6371286654277712
80,True,146606,LinearDiscriminantAnalysis,0,5,5,90,0.6366675152471033
81,True,146606,LinearDiscriminantAnalysis,0,5,6,90,0.6370468222886263
82,True,146606,LinearDiscriminantAnalysis,0,5,7,90,0.6370220419770065
83,True,146606,LinearDiscriminantAnalysis,0,5,8,90,0.6370854651512896
84,True,146606,LinearDiscriminantAnalysis,0,5,9,90,0.6370129271493695
85,True,146606,LinearDiscriminantAnalysis,0,5,10,90,0.6371036948065636
86,True,146606,LinearDiscriminantAnalysis,0,5,11,90,0.6371766134276596
87,True,146606,LinearDiscriminantAnalysis,0,5,12,90,0.6369400085282735
88,True,146606,LinearDiscriminantAnalysis,0,5,13,90,0.6371492689447485
89,True,146606,LinearDiscriminantAnalysis,0,5,14,90,0.6370559371162632
90,True,146606,LinearDiscriminantAnalysis,0,5,15,90,0.6371879118074117
91,True,146606,LinearDiscriminantAnalysis,0,5,16,90,0.6372741220507874
92,True,146606,LinearDiscriminantAnalysis,0,5,17,90,0.6370969538406298
93,True,146606,LinearDiscriminantAnalysis,0,5,18,90,0.6371581934627975
94,True,146606,LinearDiscriminantAnalysis,0,5,19,90,0.6371060686682668
95,True,146606,LinearDiscriminantAnalysis,0,5,20,90,0.6370513797024447
96,True,146606,LinearDiscriminantAnalysis,0,5,21,90,0.6370923964268114
97,True,146606,LinearDiscriminantAnalysis,0,5,22,90,0.6368444931476729
98,True,146606,LinearDiscriminantAnalysis,0,5,23,90,0.6370878390129928
99,True,146606,LinearDiscriminantAnalysis,0,5,24,90,0.6369558643218443
100,True,146606,XGBClassifier,0,5,0,90,0.7234937106287023
101,True,146606,XGBClassifier,0,5,1,90,0.7274110832537939
102,True,146606,XGBClassifier,0,5,2,90,0.7270430645757292
103,True,146606,XGBClassifier,0,5,3,90,0.7288823566625243
104,True,146606,XGBClassifier,0,5,4,90,0.7286729960831082
105,True,146606,XGBClassifier,0,5,5,90,0.7292838798443757
106,True,146606,XGBClassifier,0,5,6,90,0.7292730522304465
107,True,146606,XGBClassifier,0,5,7,90,0.7286628395608841
108,True,146606,XGBClassifier,0,5,8,90,0.7287706950158239
109,True,146606,XGBClassifier,0,5,9,90,0.728851306150794
110,True,146606,XGBClassifier,0,5,10,90,0.7286842944628604
111,True,146606,XGBClassifier,0,5,11,90,0.7283941424551804
112,True,146606,XGBClassifier,0,5,12,90,0.7279863490732184
113,True,146606,XGBClassifier,0,5,13,90,0.7284872839740777
114,True,146606,XGBClassifier,0,5,14,90,0.7286456516001971
115,True,146606,XGBClassifier,0,5,15,90,0.7285600122855858
116,True,146606,XGBClassifier,0,5,16,90,0.7289639093291402
117,True,146606,XGBClassifier,0,5,17,90,0.7287326230819247
118,True,146606,XGBClassifier,0,5,18,90,0.7281409205238714
119,True,146606,XGBClassifier,0,5,19,90,0.7290463233970494
120,True,146606,XGBClassifier,0,5,20,90,0.7294618994395323
121,True,146606,XGBClassifier,0,5,21,90,0.7294327520236821
122,True,146606,XGBClassifier,0,5,22,90,0.72948687006074
123,True,146606,XGBClassifier,0,5,23,90,0.7295167787149424
124,True,146606,XGBClassifier,0,5,24,90,0.7294163253013473
125,True,146606,GradientBoostingClassifier,0,5,0,90,0.7118829026306834
126,True,146606,GradientBoostingClassifier,0,5,1,90,0.7137455527153351
127,True,146606,GradientBoostingClassifier,0,5,2,90,0.7133245578577407
128,True,146606,GradientBoostingClassifier,0,5,3,90,0.7145172681110724
129,True,146606,GradientBoostingClassifier,0,5,4,90,0.7131198548550841
130,True,146606,GradientBoostingClassifier,0,5,5,90,0.7133869393374366
131,True,146606,GradientBoostingClassifier,0,5,6,90,0.7129789556458865
132,True,146606,GradientBoostingClassifier,0,5,7,90,0.71321850533574
133,True,146606,GradientBoostingClassifier,0,5,8,90,0.713590500482565
134,True,146606,GradientBoostingClassifier,0,5,9,90,0.7139844313134835
135,True,146606,GradientBoostingClassifier,0,5,10,90,0.7139269878667822
136,True,146606,GradientBoostingClassifier,0,5,11,90,0.71332731233862
137,True,146606,GradientBoostingClassifier,0,5,12,90,0.7134359290319119
138,True,146606,GradientBoostingClassifier,0,5,13,90,0.7131794818539007
139,True,146606,GradientBoostingClassifier,0,5,14,90,0.7134291880659782
140,True,146606,GradientBoostingClassifier,0,5,15,90,0.7137204819311864
141,True,146606,GradientBoostingClassifier,0,5,16,90,0.7138269150723631
142,True,146606,GradientBoostingClassifier,0,5,17,90,0.7133271220290319
143,True,146606,GradientBoostingClassifier,0,5,18,90,0.7136541139664361
144,True,146606,GradientBoostingClassifier,0,5,19,90,0.7140113951772185
145,True,146606,GradientBoostingClassifier,0,5,20,90,0.713754186760855
146,True,146606,GradientBoostingClassifier,0,5,21,90,0.7136408223441566
147,True,146606,GradientBoostingClassifier,0,5,22,90,0.7134496012733674
148,True,146606,GradientBoostingClassifier,0,5,23,90,0.7136408223441566
149,True,146606,GradientBoostingClassifier,0,5,24,90,0.7133245578577407
150,True,146606,LGBMClassifier,0,5,0,90,0.714994274085311
151,True,146606,LGBMClassifier,0,5,1,90,0.716940950861223
