,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,168335,HistGradientBoostingClassifier1,0,5,0,9,0.9275543336235244
1,True,168335,HistGradientBoostingClassifier1,0,5,1,9,0.9215139310514701
2,True,168335,HistGradientBoostingClassifier1,0,5,2,9,0.9279728702075589
3,True,168335,HistGradientBoostingClassifier1,0,5,3,9,0.9250511105917845
4,True,168335,HistGradientBoostingClassifier1,0,5,4,9,0.9278167076529111
5,True,168335,HistGradientBoostingClassifier1,0,5,5,9,0.9257572023820908
6,True,168335,HistGradientBoostingClassifier1,0,5,6,9,0.9276122671552002
7,True,168335,HistGradientBoostingClassifier1,0,5,7,9,0.9262664108318917
8,True,168335,HistGradientBoostingClassifier1,0,5,8,9,0.9281676551166571
9,True,168335,HistGradientBoostingClassifier1,0,5,9,9,0.9265392770183138
10,True,168335,HistGradientBoostingClassifier1,0,5,10,9,0.9279237556960729
11,True,168335,HistGradientBoostingClassifier1,0,5,11,9,0.9267029967301672
12,True,168335,HistGradientBoostingClassifier1,0,5,12,9,0.927878838047401
13,True,168335,HistGradientBoostingClassifier1,0,5,13,9,0.9270850093911582
14,True,168335,HistGradientBoostingClassifier1,0,5,14,9,0.9282940143370442
15,True,168335,HistGradientBoostingClassifier1,0,5,15,9,0.9272915483202762
16,True,168335,HistGradientBoostingClassifier1,0,5,16,9,0.9280736229564994
17,True,168335,HistGradientBoostingClassifier1,0,5,17,9,0.9272080083171539
18,True,168335,HistGradientBoostingClassifier1,0,5,18,9,0.9281827694310683
19,True,168335,HistGradientBoostingClassifier1,0,5,19,9,0.9274263012662916
20,True,168335,HistGradientBoostingClassifier1,0,5,20,9,0.9283250795342892
21,True,168335,HistGradientBoostingClassifier1,0,5,21,9,0.927938870010484
22,True,168335,HistGradientBoostingClassifier1,0,5,22,9,0.9282705062970047
23,True,168335,HistGradientBoostingClassifier1,0,5,23,9,0.9277323310813659
24,True,168335,HistGradientBoostingClassifier1,0,5,24,9,0.9281731138424556
25,True,168335,HistGradientBoostingClassifier2,0,5,0,9,0.8574663741088747
26,True,168335,HistGradientBoostingClassifier2,0,5,1,9,0.8502912622793055
27,True,168335,HistGradientBoostingClassifier2,0,5,2,9,0.8589620976926097
28,True,168335,HistGradientBoostingClassifier2,0,5,3,9,0.8545219430214837
29,True,168335,HistGradientBoostingClassifier2,0,5,4,9,0.8600879879299347
30,True,168335,HistGradientBoostingClassifier2,0,5,5,9,0.8570268532107692
31,True,168335,HistGradientBoostingClassifier2,0,5,6,9,0.859378535845237
32,True,168335,HistGradientBoostingClassifier2,0,5,7,9,0.8575339632291631
33,True,168335,HistGradientBoostingClassifier2,0,5,8,9,0.8595401571256833
34,True,168335,HistGradientBoostingClassifier2,0,5,9,9,0.858023023933316
35,True,168335,HistGradientBoostingClassifier2,0,5,10,9,0.8596568607574577
36,True,168335,HistGradientBoostingClassifier2,0,5,11,9,0.8580037127560907
37,True,168335,HistGradientBoostingClassifier2,0,5,12,9,0.8591463904446724
38,True,168335,HistGradientBoostingClassifier2,0,5,13,9,0.8579747459902528
39,True,168335,HistGradientBoostingClassifier2,0,5,14,9,0.8591153252474275
40,True,168335,HistGradientBoostingClassifier2,0,5,15,9,0.8583781682598761
41,True,168335,HistGradientBoostingClassifier2,0,5,16,9,0.859409601042482
42,True,168335,HistGradientBoostingClassifier2,0,5,17,9,0.8584423970857733
