,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,146818,RandomForestClassifierDefault,0,2,0,41,0.8870547945205479
0,True,146818,RandomForestClassifierDefault,0,2,0,43,0.8568909386869235
0,True,146818,RandomForestClassifierDefault,0,2,0,59,0.8684821184821185
0,True,146818,RandomForestClassifierDefault,0,2,0,86,0.8703629032258065
0,True,146818,RandomForestClassifierDefault,0,2,0,9,0.8419635459817729
0,True,146822,RandomForestClassifierDefault,0,2,0,18,0.9622316858089217
0,True,146822,RandomForestClassifierDefault,0,2,0,23,0.9612209117605722
0,True,146822,RandomForestClassifierDefault,0,2,0,36,0.966751338216446
0,True,146822,RandomForestClassifierDefault,0,2,0,50,0.9593980153880756
0,True,146822,RandomForestClassifierDefault,0,2,0,59,0.9655378365268009
0,True,3,RandomForestClassifierDefault,0,2,0,17,0.9770191052420165
0,True,3,RandomForestClassifierDefault,0,2,0,27,0.9770204680562872
0,True,3,RandomForestClassifierDefault,0,2,0,48,0.984951121694448
0,True,3,RandomForestClassifierDefault,0,2,0,81,0.9963680387409202
0,True,3,RandomForestClassifierDefault,0,2,0,90,0.9849489507591456
0,True,53,RandomForestClassifierDefault,0,2,0,18,0.7388059701492538
0,True,53,RandomForestClassifierDefault,0,2,0,45,0.7073033126293996
0,True,53,RandomForestClassifierDefault,0,2,0,51,0.7714421924376157
0,True,53,RandomForestClassifierDefault,0,2,0,71,0.7520424836601307
0,True,53,RandomForestClassifierDefault,0,2,0,76,0.7265508542598326
0,True,7592,RandomForestClassifierDefault,0,2,0,33,0.7761417480882205
0,True,7592,RandomForestClassifierDefault,0,2,0,41,0.7728630914709346
0,True,7592,RandomForestClassifierDefault,0,2,0,48,0.7691567400420343
0,True,7592,RandomForestClassifierDefault,0,2,0,83,0.7698776160182484
0,True,7592,RandomForestClassifierDefault,0,2,0,97,0.7750369653935627
1,True,146818,RandomForestClassifierDefault,0,2,1,41,0.8852054794520547
1,True,146818,RandomForestClassifierDefault,0,2,1,43,0.8549240368963646
1,True,146818,RandomForestClassifierDefault,0,2,1,59,0.8718263718263719
1,True,146818,RandomForestClassifierDefault,0,2,1,86,0.8748655913978494
1,True,146818,RandomForestClassifierDefault,0,2,1,9,0.8419635459817729
1,True,146822,RandomForestClassifierDefault,0,2,1,18,0.9517357078332689
1,True,146822,RandomForestClassifierDefault,0,2,1,23,0.9541053268942064
1,True,146822,RandomForestClassifierDefault,0,2,1,36,0.9613196003038897
1,True,146822,RandomForestClassifierDefault,0,2,1,50,0.9524770565624853
1,True,146822,RandomForestClassifierDefault,0,2,1,59,0.9621648206537851
1,True,3,RandomForestClassifierDefault,0,2,1,17,0.9773297850974091
1,True,3,RandomForestClassifierDefault,0,2,1,27,0.9834637670253593
1,True,3,RandomForestClassifierDefault,0,2,1,48,0.987510966286502
1,True,3,RandomForestClassifierDefault,0,2,1,81,0.9903147699757869
1,True,3,RandomForestClassifierDefault,0,2,1,90,0.9827889336799407
1,True,53,RandomForestClassifierDefault,0,2,1,18,0.7388059701492538
1,True,53,RandomForestClassifierDefault,0,2,1,45,0.7436723602484472
1,True,53,RandomForestClassifierDefault,0,2,1,51,0.7627428431326764
1,True,53,RandomForestClassifierDefault,0,2,1,71,0.7360294117647059
1,True,53,RandomForestClassifierDefault,0,2,1,76,0.7432175209264993
1,True,7592,RandomForestClassifierDefault,0,2,1,33,0.7563798375810011
1,True,7592,RandomForestClassifierDefault,0,2,1,41,0.7602128922885318
1,True,7592,RandomForestClassifierDefault,0,2,1,48,0.7554933926851135
1,True,7592,RandomForestClassifierDefault,0,2,1,83,0.755836769893123
1,True,7592,RandomForestClassifierDefault,0,2,1,97,0.7567420461310297
10,True,146818,RandomForestClassifierAutoSklearn,0,2,0,41,0.8752054794520547
10,True,146818,RandomForestClassifierAutoSklearn,0,2,0,43,0.8817824199674444
10,True,146818,RandomForestClassifierAutoSklearn,0,2,0,59,0.855036855036855
10,True,146818,RandomForestClassifierAutoSklearn,0,2,0,86,0.8891129032258065
10,True,146818,RandomForestClassifierAutoSklearn,0,2,0,9,0.8321596244131455
10,True,146822,RandomForestClassifierAutoSklearn,0,2,0,18,0.9657805308211812
10,True,146822,RandomForestClassifierAutoSklearn,0,2,0,23,0.9547504952936269
10,True,146822,RandomForestClassifierAutoSklearn,0,2,0,36,0.9655537577349781
10,True,146822,RandomForestClassifierAutoSklearn,0,2,0,50,0.9541263664494464
10,True,146822,RandomForestClassifierAutoSklearn,0,2,0,59,0.9658146323239236
10,True,3,RandomForestClassifierAutoSklearn,0,2,0,17,0.9896596957220325
10,True,3,RandomForestClassifierAutoSklearn,0,2,0,27,0.9936288158125768
10,True,3,RandomForestClassifierAutoSklearn,0,2,0,48,0.9936990850983832
10,True,3,RandomForestClassifierAutoSklearn,0,2,0,81,0.9975786924939467
10,True,3,RandomForestClassifierAutoSklearn,0,2,0,90,0.992822966507177
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,18,0.7130831810336075
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,45,0.7196247412008281
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,51,0.7708395600803251
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,71,0.760375816993464
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,76,0.7309368191721133
10,True,7592,RandomForestClassifierAutoSklearn,0,2,0,33,0.7746586290760135
10,True,7592,RandomForestClassifierAutoSklearn,0,2,0,41,0.7717480119155016
10,True,7592,RandomForestClassifierAutoSklearn,0,2,0,48,0.7724700114287348
10,True,7592,RandomForestClassifierAutoSklearn,0,2,0,83,0.7697927408262701
10,True,7592,RandomForestClassifierAutoSklearn,0,2,0,97,0.7719662583153579
100,True,146818,RandomForestClassifier1,1,2,10,41,0.8802054794520549
100,True,146818,RandomForestClassifier1,1,2,10,43,0.8620455778621812
100,True,146818,RandomForestClassifier1,1,2,10,59,0.8803576303576304
100,True,146818,RandomForestClassifier1,1,2,10,86,0.8551075268817204
100,True,146818,RandomForestClassifier1,1,2,10,9,0.818075117370892
100,True,146822,RandomForestClassifier1,1,2,10,18,0.960446509226997
100,True,146822,RandomForestClassifier1,1,2,10,23,0.9606934600604127
100,True,146822,RandomForestClassifier1,1,2,10,36,0.9645063295410391
100,True,146822,RandomForestClassifier1,1,2,10,50,0.9718564541259528
100,True,146822,RandomForestClassifier1,1,2,10,59,0.9687908228001142
100,True,3,RandomForestClassifier1,1,2,10,17,0.9910687387025507
100,True,3,RandomForestClassifier1,1,2,10,27,0.9937009305942258
100,True,3,RandomForestClassifier1,1,2,10,48,0.9912238375736308
100,True,3,RandomForestClassifier1,1,2,10,81,0.9974940094594086
100,True,3,RandomForestClassifier1,1,2,10,90,0.9988038277511961
100,True,53,RandomForestClassifier1,1,2,10,18,0.7410603233830846
100,True,53,RandomForestClassifier1,1,2,10,45,0.752481884057971
100,True,53,RandomForestClassifier1,1,2,10,51,0.8241891607901741
100,True,53,RandomForestClassifier1,1,2,10,71,0.734045284780579
100,True,53,RandomForestClassifier1,1,2,10,76,0.7316706799678936
100,True,7592,RandomForestClassifier1,1,2,10,33,0.7801383325509259
100,True,7592,RandomForestClassifier1,1,2,10,41,0.7737565809257216
100,True,7592,RandomForestClassifier1,1,2,10,48,0.7712114604919099
100,True,7592,RandomForestClassifier1,1,2,10,83,0.7708216812204185
100,True,7592,RandomForestClassifier1,1,2,10,97,0.7697396315040165
101,True,146818,RandomForestClassifier1,1,2,11,41,0.8802054794520549
101,True,146818,RandomForestClassifier1,1,2,11,43,0.8511937059142702
101,True,146818,RandomForestClassifier1,1,2,11,59,0.8735326235326235
101,True,146818,RandomForestClassifier1,1,2,11,86,0.875739247311828
101,True,146818,RandomForestClassifier1,1,2,11,9,0.8278790389395194
101,True,146822,RandomForestClassifier1,1,2,11,18,0.953456359960425
101,True,146822,RandomForestClassifier1,1,2,11,23,0.9540489417879874
101,True,146822,RandomForestClassifier1,1,2,11,36,0.9589404668323193
101,True,146822,RandomForestClassifier1,1,2,11,50,0.9632663945631075
101,True,146822,RandomForestClassifier1,1,2,11,59,0.9606559021651935
101,True,3,RandomForestClassifier1,1,2,11,17,0.9910687387025507
101,True,3,RandomForestClassifier1,1,2,11,27,0.9937009305942258
101,True,3,RandomForestClassifier1,1,2,11,48,0.9912238375736308
101,True,3,RandomForestClassifier1,1,2,11,81,0.9950727019533554
101,True,3,RandomForestClassifier1,1,2,11,90,0.9964114832535885
101,True,53,RandomForestClassifier1,1,2,11,18,0.7618936567164178
101,True,53,RandomForestClassifier1,1,2,11,45,0.7267675983436853
101,True,53,RandomForestClassifier1,1,2,11,51,0.8171412615389404
101,True,53,RandomForestClassifier1,1,2,11,71,0.6993230625583567
101,True,53,RandomForestClassifier1,1,2,11,76,0.7479669762641898
101,True,7592,RandomForestClassifier1,1,2,11,33,0.764519945538596
