,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,53,RandomForestClassifierDefault,0,2,0,51,0.7714421924376157
1,True,53,RandomForestClassifierDefault,0,2,1,51,0.7627428431326764
2,True,53,RandomForestClassifierDefault,0,2,2,51,0.7963497641619577
3,True,53,RandomForestClassifierDefault,0,2,3,51,0.7848147153598282
4,True,53,RandomForestClassifierDefault,0,2,4,51,0.7807108999206089
5,True,53,RandomForestClassifierDefault,0,2,5,51,0.7800454163358707
6,True,53,RandomForestClassifierDefault,0,2,6,51,0.7858129407369355
7,True,53,RandomForestClassifierDefault,0,2,7,51,0.7854801989445663
8,True,53,RandomForestClassifierDefault,0,2,8,51,0.7807108999206089
9,True,53,RandomForestClassifierDefault,0,2,9,51,0.790914981553262
10,True,53,RandomForestClassifierAutoSklearn,0,2,0,51,0.7708395600803251
11,True,53,RandomForestClassifierAutoSklearn,0,2,1,51,0.8004535796011768
12,True,53,RandomForestClassifierAutoSklearn,0,2,2,51,0.7756088591042823
13,True,53,RandomForestClassifierAutoSklearn,0,2,3,51,0.7854801989445663
14,True,53,RandomForestClassifierAutoSklearn,0,2,4,51,0.7752761173119133
15,True,53,RandomForestClassifierAutoSklearn,0,2,5,51,0.7902494979685237
16,True,53,RandomForestClassifierAutoSklearn,0,2,6,51,0.7701740764955868
17,True,53,RandomForestClassifierAutoSklearn,0,2,7,51,0.7800454163358707
18,True,53,RandomForestClassifierAutoSklearn,0,2,8,51,0.7803781581282397
19,True,53,RandomForestClassifierAutoSklearn,0,2,9,51,0.7749433755195442
20,True,53,RandomForestClassifierAutoGluon,0,2,0,51,0.7810436417129781
21,True,53,RandomForestClassifierAutoGluon,0,2,1,51,0.7841492317750899
22,True,53,RandomForestClassifierAutoGluon,0,2,2,51,0.7803781581282397
23,True,53,RandomForestClassifierAutoGluon,0,2,3,51,0.7800454163358707
24,True,53,RandomForestClassifierAutoGluon,0,2,4,51,0.7749433755195442
25,True,53,RandomForestClassifierAutoGluon,0,2,5,51,0.7797126745435016
26,True,53,RandomForestClassifierAutoGluon,0,2,6,51,0.7803781581282397
27,True,53,RandomForestClassifierAutoGluon,0,2,7,51,0.7746106337271751
28,True,53,RandomForestClassifierAutoGluon,0,2,8,51,0.7803781581282397
29,True,53,RandomForestClassifierAutoGluon,0,2,9,51,0.7695085929108486
30,True,53,RandomForestClassifier1,0,2,0,51,0.8017845467706534
31,True,53,RandomForestClassifier1,0,2,1,51,0.8110409953455067
32,True,53,RandomForestClassifier1,0,2,2,51,0.7716062283036783
33,True,53,RandomForestClassifier1,0,2,3,51,0.7811448263515932
34,True,53,RandomForestClassifier1,0,2,4,51,0.7851474571521972
35,True,53,RandomForestClassifier1,0,2,5,51,0.7902494979685237
36,True,53,RandomForestClassifier1,0,2,6,51,0.7912477233456311
37,True,53,RandomForestClassifier1,0,2,7,51,0.7905822397608928
38,True,53,RandomForestClassifier1,0,2,8,51,0.8024500303553915
39,True,53,RandomForestClassifier1,0,2,9,51,0.7807108999206089
40,True,53,RandomForestClassifier2,0,2,0,51,0.7922459487227385
41,True,53,RandomForestClassifier2,0,2,1,51,0.7739451501424368
42,True,53,RandomForestClassifier2,0,2,2,51,0.7912477233456311
43,True,53,RandomForestClassifier2,0,2,3,51,0.7800454163358707
44,True,53,RandomForestClassifier2,0,2,4,51,0.790914981553262
45,True,53,RandomForestClassifier2,0,2,5,51,0.8062211040022416
46,True,53,RandomForestClassifier2,0,2,6,51,0.7963497641619577
47,True,53,RandomForestClassifier2,0,2,7,51,0.7963497641619577
48,True,53,RandomForestClassifier2,0,2,8,51,0.7861456825293046
49,True,53,RandomForestClassifier2,0,2,9,51,0.7963497641619577
50,True,53,RandomForestClassifier3,0,2,0,51,0.7756088591042823
51,True,53,RandomForestClassifier3,0,2,1,51,0.7753267096312209
52,True,53,RandomForestClassifier3,0,2,2,51,0.7724910101340308
53,True,53,RandomForestClassifier3,0,2,3,51,0.7708901523996325
54,True,53,RandomForestClassifier3,0,2,4,51,0.7610188125593487
55,True,53,RandomForestClassifier3,0,2,5,51,0.7763249350083282
56,True,53,RandomForestClassifier3,0,2,6,51,0.7926292828344152
57,True,53,RandomForestClassifier3,0,2,7,51,0.791963799249677
58,True,53,RandomForestClassifier3,0,2,8,51,0.7773231603854356
59,True,53,RandomForestClassifier3,0,2,9,51,0.7766576768006974
60,True,53,RandomForestClassifier4,0,2,0,51,0.7698413347032177
61,True,53,RandomForestClassifier4,0,2,1,51,0.7746612260464826
62,True,53,RandomForestClassifier4,0,2,2,51,0.7926292828344152
63,True,53,RandomForestClassifier4,0,2,3,51,0.7865290166409813
64,True,53,RandomForestClassifier4,0,2,4,51,0.7868111661140428
65,True,53,RandomForestClassifier4,0,2,5,51,0.7963497641619577
66,True,53,RandomForestClassifier4,0,2,6,51,0.7915804651380003
67,True,53,RandomForestClassifier4,0,2,7,51,0.8017845467706534
68,True,53,RandomForestClassifier4,0,2,8,51,0.7966825059543269
69,True,53,RandomForestClassifier4,0,2,9,51,0.7912477233456311
70,True,53,RandomForestClassifierDefault,1,2,10,51,0.8282929762293934
71,True,53,RandomForestClassifierDefault,1,2,11,51,0.7997880960164386
72,True,53,RandomForestClassifierDefault,1,2,12,51,0.8187543781814784
73,True,53,RandomForestClassifierDefault,1,2,13,51,0.8007863213935459
74,True,53,RandomForestClassifierDefault,1,2,14,51,0.8194198617662167
75,True,53,RandomForestClassifierDefault,1,2,15,51,0.8014518049782842
76,True,53,RandomForestClassifierDefault,1,2,16,51,0.8133195955727829
77,True,53,RandomForestClassifierDefault,1,2,17,51,0.8119886284033064
78,True,53,RandomForestClassifierDefault,1,2,18,51,0.807552071171718
79,True,53,RandomForestClassifierDefault,1,2,19,51,0.8011190631859151
80,True,53,RandomForestClassifierAutoSklearn,1,2,10,51,0.833727758838089
81,True,53,RandomForestClassifierAutoSklearn,1,2,11,51,0.8106576612338299
82,True,53,RandomForestClassifierAutoSklearn,1,2,12,51,0.8147517473808745
83,True,53,RandomForestClassifierAutoSklearn,1,2,13,51,0.8035494403711141
84,True,53,RandomForestClassifierAutoSklearn,1,2,14,51,0.7889088015068727
85,True,53,RandomForestClassifierAutoSklearn,1,2,15,51,0.7984473995547875
86,True,53,RandomForestClassifierAutoSklearn,1,2,16,51,0.8126541119880446
87,True,53,RandomForestClassifierAutoSklearn,1,2,17,51,0.8017845467706534
88,True,53,RandomForestClassifierAutoSklearn,1,2,18,51,0.797347989539065
89,True,53,RandomForestClassifierAutoSklearn,1,2,19,51,0.7936781005308301
90,True,53,RandomForestClassifierAutoGluon,1,2,10,51,0.8017845467706534
91,True,53,RandomForestClassifierAutoGluon,1,2,11,51,0.7892512725914164
92,True,53,RandomForestClassifierAutoGluon,1,2,12,51,0.8116558866109372
93,True,53,RandomForestClassifierAutoGluon,1,2,13,51,0.8058883622098725
94,True,53,RandomForestClassifierAutoGluon,1,2,14,51,0.8170906692196329
95,True,53,RandomForestClassifierAutoGluon,1,2,15,51,0.8113231448185682
96,True,53,RandomForestClassifierAutoGluon,1,2,16,51,0.8167579274272638
97,True,53,RandomForestClassifierAutoGluon,1,2,17,51,0.8218599682435903
98,True,53,RandomForestClassifierAutoGluon,1,2,18,51,0.8170906692196329
99,True,53,RandomForestClassifierAutoGluon,1,2,19,51,0.8221927100359595
100,True,53,RandomForestClassifier1,1,2,10,51,0.8241891607901741
101,True,53,RandomForestClassifier1,1,2,11,51,0.8171412615389404
102,True,53,RandomForestClassifier1,1,2,12,51,0.7999976649698781
103,True,53,RandomForestClassifier1,1,2,13,51,0.818472228708417
104,True,53,RandomForestClassifier1,1,2,14,51,0.8050997057862046
105,True,53,RandomForestClassifier1,1,2,15,51,0.8095362630177929
106,True,53,RandomForestClassifier1,1,2,16,51,0.8088201871137471
107,True,53,RandomForestClassifier1,1,2,17,51,0.8123213701956755
108,True,53,RandomForestClassifier1,1,2,18,51,0.8034988480518065
109,True,53,RandomForestClassifier1,1,2,19,51,0.8082681470757639
110,True,53,RandomForestClassifier2,1,2,10,51,0.797347989539065
111,True,53,RandomForestClassifier2,1,2,11,51,0.7749433755195442
112,True,53,RandomForestClassifier2,1,2,12,51,0.7928485810800293
113,True,53,RandomForestClassifier2,1,2,13,51,0.7912477233456311
114,True,53,RandomForestClassifier2,1,2,14,51,0.7670056352060275
115,True,53,RandomForestClassifier2,1,2,15,51,0.7714421924376157
116,True,53,RandomForestClassifier2,1,2,16,51,0.7666728934136584
117,True,53,RandomForestClassifier2,1,2,17,51,0.7765442332539423
118,True,53,RandomForestClassifier2,1,2,18,51,0.7772097168386806
119,True,53,RandomForestClassifier2,1,2,19,51,0.7717749342299849
120,True,53,RandomForestClassifier3,1,2,10,51,0.7925158392876602
121,True,53,RandomForestClassifier3,1,2,11,51,0.7758664907610642
122,True,53,RandomForestClassifier3,1,2,12,51,0.7829649823316054
123,True,53,RandomForestClassifier3,1,2,13,51,0.781966756954498
124,True,53,RandomForestClassifier3,1,2,14,51,0.7778123491959713
125,True,53,RandomForestClassifier3,1,2,15,51,0.7713793412101683
126,True,53,RandomForestClassifier3,1,2,16,51,0.7720448247949064
127,True,53,RandomForestClassifier3,1,2,17,51,0.7720448247949064
128,True,53,RandomForestClassifier3,1,2,18,51,0.7774796074036022
129,True,53,RandomForestClassifier3,1,2,19,51,0.7825816482199287
130,True,53,RandomForestClassifier4,1,2,10,51,0.7925786905151077
131,True,53,RandomForestClassifier4,1,2,11,51,0.7688431093261102
132,True,53,RandomForestClassifier4,1,2,12,51,0.7673383769983966
133,True,53,RandomForestClassifier4,1,2,13,51,0.7612381108049627
134,True,53,RandomForestClassifier4,1,2,14,51,0.7676711187907657
135,True,53,RandomForestClassifier4,1,2,15,51,0.7816462740702689
136,True,53,RandomForestClassifier4,1,2,16,51,0.7670056352060275
137,True,53,RandomForestClassifier4,1,2,17,51,0.7663401516212892
138,True,53,RandomForestClassifier4,1,2,18,51,0.7625690779744392
139,True,53,RandomForestClassifier4,1,2,19,51,0.7826444994473761
140,True,53,RandomForestClassifierDefault,2,2,20,51,0.8088830383411946
141,True,53,RandomForestClassifierDefault,2,2,21,51,0.7912477233456311
142,True,53,RandomForestClassifierDefault,2,2,22,51,0.7929114323074767
143,True,53,RandomForestClassifierDefault,2,2,23,51,0.7976807313314341
144,True,53,RandomForestClassifierDefault,2,2,24,51,0.7827073506748237
145,True,53,RandomForestClassifierDefault,2,2,25,51,0.7925786905151077
146,True,53,RandomForestClassifierDefault,2,2,26,51,0.7929114323074767
147,True,53,RandomForestClassifierDefault,2,2,27,51,0.7925786905151077
148,True,53,RandomForestClassifierDefault,2,2,28,51,0.7932441740998458
149,True,53,RandomForestClassifierDefault,2,2,29,51,0.7932441740998458
150,True,53,RandomForestClassifierAutoSklearn,2,2,20,51,0.818804970500786
151,True,53,RandomForestClassifierAutoSklearn,2,2,21,51,0.7800960086551783
152,True,53,RandomForestClassifierAutoSklearn,2,2,22,51,0.8133701878920904
153,True,53,RandomForestClassifierAutoSklearn,2,2,23,51,0.80216788088233
154,True,53,RandomForestClassifierAutoSklearn,2,2,24,51,0.7926292828344152
155,True,53,RandomForestClassifierAutoSklearn,2,2,25,51,0.7922965410420462
156,True,53,RandomForestClassifierAutoSklearn,2,2,26,51,0.7980640654431108
157,True,53,RandomForestClassifierAutoSklearn,2,2,27,51,0.8028333644670682
158,True,53,RandomForestClassifierAutoSklearn,2,2,28,51,0.7983968072354799
159,True,53,RandomForestClassifierAutoSklearn,2,2,29,51,0.7977313236507417
160,True,53,RandomForestClassifierAutoGluon,2,2,20,51,0.8021172885630224
161,True,53,RandomForestClassifierAutoGluon,2,2,21,51,0.784481973567459
162,True,53,RandomForestClassifierAutoGluon,2,2,22,51,0.8068865875869798
