,hue,performance,model,dataset_name,level,repeat,seed,val_score,skip
0,test_performance_singlemodelTrue,0.7449018003273322,RandomForestClassifier,53,0,1,23,0.7473142798270845,True
0,test_performance_singlemodelTrue,0.7558174773253674,RandomForestClassifier,53,0,1,55,0.7375,True
0,test_performance_singlemodelTrue,0.7577521086087584,RandomForestClassifier,53,0,1,57,0.7460464959745121,True
0,test_performance_singlemodelTrue,0.76579436122275,RandomForestClassifier,53,0,1,75,0.7590479851500532,True
0,test_performance_singlemodelTrue,0.7703128807969429,RandomForestClassifier,7592,0,1,32,0.7770750070997505,True
0,test_performance_singlemodelTrue,0.7717330362820922,RandomForestClassifier,7592,0,1,70,0.7744757328655034,True
0,test_performance_singlemodelTrue,0.7748378893809493,RandomForestClassifier,7592,0,1,52,0.7747557913105945,True
0,test_performance_singlemodelTrue,0.7752761173119133,RandomForestClassifier,53,0,1,51,0.7299654166419901,True
0,test_performance_singlemodelTrue,0.7755650300842447,RandomForestClassifier,7592,0,1,95,0.7743573879124157,True
0,test_performance_singlemodelTrue,0.7785348191328951,RandomForestClassifier,7592,0,1,49,0.7737659018062606,True
0,test_performance_singlemodelTrue,0.8543695887445888,RandomForestClassifier,146818,0,1,25,0.8698909256173307,True
0,test_performance_singlemodelTrue,0.8721088435374149,RandomForestClassifier,146818,0,1,15,0.8526391409558378,True
0,test_performance_singlemodelTrue,0.8826027397260274,RandomForestClassifier,146818,0,1,17,0.8538023617528918,True
0,test_performance_singlemodelTrue,0.8866246498599439,RandomForestClassifier,146818,0,1,71,0.8742888534360795,True
0,test_performance_singlemodelTrue,0.9051001082251082,RandomForestClassifier,146818,0,1,61,0.8585744584153916,True
0,test_performance_singlemodelTrue,0.9464865070050807,RandomForestClassifier,146822,0,1,91,0.9666787767729532,True
0,test_performance_singlemodelTrue,0.9512993553585817,RandomForestClassifier,146822,0,1,31,0.9705918518602549,True
0,test_performance_singlemodelTrue,0.9514430578432923,RandomForestClassifier,146822,0,1,43,0.9620605325695549,True
0,test_performance_singlemodelTrue,0.9540982779911429,RandomForestClassifier,146822,0,1,54,0.9738463800574222,True
0,test_performance_singlemodelTrue,0.9656990372727888,RandomForestClassifier,146822,0,1,85,0.9590592268161987,True
0,test_performance_singlemodelTrue,0.9924268070967337,RandomForestClassifier,3,0,1,21,0.991022741550446,True
