,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
0,True,146822,RandomForestClassifier,0,1,0,31,0.9774159663865546,True
1,True,146822,RandomForestClassifier,0,1,1,31,0.9671218487394958,True
2,True,146822,RandomForestClassifier,0,1,2,31,0.9600178427535397,True
3,True,146822,RandomForestClassifier,0,1,3,31,0.9583371704846322,True
4,True,146822,RandomForestClassifier,0,1,4,31,0.9512993553585817,True
5,True,146822,DecisionTreeClassifier,0,1,0,31,0.9668455738459768,True
6,True,146822,DecisionTreeClassifier,0,1,1,31,0.9494085990560608,True
7,True,146822,DecisionTreeClassifier,0,1,2,31,0.9425808679636237,True
8,True,146822,DecisionTreeClassifier,0,1,3,31,0.9358465075527928,True
9,True,146822,DecisionTreeClassifier,0,1,4,31,0.9202886177301971,True
10,True,146822,XGBClassifier,0,1,0,31,0.9842436974789915,True
11,True,146822,XGBClassifier,0,1,1,31,0.9705882352941178,True
12,True,146822,XGBClassifier,0,1,2,31,0.9686312881316911,True
13,True,146822,XGBClassifier,0,1,3,31,0.9687363301484978,True
14,True,146822,XGBClassifier,0,1,4,31,0.9566448268805238,True
15,True,146822,GradientBoostingClassifier,0,1,0,31,0.9772330621746416,True
16,True,146822,GradientBoostingClassifier,0,1,1,31,0.9650481882250617,True
17,True,146822,GradientBoostingClassifier,0,1,2,31,0.9599011294015324,True
18,True,146822,GradientBoostingClassifier,0,1,3,31,0.9527582722586752,True
19,True,146822,GradientBoostingClassifier,0,1,4,31,0.9475061714183389,True
20,True,146822,LGBMClassifier,0,1,0,31,0.9789915966386555,True
21,True,146822,LGBMClassifier,0,1,1,31,0.961488430988834,True
22,True,146822,LGBMClassifier,0,1,2,31,0.9598077587199264,True
23,True,146822,LGBMClassifier,0,1,3,31,0.9598077587199264,True
24,True,146822,LGBMClassifier,0,1,4,31,0.9511826420065744,True
25,True,146822,MLPClassifier,0,1,0,31,0.955672268907563,True
26,True,146822,MLPClassifier,0,1,1,31,0.934453781512605,True
27,True,146822,MLPClassifier,0,1,2,31,0.9257352941176471,True
28,True,146822,MLPClassifier,0,1,3,31,0.9257352941176471,True
29,True,146822,MLPClassifier,0,1,4,31,0.9140756302521008,True
30,True,146822,RandomForestClassifier,1,1,5,31,0.9756302521008404,True
31,True,146822,RandomForestClassifier,1,1,6,31,0.9686974789915966,True
32,True,146822,RandomForestClassifier,1,1,7,31,0.9635504201680671,True
33,True,146822,RandomForestClassifier,1,1,8,31,0.9618697478991596,True
34,True,146822,RandomForestClassifier,1,1,9,31,0.9618697478991596,True
35,True,146822,DecisionTreeClassifier,1,1,5,31,0.9698917923333717,True
36,True,146822,DecisionTreeClassifier,1,1,6,31,0.9445649949477507,True
37,True,146822,DecisionTreeClassifier,1,1,7,31,0.9293339025107761,True
38,True,146822,DecisionTreeClassifier,1,1,8,31,0.9241868436872466,True
39,True,146822,DecisionTreeClassifier,1,1,9,31,0.920615415115818,True
40,True,146822,XGBClassifier,1,1,5,31,0.9737394957983193,True
41,True,146822,XGBClassifier,1,1,6,31,0.9654411764705882,True
42,True,146822,XGBClassifier,1,1,7,31,0.9654411764705882,True
43,True,146822,XGBClassifier,1,1,8,31,0.9638655462184874,True
44,True,146822,XGBClassifier,1,1,9,31,0.9585084033613445,True
45,True,146822,GradientBoostingClassifier,1,1,5,31,0.9669389445275828,True
46,True,146822,GradientBoostingClassifier,1,1,6,31,0.9652582722586752,True
47,True,146822,GradientBoostingClassifier,1,1,7,31,0.960006171418339,True
48,True,146822,GradientBoostingClassifier,1,1,8,31,0.9601112134351458,True
49,True,146822,GradientBoostingClassifier,1,1,9,31,0.9602162554519523,True
50,True,146822,LGBMClassifier,1,1,5,31,0.9670168067226891,True
51,True,146822,LGBMClassifier,1,1,6,31,0.9600840336134454,True
52,True,146822,LGBMClassifier,1,1,7,31,0.9581270864510189,True
53,True,146822,LGBMClassifier,1,1,8,31,0.9581270864510189,True
54,True,146822,LGBMClassifier,1,1,9,31,0.9581270864510189,True
55,True,146822,MLPClassifier,1,1,5,31,0.9698529411764706,True
56,True,146822,MLPClassifier,1,1,6,31,0.9529411764705882,True
57,True,146822,MLPClassifier,1,1,7,31,0.9513655462184873,True
58,True,146822,MLPClassifier,1,1,8,31,0.941281512605042,True
59,True,146822,MLPClassifier,1,1,9,31,0.941281512605042,True
60,True,146822,RandomForestClassifier,2,1,10,31,0.9772058823529413,True
61,True,146822,RandomForestClassifier,2,1,11,31,0.9635504201680671,True
62,True,146822,RandomForestClassifier,2,1,12,31,0.959912800736733,True
63,True,146822,RandomForestClassifier,2,1,13,31,0.9582321284678254,True
64,True,146822,RandomForestClassifier,2,1,14,31,0.9582321284678254,True
65,True,146822,DecisionTreeClassifier,2,1,10,31,0.9570416522773492,True
66,True,146822,DecisionTreeClassifier,2,1,11,31,0.9350761994295435,True
67,True,146822,DecisionTreeClassifier,2,1,12,31,0.9195299809421487,True
68,True,146822,DecisionTreeClassifier,2,1,13,31,0.909130821278283,True
69,True,146822,DecisionTreeClassifier,2,1,14,31,0.9003072918665183,True
70,True,146822,XGBClassifier,2,1,10,31,0.9703781512605042,True
71,True,146822,XGBClassifier,2,1,11,31,0.9585084033613445,True
72,True,146822,XGBClassifier,2,1,12,31,0.9602941176470587,True
73,True,146822,XGBClassifier,2,1,13,31,0.9586134453781512,True
74,True,146822,XGBClassifier,2,1,14,31,0.9568277310924369,True
75,True,146822,GradientBoostingClassifier,2,1,10,31,0.9669389445275828,True
76,True,146822,GradientBoostingClassifier,2,1,11,31,0.9651532302418685,True
77,True,146822,GradientBoostingClassifier,2,1,12,31,0.9584305411662382,True
78,True,146822,GradientBoostingClassifier,2,1,13,31,0.9516028100738011,True
79,True,146822,GradientBoostingClassifier,2,1,14,31,0.9516028100738011,True
80,True,146822,LGBMClassifier,2,1,10,31,0.9669117647058824,True
81,True,146822,LGBMClassifier,2,1,11,31,0.9582983193277312,True
82,True,146822,LGBMClassifier,2,1,12,31,0.9582983193277312,True
83,True,146822,LGBMClassifier,2,1,13,31,0.9565126050420167,True
84,True,146822,LGBMClassifier,2,1,14,31,0.9565126050420167,True
85,True,146822,MLPClassifier,2,1,10,31,0.9756302521008404,True
86,True,146822,MLPClassifier,2,1,11,31,0.9703781512605042,True
87,True,146822,MLPClassifier,2,1,12,31,0.9652310924369748,True
88,True,146822,MLPClassifier,2,1,13,31,0.9532563025210085,True
89,True,146822,MLPClassifier,2,1,14,31,0.9532563025210085,True
90,True,146822,RandomForestClassifier,3,1,15,31,0.9788203637619431,True
91,True,146822,RandomForestClassifier,3,1,16,31,0.9667405318291701,True
92,True,146822,RandomForestClassifier,3,1,17,31,0.9650598595602625,True
93,True,146822,RandomForestClassifier,3,1,18,31,0.963379187291355,True
94,True,146822,RandomForestClassifier,3,1,19,31,0.963379187291355,True
95,True,146822,DecisionTreeClassifier,3,1,15,31,0.9737783469552205,True
96,True,146822,DecisionTreeClassifier,3,1,16,31,0.9480313815023725,True
97,True,146822,DecisionTreeClassifier,3,1,17,31,0.9293339025107761,True
98,True,146822,DecisionTreeClassifier,3,1,18,31,0.9187635099701982,True
99,True,146822,DecisionTreeClassifier,3,1,19,31,0.9119357788777612,True
100,True,146822,XGBClassifier,3,1,15,31,0.9702731092436975,True
101,True,146822,XGBClassifier,3,1,16,31,0.9668067226890756,True
102,True,146822,XGBClassifier,3,1,17,31,0.9668067226890756,True
