,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_constantlier,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s8c32G
1,autosklearn_constantlier,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearn_constantlier,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
3,autosklearn_constantlier,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
4,autosklearn_constantlier,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
5,autosklearn_constantlier,higgs,best_ensemble_model,0,,,0.733758,,3600s8c32G
6,autosklearn_constantlier,higgs,best_ensemble_model,1,,,0.719695,,3600s8c32G
7,autosklearn_constantlier,higgs,best_ensemble_model,2,,,0.730193,,3600s8c32G
8,autosklearn_constantlier,higgs,best_ensemble_model,3,,,0.7310939999999999,,3600s8c32G
9,autosklearn_constantlier,higgs,best_ensemble_model,4,,,0.7365729999999999,,3600s8c32G
10,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s8c32G
11,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_constantlier,vehicle,best_ensemble_model,0,,,0.824675,,3600s8c32G
16,autosklearn_constantlier,vehicle,best_ensemble_model,1,,,0.8371209999999999,,3600s8c32G
17,autosklearn_constantlier,vehicle,best_ensemble_model,2,,,0.791126,,3600s8c32G
18,autosklearn_constantlier,vehicle,best_ensemble_model,3,,,0.8490260000000001,,3600s8c32G
19,autosklearn_constantlier,vehicle,best_ensemble_model,4,,,0.8376620000000001,,3600s8c32G
20,autosklearn_constantlier,MiniBooNE,best_ensemble_model,0,,,0.939048,,3600s8c32G
21,autosklearn_constantlier,MiniBooNE,best_ensemble_model,1,,,0.940593,,3600s8c32G
22,autosklearn_constantlier,MiniBooNE,best_ensemble_model,2,,,0.9424290000000001,,3600s8c32G
23,autosklearn_constantlier,MiniBooNE,best_ensemble_model,3,,,0.942883,,3600s8c32G
24,autosklearn_constantlier,MiniBooNE,best_ensemble_model,4,,,0.946356,,3600s8c32G
25,autosklearn_constantlier,connect-4,best_ensemble_model,0,,,0.7556390000000001,,3600s8c32G
26,autosklearn_constantlier,connect-4,best_ensemble_model,1,,,0.765871,,3600s8c32G
27,autosklearn_constantlier,connect-4,best_ensemble_model,2,,,0.768211,,3600s8c32G
28,autosklearn_constantlier,connect-4,best_ensemble_model,3,,,0.759549,,3600s8c32G
29,autosklearn_constantlier,connect-4,best_ensemble_model,4,,,0.7601680000000001,,3600s8c32G
30,autosklearn_constantlier,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearn_constantlier,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearn_constantlier,segment,best_ensemble_model,2,,,0.9870129999999999,,3600s8c32G
33,autosklearn_constantlier,segment,best_ensemble_model,3,,,0.9870129999999999,,3600s8c32G
34,autosklearn_constantlier,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn_constantlier,Australian,best_ensemble_model,0,,,0.8756370000000001,,3600s8c32G
36,autosklearn_constantlier,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s8c32G
37,autosklearn_constantlier,Australian,best_ensemble_model,2,,,0.817063,,3600s8c32G
38,autosklearn_constantlier,Australian,best_ensemble_model,3,,,0.833192,,3600s8c32G
39,autosklearn_constantlier,Australian,best_ensemble_model,4,,,0.8858229999999999,,3600s8c32G
40,autosklearn_constantlier,adult,best_ensemble_model,0,,,0.8481040000000001,,3600s8c32G
41,autosklearn_constantlier,adult,best_ensemble_model,1,,,0.835009,,3600s8c32G
42,autosklearn_constantlier,adult,best_ensemble_model,2,,,0.8507379999999999,,3600s8c32G
43,autosklearn_constantlier,adult,best_ensemble_model,3,,,0.842469,,3600s8c32G
44,autosklearn_constantlier,adult,best_ensemble_model,4,,,0.8360360000000001,,3600s8c32G
45,autosklearn_constantlier,Albert,best_ensemble_model,0,,,0.6880109999999999,,3600s8c32G
46,autosklearn_constantlier,Albert,best_ensemble_model,1,,,0.688811,,3600s8c32G
47,autosklearn_constantlier,Albert,best_ensemble_model,2,,,0.691445,,3600s8c32G
48,autosklearn_constantlier,Albert,best_ensemble_model,3,,,0.687823,,3600s8c32G
49,autosklearn_constantlier,Albert,best_ensemble_model,4,,,0.690128,,3600s8c32G
