,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,3600s8c32G
3,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s8c32G
4,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,higgs,best_ensemble_model,0,,,0.7339899999999999,,3600s8c32G
6,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,higgs,best_ensemble_model,1,,,0.723677,,3600s8c32G
7,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,higgs,best_ensemble_model,2,,,0.736636,,3600s8c32G
8,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,higgs,best_ensemble_model,3,,,0.735625,,3600s8c32G
9,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,higgs,best_ensemble_model,4,,,0.731771,,3600s8c32G
10,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s8c32G
11,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,vehicle,best_ensemble_model,0,,,0.871158,,3600s8c32G
16,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,vehicle,best_ensemble_model,1,,,0.802489,,3600s8c32G
17,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,vehicle,best_ensemble_model,2,,,0.7905840000000001,,3600s8c32G
18,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,vehicle,best_ensemble_model,3,,,0.824675,,3600s8c32G
19,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,vehicle,best_ensemble_model,4,,,0.896645,,3600s8c32G
20,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,MiniBooNE,best_ensemble_model,0,,,0.942156,,3600s8c32G
21,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,MiniBooNE,best_ensemble_model,1,,,0.941527,,3600s8c32G
22,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,MiniBooNE,best_ensemble_model,2,,,0.946973,,3600s8c32G
23,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,MiniBooNE,best_ensemble_model,3,,,0.947175,,3600s8c32G
24,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,MiniBooNE,best_ensemble_model,4,,,0.9460780000000001,,3600s8c32G
25,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,connect-4,best_ensemble_model,0,,,0.78051,,3600s8c32G
26,autosklearnEnsembleIntensification_cost_as_avg_of_instancesFalse,connect-4,best_ensemble_model,1,,,0.778644,,3600s8c32G
