,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,cnae-9,best_ensemble_model,0,,,0.9629629999999999,,3600s8c32G
1,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,cnae-9,best_ensemble_model,1,,,0.935185,,3600s8c32G
2,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,cnae-9,best_ensemble_model,3,,,0.9444440000000001,,3600s8c32G
4,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,higgs,best_ensemble_model,0,,,0.7388640000000001,,3600s8c32G
6,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,higgs,best_ensemble_model,1,,,0.7221850000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,higgs,best_ensemble_model,2,,,0.733749,,3600s8c32G
8,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,higgs,best_ensemble_model,3,,,0.7409279999999999,,3600s8c32G
9,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,higgs,best_ensemble_model,4,,,0.737926,,3600s8c32G
10,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,vehicle,best_ensemble_model,0,,,0.848972,,3600s8c32G
16,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s8c32G
17,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,vehicle,best_ensemble_model,2,,,0.813312,,3600s8c32G
18,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,vehicle,best_ensemble_model,3,,,0.847944,,3600s8c32G
19,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,vehicle,best_ensemble_model,4,,,0.885281,,3600s8c32G
20,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,MiniBooNE,best_ensemble_model,0,,,0.943882,,3600s8c32G
21,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,MiniBooNE,best_ensemble_model,1,,,0.9439649999999999,,3600s8c32G
22,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,MiniBooNE,best_ensemble_model,2,,,,,3600s8c32G
23,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,MiniBooNE,best_ensemble_model,3,,,0.9473540000000001,,3600s8c32G
24,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,MiniBooNE,best_ensemble_model,4,,,0.9469420000000001,,3600s8c32G
25,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,connect-4,best_ensemble_model,0,,,0.787529,,3600s8c32G
26,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,connect-4,best_ensemble_model,1,,,0.782355,,3600s8c32G
27,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,connect-4,best_ensemble_model,2,,,0.800084,,3600s8c32G
28,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,connect-4,best_ensemble_model,3,,,0.7864220000000001,,3600s8c32G
29,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,connect-4,best_ensemble_model,4,,,0.786688,,3600s8c32G
30,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
