,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_stack_based_on_log_loss,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,3600s8c32G
1,autosklearnEnsembleIntensification_stack_based_on_log_loss,cnae-9,best_ensemble_model,1,,,0.916667,,3600s8c32G
2,autosklearnEnsembleIntensification_stack_based_on_log_loss,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,3600s8c32G
3,autosklearnEnsembleIntensification_stack_based_on_log_loss,cnae-9,best_ensemble_model,3,,,0.925926,,3600s8c32G
4,autosklearnEnsembleIntensification_stack_based_on_log_loss,cnae-9,best_ensemble_model,4,,,0.9814809999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_stack_based_on_log_loss,higgs,best_ensemble_model,0,,,0.739715,,3600s8c32G
6,autosklearnEnsembleIntensification_stack_based_on_log_loss,higgs,best_ensemble_model,1,,,0.7256729999999999,,3600s8c32G
7,autosklearnEnsembleIntensification_stack_based_on_log_loss,higgs,best_ensemble_model,2,,,0.734686,,3600s8c32G
8,autosklearnEnsembleIntensification_stack_based_on_log_loss,higgs,best_ensemble_model,3,,,0.737745,,3600s8c32G
9,autosklearnEnsembleIntensification_stack_based_on_log_loss,higgs,best_ensemble_model,4,,,0.7371340000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_stack_based_on_log_loss,kr-vs-kp,best_ensemble_model,0,,,0.996732,,3600s8c32G
11,autosklearnEnsembleIntensification_stack_based_on_log_loss,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s8c32G
12,autosklearnEnsembleIntensification_stack_based_on_log_loss,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearnEnsembleIntensification_stack_based_on_log_loss,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearnEnsembleIntensification_stack_based_on_log_loss,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearnEnsembleIntensification_stack_based_on_log_loss,vehicle,best_ensemble_model,0,,,0.859253,,3600s8c32G
16,autosklearnEnsembleIntensification_stack_based_on_log_loss,vehicle,best_ensemble_model,1,,,0.813312,,3600s8c32G
17,autosklearnEnsembleIntensification_stack_based_on_log_loss,vehicle,best_ensemble_model,2,,,0.825758,,3600s8c32G
18,autosklearnEnsembleIntensification_stack_based_on_log_loss,vehicle,best_ensemble_model,3,,,0.8138529999999999,,3600s8c32G
19,autosklearnEnsembleIntensification_stack_based_on_log_loss,vehicle,best_ensemble_model,4,,,0.896645,,3600s8c32G
20,autosklearnEnsembleIntensification_stack_based_on_log_loss,MiniBooNE,best_ensemble_model,0,,,0.9434620000000001,,3600s8c32G
21,autosklearnEnsembleIntensification_stack_based_on_log_loss,MiniBooNE,best_ensemble_model,1,,,0.9451350000000001,,3600s8c32G
22,autosklearnEnsembleIntensification_stack_based_on_log_loss,MiniBooNE,best_ensemble_model,2,,,0.944948,,3600s8c32G
23,autosklearnEnsembleIntensification_stack_based_on_log_loss,MiniBooNE,best_ensemble_model,3,,,0.9471430000000001,,3600s8c32G
24,autosklearnEnsembleIntensification_stack_based_on_log_loss,MiniBooNE,best_ensemble_model,4,,,0.9464819999999999,,3600s8c32G
25,autosklearnEnsembleIntensification_stack_based_on_log_loss,connect-4,best_ensemble_model,0,,,0.777148,,3600s8c32G
26,autosklearnEnsembleIntensification_stack_based_on_log_loss,connect-4,best_ensemble_model,1,,,0.7761560000000001,,3600s8c32G
27,autosklearnEnsembleIntensification_stack_based_on_log_loss,connect-4,best_ensemble_model,2,,,0.806592,,3600s8c32G
28,autosklearnEnsembleIntensification_stack_based_on_log_loss,connect-4,best_ensemble_model,3,,,0.78962,,3600s8c32G
29,autosklearnEnsembleIntensification_stack_based_on_log_loss,connect-4,best_ensemble_model,4,,,0.796177,,3600s8c32G
30,autosklearnEnsembleIntensification_stack_based_on_log_loss,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearnEnsembleIntensification_stack_based_on_log_loss,segment,best_ensemble_model,1,,,0.9913420000000001,,3600s8c32G
32,autosklearnEnsembleIntensification_stack_based_on_log_loss,segment,best_ensemble_model,2,,,0.9956709999999999,,3600s8c32G
33,autosklearnEnsembleIntensification_stack_based_on_log_loss,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s8c32G
